"Row","Column","Plate","Read","RFU","OD600","date","time","datetime","Well.at.T","Temperature.C","Nitrogen.conc.uM","Salt.conc.g.l","Chlamy.y.n","Microbe","Plate.at.T","Notes","Replicate","Block","unique.id","days","carbon.added"
1,1,1,0,35,1.067,-1722,"11:01:31",2025-04-15 11:01:31,1,8,1000,0,"n","5",1,"","3",1,"b1.t8.p1.w1",0,TRUE
1,2,1,0,41,0.836,-1722,"11:01:31",2025-04-15 11:01:31,2,8,1000,0,"y","2",1,"","1",1,"b1.t8.p1.w2",0,TRUE
1,3,1,0,40,1.007,-1722,"11:01:31",2025-04-15 11:01:31,3,8,1000,0,"y","15",1,"","1",1,"b1.t8.p1.w3",0,TRUE
1,4,1,0,39,0.98,-1722,"11:01:31",2025-04-15 11:01:31,4,8,1000,0,"n","15",1,"","1",1,"b1.t8.p1.w4",0,TRUE
1,5,1,0,34,0.942,-1722,"11:01:31",2025-04-15 11:01:31,5,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w5",0,TRUE
1,6,1,0,41,0.624,-1722,"11:01:31",2025-04-15 11:01:31,6,8,1000,0,"y","7",1,"","1",1,"b1.t8.p1.w6",0,TRUE
1,7,1,0,43,0.954,-1722,"11:01:31",2025-04-15 11:01:31,7,8,1000,0,"y","4",1,"","2",1,"b1.t8.p1.w7",0,TRUE
1,8,1,0,42,1,-1722,"11:01:31",2025-04-15 11:01:31,8,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w8",0,TRUE
1,9,1,0,50,0.996,-1722,"11:01:31",2025-04-15 11:01:31,9,8,1000,0,"y","14",1,"","3",1,"b1.t8.p1.w9",0,TRUE
1,10,1,0,49,0.792,-1722,"11:01:31",2025-04-15 11:01:31,10,8,1000,0,"y","1",1,"","3",1,"b1.t8.p1.w10",0,TRUE
2,1,1,0,39,1.067,-1722,"11:01:31",2025-04-15 11:01:31,11,8,1000,0,"n","7",1,"","2",1,"b1.t8.p1.w11",0,TRUE
2,2,1,0,36,1.026,-1722,"11:01:31",2025-04-15 11:01:31,12,8,1000,0,"n","2",1,"","3",1,"b1.t8.p1.w12",0,TRUE
2,3,1,0,37,0.443,-1722,"11:01:31",2025-04-15 11:01:31,13,8,1000,0,"y","8",1,"","1",1,"b1.t8.p1.w13",0,TRUE
2,4,1,0,36,1.023,-1722,"11:01:31",2025-04-15 11:01:31,14,8,1000,0,"n","1",1,"","2",1,"b1.t8.p1.w14",0,TRUE
2,5,1,0,40,0.949,-1722,"11:01:31",2025-04-15 11:01:31,15,8,1000,0,"y","2",1,"","2",1,"b1.t8.p1.w15",0,TRUE
2,6,1,0,33,0.924,-1722,"11:01:31",2025-04-15 11:01:31,16,8,1000,0,"n","12",1,"","2",1,"b1.t8.p1.w16",0,TRUE
2,7,1,0,47,1.008,-1722,"11:01:31",2025-04-15 11:01:31,17,8,1000,0,"y","7",1,"","2",1,"b1.t8.p1.w17",0,TRUE
2,8,1,0,44,0.899,-1722,"11:01:31",2025-04-15 11:01:31,18,8,1000,0,"y","7",1,"","3",1,"b1.t8.p1.w18",0,TRUE
2,9,1,0,27,0.883,-1722,"11:01:31",2025-04-15 11:01:31,19,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w19",0,TRUE
2,10,1,0,37,0.83,-1722,"11:01:31",2025-04-15 11:01:31,20,8,1000,0,"n","13",1,"","1",1,"b1.t8.p1.w20",0,TRUE
3,1,1,0,37,1.024,-1722,"11:01:31",2025-04-15 11:01:31,21,8,1000,0,"n","14",1,"","1",1,"b1.t8.p1.w21",0,TRUE
3,2,1,0,38,0.837,-1722,"11:01:31",2025-04-15 11:01:31,22,8,1000,0,"n","4",1,"","3",1,"b1.t8.p1.w22",0,TRUE
3,3,1,0,43,0.935,-1722,"11:01:31",2025-04-15 11:01:31,23,8,1000,0,"y","14",1,"","1",1,"b1.t8.p1.w23",0,TRUE
3,4,1,0,34,1.126,-1722,"11:01:31",2025-04-15 11:01:31,24,8,1000,0,"BLANK","BLANK",1,"","BLANK",1,"b1.t8.p1.w24",0,TRUE
3,5,1,0,35,0.947,-1722,"11:01:31",2025-04-15 11:01:31,25,8,1000,0,"n","all",1,"","1",1,"b1.t8.p1.w25",0,TRUE
3,6,1,0,45,1.113,-1722,"11:01:31",2025-04-15 11:01:31,26,8,1000,0,"y","12",1,"","2",1,"b1.t8.p1.w26",0,TRUE
3,7,1,0,46,1.075,-1722,"11:01:31",2025-04-15 11:01:31,27,8,1000,0,"y","15",1,"","3",1,"b1.t8.p1.w27",0,TRUE
3,8,1,0,40,1.177,-1722,"11:01:31",2025-04-15 11:01:31,28,8,1000,0,"n","11",1,"","2",1,"b1.t8.p1.w28",0,TRUE
3,9,1,0,51,0.885,-1722,"11:01:31",2025-04-15 11:01:31,29,8,1000,0,"y","none",1,"","2",1,"b1.t8.p1.w29",0,TRUE
3,10,1,0,44,0.988,-1722,"11:01:31",2025-04-15 11:01:31,30,8,1000,0,"y","11",1,"","3",1,"b1.t8.p1.w30",0,TRUE
4,1,1,0,39,0.847,-1722,"11:01:31",2025-04-15 11:01:31,31,8,1000,0,"y","10",1,"","1",1,"b1.t8.p1.w31",0,TRUE
