"trait","median","lo","hi","pNA","mic","method"
"Topt",32.3298068412936,32.0537780468983,32.5687913918402,0,"none","pooled"
"r.max",1.77230027548441,1.67360676962429,2.05831122832198,0,"none","pooled"
"Tmin",4.88488822513017,3.50236668470457,5.94781122556921,0,"none","pooled"
"Tmax",42.5897242115303,42.4002476112189,42.8225441665083,0,"none","pooled"
"breadth",22.0980150810499,21.6295951164014,22.7457556298167,0,"none","pooled"
"Topt",32.3634816987128,32.1345759412206,32.5978301954742,0,"1","pooled"
"r.max",1.79803135824311,1.70335984711873,2.07608481636668,0,"1","pooled"
"Tmin",4.69066651572163,3.39314984426259,5.76504852512359,0,"1","pooled"
"Tmax",42.6422453296973,42.4831410593651,42.8711740996975,0,"1","pooled"
"breadth",22.1791373557567,21.7354927380022,22.7980835360088,0,"1","pooled"
"Topt",32.3255041477935,32.0340267002882,32.5873833837601,0,"10","pooled"
"r.max",1.78986085554928,1.6880729353395,2.074304885525,0,"10","pooled"
"Tmin",4.60607443796542,3.30699361233819,5.58185447850761,0,"10","pooled"
"Tmax",42.6216598030175,42.4431275111266,42.8604612181756,0,"10","pooled"
"breadth",22.2229123665877,21.7514804881217,22.798883461028,0,"10","pooled"
"Topt",32.4296424151669,32.1692248522061,32.7303093810401,0,"11","pooled"
"r.max",1.7731041721122,1.66593933892291,2.05396320090943,0,"11","pooled"
"Tmin",5.2515791250421,3.64199129895372,6.88541658232797,0,"11","pooled"
"Tmax",42.61802840398,42.4507379096215,42.836439491239,0,"11","pooled"
"breadth",21.9148813794879,21.1780694764442,22.691986734027,0,"11","pooled"
"Topt",32.3651796247963,32.1373026016806,32.5948649452473,0,"12","pooled"
"r.max",1.78627122531913,1.69076785765699,2.05960408927968,0,"12","pooled"
"Tmin",4.89200044649198,3.49198508461746,5.98733161803529,0,"12","pooled"
"Tmax",42.6154030393558,42.4503874022273,42.8451775126516,0,"12","pooled"
"breadth",22.0788792113997,21.5983572912183,22.7178493757619,0,"12","pooled"
"Topt",32.3485798534869,32.0728423841835,32.5874359841012,0,"13","pooled"
"r.max",1.76851418817305,1.66509715551298,2.0511557013507,0,"13","pooled"
"Tmin",4.96915079388255,3.49921649977934,5.98800927162008,0,"13","pooled"
"Tmax",42.5962144003894,42.4210480260476,42.8180833070694,0,"13","pooled"
"breadth",22.0579316940174,21.5397692928601,22.7007594396808,0,"13","pooled"
"Topt",32.362217212247,32.1159097437718,32.5841063422629,0,"14","pooled"
"r.max",1.78990396369304,1.6988642030464,2.07794880293327,0,"14","pooled"
"Tmin",4.7932098856909,3.40091978889093,5.84326421743854,0,"14","pooled"
"Tmax",42.6294945812661,42.4571867595498,42.8488452651968,0,"14","pooled"
"breadth",22.1329736854858,21.6503459097108,22.7420629877533,0,"14","pooled"
"Topt",32.3199765002814,32.0273454086713,32.6026593737181,0,"15","pooled"
"r.max",1.79072368501809,1.68013887218688,2.06996851633175,0,"15","pooled"
"Tmin",4.55265824466301,3.28747654439306,5.55253957833289,0,"15","pooled"
"Tmax",42.6220843089023,42.4387911183737,42.8651040502817,0,"15","pooled"
"breadth",22.2439194527062,21.7948718294034,22.8410211673242,0,"15","pooled"
"Topt",32.3919311918627,32.1772260015755,32.6070280190937,0,"2","pooled"
"r.max",1.81868457658373,1.72790038128618,2.10268581591974,0,"2","pooled"
"Tmin",4.61447079080099,3.24061788381729,5.70401952929696,0,"2","pooled"
"Tmax",42.6723947803061,42.5027691990154,42.8911553012482,0,"2","pooled"
"breadth",22.20181019819,21.7102006133019,22.787125297639,0,"2","pooled"
"Topt",32.3557646408198,32.1121527892647,32.5807382734834,0,"3","pooled"
"r.max",1.80079483653225,1.70007384417838,2.07458302469663,0,"3","pooled"
"Tmin",4.61135103912081,3.22722270107366,5.57704231407397,0,"3","pooled"
"Tmax",42.6474057224409,42.4842384408092,42.8793261869896,0,"3","pooled"
"breadth",22.2143545876237,21.7541922896468,22.7799196230255,0,"3","pooled"
"Topt",32.3568105454837,32.0969173296568,32.5914184938051,0,"4","pooled"
"r.max",1.77497202915182,1.67009949810736,2.05379767129825,0,"4","pooled"
"Tmin",4.94633334456322,3.44653856827861,5.97543782150585,0,"4","pooled"
"Tmax",42.6047539932319,42.4347049097904,42.8298573679975,0,"4","pooled"
"breadth",22.0699144150242,21.5429447456569,22.7182982564796,0,"4","pooled"
"Topt",32.3585541601322,32.1214020278954,32.5711900009637,0,"5","pooled"
"r.max",1.80154200934914,1.7024559477102,2.07557336053506,0,"5","pooled"
"Tmin",4.67754540987744,3.2742203691155,5.645928788379,0,"5","pooled"
"Tmax",42.6372868290361,42.4607240874322,42.8610555687464,0,"5","pooled"
"breadth",22.1754158114226,21.7470512959489,22.7837599309602,0,"5","pooled"
"Topt",32.3462490467806,32.086302426351,32.5759744185223,0,"6","pooled"
"r.max",1.79821922261312,1.69932803881302,2.07865979153451,0,"6","pooled"
"Tmin",4.62692833748435,3.25588526829098,5.57961916310381,0,"6","pooled"
"Tmax",42.6361015997172,42.4676713208829,42.8645125219918,0,"6","pooled"
"breadth",22.2091870323096,21.7640159852572,22.7958459935283,0,"6","pooled"
"Topt",32.3524534715195,32.1090100965833,32.5967311400195,0,"7","pooled"
"r.max",1.79379027330934,1.69749897797878,2.07046465655582,0,"7","pooled"
"Tmin",4.67839899506298,3.29090782900157,5.63696878621572,0,"7","pooled"
"Tmax",42.635481601978,42.4610609229966,42.8582506388708,0,"7","pooled"
"breadth",22.1857004099795,21.7377787362495,22.7921955051733,0,"7","pooled"
"Topt",32.364549636091,32.1227672607363,32.577934699131,0,"8","pooled"
"r.max",1.78696891250358,1.68382419622491,2.06111400898153,0,"8","pooled"
"Tmin",4.86859302411562,3.40930749307546,5.91166643378375,0,"8","pooled"
"Tmax",42.6205042207655,42.4450021775927,42.8437043907911,0,"8","pooled"
"breadth",22.0983013239508,21.6342014977054,22.7521664497499,0,"8","pooled"
"Topt",32.3816447070108,32.1383594265342,32.6134525949278,0,"9","pooled"
"r.max",1.78016635703034,1.67808849447106,2.05245360778569,0,"9","pooled"
"Tmin",5.0216142016047,3.51007071276525,6.1783607861905,0,"9","pooled"
"Tmax",42.6156899330534,42.4418494043992,42.8321970357893,0,"9","pooled"
"breadth",22.0271442250147,21.454823672174,22.6777159025665,0,"9","pooled"
"Topt",32.4216329564437,32.2107494216074,32.6321491985765,0,"all","pooled"
"r.max",1.83383173250242,1.73645786755338,2.10475431068357,0,"all","pooled"
"Tmin",4.59374635135596,3.15683285043598,5.76934407964526,0,"all","pooled"
"Tmax",42.693270308194,42.535280055141,42.9178103451425,0,"all","pooled"
"breadth",22.1901611759764,21.7158917128719,22.8174995957018,0,"all","pooled"
"Topt",32.1109085982549,31.6924476570155,32.6084711957172,0,"none","individual"
"r.max",1.70996559008939,1.61991255405541,1.80417452812524,0,"none","individual"
"Tmin",5.44010393855647,3.95793871070924,6.66437262837354,0,"none","individual"
"Tmax",42.3923995289042,41.9771640070581,42.7996400152301,0,"none","individual"
"breadth",21.9744962883058,21.2571351021461,22.7080050178284,0,"none","individual"
"Topt",32.3097630523614,31.8716902239514,32.858171016828,0,"1","individual"
"r.max",1.74904917062509,1.65980057688414,1.83455823152912,0,"1","individual"
"Tmin",4.88046480034458,3.09775816581049,6.38484464271578,0,"1","individual"
"Tmax",42.6641096519054,42.3289751524504,43.0127982350815,0,"1","individual"
"breadth",22.2941536070104,21.5289068482291,23.0902407083265,0,"1","individual"
"Topt",32.0460239773183,31.6227232875754,32.5203263191393,0,"10","individual"
"r.max",1.73222053906595,1.65097379285903,1.81402775555396,0,"10","individual"
"Tmin",4.38771075050578,2.56194581174849,5.87463375338073,0,"10","individual"
"Tmax",42.4794856212885,42.1149524171985,42.8575277016232,0,"10","individual"
"breadth",22.4736693084351,21.6883145834297,23.2251279972076,0,"10","individual"
"Topt",34.2446843745814,33.2855766718007,35.1566980975684,0,"11","individual"
"r.max",1.78245644180122,1.65412917031816,1.91914892060706,0,"11","individual"
"Tmin",2.91659033538225,-4.09458015909832,6.90944298474654,0.00625,"11","individual"
"Tmax",42.6129265488052,42.2740022091832,42.9529672947351,0,"11","individual"
"breadth",19.4414081329117,18.0496047834915,20.945750232748,0,"11","individual"
"Topt",32.3063332758262,31.8524674976586,32.807274206033,0,"12","individual"
"r.max",1.76765009752162,1.6832531203553,1.85289361423587,0,"12","individual"
"Tmin",5.95870985264662,3.92249729451382,7.71622315988695,0,"12","individual"
"Tmax",42.4413495772341,42.0952365291631,42.8053288440553,0,"12","individual"
"breadth",21.6675696293348,20.7656598954823,22.5383265784532,0,"12","individual"
"Topt",32.2349526630835,31.6573660498507,32.8894430312904,0,"13","individual"
"r.max",1.65263007508289,1.53245502020327,1.76669564778185,0,"13","individual"
"Tmin",5.18390882343916,2.84414195674742,7.13058271625542,0,"13","individual"
"Tmax",42.6213379177195,42.2199881846592,42.9969250856926,0,"13","individual"
"breadth",22.219996223969,21.1880039023446,23.2072996521735,0,"13","individual"
"Topt",32.3599624246439,31.8942321269315,33.0108409295116,0,"14","individual"
"r.max",1.73796359574605,1.64796522482062,1.82950661331972,0,"14","individual"
"Tmin",5.07327396875754,3.06974997654963,6.72247688325058,0,"14","individual"
"Tmax",42.5921217874539,42.2521683431147,42.9519327881493,0,"14","individual"
"breadth",22.0436978571286,21.1835992422031,22.852652670746,0,"14","individual"
"Topt",32.0001876829624,31.5811116400457,32.479589001283,0,"15","individual"
"r.max",1.7250697281556,1.63033693773964,1.82017901115675,0,"15","individual"
"Tmin",4.16706458023198,2.33264321788168,5.72414899506067,0,"15","individual"
"Tmax",42.5043943151664,42.1240267061871,42.8932745944591,0,"15","individual"
"breadth",22.6165730955158,21.820598766208,23.4396210892108,0,"15","individual"
"Topt",32.5556989146019,31.993409145253,33.2870945626947,0,"2","individual"
"r.max",1.82079529811798,1.71911128484679,1.91724528020475,0,"2","individual"
"Tmin",4.9628588042317,2.49758309670542,7.08084742695452,0,"2","individual"
"Tmax",42.6608600458075,42.2566405166443,43.0869174981674,0,"2","individual"
"breadth",21.9606322573189,21.0169583786411,22.9498941372692,0,"2","individual"
"Topt",32.3682108192749,31.9079598083429,32.9783702259592,0,"3","individual"
"r.max",1.76276226275222,1.68533997569937,1.83553832998974,0,"3","individual"
"Tmin",4.52407005367071,2.15151337578771,6.31667336192569,0,"3","individual"
"Tmax",42.6315770295439,42.2952707971721,42.9838287191048,0,"3","individual"
"breadth",22.2140000249432,21.3806613541479,23.0175930901538,0,"3","individual"
"Topt",32.3077899835173,31.8472048298889,32.9495681016117,0,"4","individual"
"r.max",1.69387264108447,1.60553919625397,1.79075910725453,0,"4","individual"
"Tmin",5.42577854655483,3.45418205151659,7.11743229980501,0,"4","individual"
"Tmax",42.5678855336674,42.231853512297,42.9001921938546,0,"4","individual"
"breadth",22.0024151914136,21.0731482498692,22.7717385256384,0,"4","individual"
"Topt",32.2918550801921,31.9021092533812,32.8321650813011,0,"5","individual"
"r.max",1.8027627410329,1.72462620142266,1.88008730718288,0,"5","individual"
"Tmin",5.15907011344819,3.59903891383743,6.52823669141077,0,"5","individual"
"Tmax",42.4317998638588,42.0569228772631,42.7894564563412,0,"5","individual"
