"trait","median","lo","hi","pNA","mic","method"
"mumax",1.56928171316667,1.49576231566667,1.64544944520333,0,"none","pooled"
"ks",56.8223437,47.0963646666667,67.3004174666667,0,"none","pooled"
"affinity",0.0275824624949625,0.0232251544064908,0.0320673483017289,0,"none","pooled"
"mumax",1.56038739992167,1.48381531753333,1.64081245366667,0,"1","pooled"
"ks",67.2042801666667,54.7199796,81.1790106666667,0,"1","pooled"
"affinity",0.0231856378912329,0.0193509489305137,0.0276513704486264,0,"1","pooled"
"mumax",1.57263414848333,1.49889752316667,1.646057864,0,"10","pooled"
"ks",49.482835,41.8124946666667,58.3511233333333,0,"10","pooled"
"affinity",0.0317904292037468,0.02711922063881,0.0368175648985978,0,"10","pooled"
"mumax",1.53161480116667,1.43724420733333,1.61014201525,0,"11","pooled"
"ks",87.3086633333333,68.3617106666667,106.415857,0,"11","pooled"
"affinity",0.0175251467943259,0.0141751072956178,0.0209805741073073,0,"11","pooled"
"mumax",1.56858165641667,1.49869804483333,1.64542959218,0,"12","pooled"
"ks",47.1750111666667,39.6613703333333,55.5057764333333,0,"12","pooled"
"affinity",0.0332621006114169,0.0282414790316181,0.0384130982264485,0,"12","pooled"
"mumax",1.568834035,1.49166759666667,1.64797828666667,0,"13","pooled"
"ks",73.1527193166667,60.5829069133333,88.1046963333333,0,"13","pooled"
"affinity",0.0214520887824171,0.0181043828198589,0.0254361865769741,0,"13","pooled"
"mumax",1.57333469635,1.50046442233333,1.653273391,0,"14","pooled"
"ks",50.0302581666667,42.0382055666667,59.184415,0,"14","pooled"
"affinity",0.0314588770639117,0.0266348847641106,0.0364261959635616,0,"14","pooled"
"mumax",1.547218019,1.46378420866667,1.61999355366667,0,"15","pooled"
"ks",50.6292951666667,41.8845813333333,60.4973902,0,"15","pooled"
"affinity",0.030473625805246,0.0255819603156339,0.0356613134506543,0,"15","pooled"
"mumax",1.58919183761667,1.514765037,1.67366486233333,0,"2","pooled"
"ks",57.1015499166667,47.4415185666667,68.1591840866667,0,"2","pooled"
"affinity",0.0278525252560732,0.0236814185968156,0.0327282302864463,0,"2","pooled"
"mumax",1.57202569075,1.49923167733333,1.65316896773333,0,"3","pooled"
"ks",54.8168872333333,44.7084306666667,65.0429474666667,0,"3","pooled"
"affinity",0.0287173441054859,0.0239852728045355,0.0336857241640316,0,"3","pooled"
"mumax",1.52739734813333,1.4350449223,1.60202942766667,0,"4","pooled"
"ks",56.9616343333333,45.5796626666667,69.3304611666667,0,"4","pooled"
"affinity",0.0267785310628261,0.0217502289923749,0.0318510658557964,0,"4","pooled"
"mumax",1.58715372911667,1.51567827566667,1.67644304866667,0,"5","pooled"
"ks",60.8662345,50.4369887,72.3220846666667,0,"5","pooled"
"affinity",0.0260653319762101,0.0219337721193198,0.0303923651797584,0,"5","pooled"
"mumax",1.5489566955,1.46347394333333,1.62335066766667,0,"6","pooled"
"ks",64.1642376333333,52.0506122,77.9534453333333,0,"6","pooled"
"affinity",0.0241011377101151,0.0199901575662816,0.0287747385957064,0,"6","pooled"
"mumax",1.5512098675,1.46781139766667,1.62429215833333,0,"7","pooled"
"ks",63.2746487,51.7796079333333,77.4857633333333,0,"7","pooled"
"affinity",0.0244446566925572,0.0200685509502174,0.0289161147239855,0,"7","pooled"
"mumax",1.57725653466667,1.50689465066667,1.66277094933333,0,"8","pooled"
"ks",57.8647456333333,48.144471,69.0798502033334,0,"8","pooled"
"affinity",0.0273111268040872,0.0229655689461486,0.0319403386793376,0,"8","pooled"
"mumax",1.52433781616667,1.43421919266667,1.59874786633333,0,"9","pooled"
"ks",58.9582677333333,48.1715676,71.3021404666667,0,"9","pooled"
"affinity",0.0258198305788731,0.0215150255543657,0.0307408564283259,0,"9","pooled"
"mumax",1.663832193,1.55426141483333,1.78737525866667,0,"all","pooled"
"ks",81.3034856666667,66.4650525333333,99.4563793333333,0,"all","pooled"
"affinity",0.0204485848839253,0.0170688333221358,0.0240112572384161,0,"all","pooled"
"mumax",1.54595077253333,1.45222834666667,1.63892112666667,0,"none","individual"
"ks",49.6242160666667,38.1358886666667,62.8721633333333,0,"none","individual"
"affinity",0.0311755026014172,0.0249020778302791,0.0383792009223739,0,"none","individual"
"mumax",1.56794680666667,1.430753805,1.71510659,0,"1","individual"
"ks",68.2150502,46.665801,90.9043146,0,"1","individual"
"affinity",0.0230060723276457,0.0172773220649393,0.0302364790008802,0,"1","individual"
"mumax",1.55890040916667,1.44999773633333,1.66202377766667,0,"10","individual"
"ks",43.0778173333333,31.1422566,57.419286,0,"10","individual"
