"trait","median","lo","hi","pNA","mic","method"
"mu_max",1.50102521508333,1.41640562666667,1.585314631,0,"none","pooled"
"salt_tol",1.85205895376023,1.72703272904552,1.97547953121188,0,"none","pooled"
"s_lim",7.29772773837029,6.75668262652272,7.90515304065381,0,"none","pooled"
"mu_max",1.54473470161667,1.46073244333333,1.63838794746667,0,"1","pooled"
"salt_tol",2.06561718827803,1.91039986256361,2.23371511233674,0,"1","pooled"
"s_lim",8.58865218011769,7.87545644175893,9.39992349167325,0,"1","pooled"
"mu_max",1.56174388096667,1.476867057,1.65959163,0,"10","pooled"
"salt_tol",1.81999892601024,1.68759797885036,1.93423462855357,0,"10","pooled"
"s_lim",7.28130267800087,6.75442326558043,7.89769072674643,0,"10","pooled"
"mu_max",1.39453302029667,1.27705423333333,1.512716872,0,"11","pooled"
"salt_tol",1.89418211489681,1.71628352921017,2.03937463714652,0,"11","pooled"
"s_lim",8.03402906352479,7.17572002805697,9.05096735812636,0,"11","pooled"
"mu_max",1.51879083675,1.43171097926667,1.60839995933333,0,"12","pooled"
"salt_tol",1.82088608084186,1.69357757887943,1.95454297549569,0,"12","pooled"
"s_lim",7.25562847176218,6.66871726910145,7.80996125963267,0,"12","pooled"
"mu_max",1.5280554054,1.437698877,1.61692233956667,0,"13","pooled"
"salt_tol",2.08031523610373,1.93642425964055,2.26298114614956,0,"13","pooled"
"s_lim",9.4066838686633,8.36388268710855,10.9033896296831,0.00025,"13","pooled"
"mu_max",1.50497423245,1.422318486,1.59340761733333,0,"14","pooled"
"salt_tol",1.83207409653321,1.70808469664859,1.95583621386196,0,"14","pooled"
"s_lim",7.16275813154667,6.61648279626743,7.71935223461565,0,"14","pooled"
"mu_max",1.52857055783333,1.44668313970667,1.61732677936667,0,"15","pooled"
"salt_tol",1.85689272604885,1.7264308038535,1.97728727673195,0,"15","pooled"
"s_lim",7.3476780833105,6.78457394848803,7.94965829451647,0,"15","pooled"
"mu_max",1.6031307914,1.513659071,1.6990043698,0,"2","pooled"
"salt_tol",2.14456987341064,1.96968963164355,2.33254933262866,0,"2","pooled"
"s_lim",9.5069076830923,8.60400554701763,10.8641413203281,0,"2","pooled"
"mu_max",1.55398846211667,1.4717976778,1.64108896783333,0,"3","pooled"
"salt_tol",1.88670121287683,1.76523770159724,2.0216935728694,0,"3","pooled"
"s_lim",7.73248115974496,7.13873266641117,8.43725719780923,0,"3","pooled"
"mu_max",1.50411118715,1.41071544066667,1.588450258,0,"4","pooled"
"salt_tol",2.05415228993365,1.90084680231367,2.22889034846099,0,"4","pooled"
"s_lim",9.11037396959403,8.1189175023117,10.4533149025056,0.000125,"4","pooled"
"mu_max",1.5431082679135,1.45768617466667,1.64154583146667,0,"5","pooled"
"salt_tol",1.8007321719252,1.67073644030313,1.9263941612148,0,"5","pooled"
"s_lim",7.09391011943978,6.55875535969574,7.66481244119628,0,"5","pooled"
"mu_max",1.5231482448,1.439644542,1.6128461441,0,"6","pooled"
"salt_tol",1.85309516899593,1.73158776225443,1.97776757519677,0,"6","pooled"
"s_lim",7.18893519416787,6.66660805500512,7.78899282010431,0,"6","pooled"
"mu_max",1.51139312718333,1.42521671186667,1.59698871836667,0,"7","pooled"
"salt_tol",1.93674432263123,1.80572348846222,2.07273098063967,0,"7","pooled"
"s_lim",7.92487298977614,7.2716113586086,8.64000000299767,0,"7","pooled"
"mu_max",1.5090536182,1.4200919866,1.59552386163333,0,"8","pooled"
"salt_tol",1.81326994232774,1.6871943455996,1.93452420460978,0,"8","pooled"
"s_lim",7.14696407978042,6.62269200732345,7.73386529186634,0,"8","pooled"
"mu_max",1.46538743683333,1.372584805,1.55067705633333,0,"9","pooled"
"salt_tol",1.95953398946323,1.82222584707854,2.11292780984187,0,"9","pooled"
"s_lim",8.00862468070506,7.35160720203238,8.83053145559127,0,"9","pooled"
"mu_max",1.57334291108333,1.487084107,1.6603138403,0,"all","pooled"
"salt_tol",1.97834368768558,1.83946947531424,2.12960613425112,0,"all","pooled"
"s_lim",8.90582842232045,7.92762987765319,10.0947286692647,0,"all","pooled"
"mu_max",1.51495878275,1.41565674327,1.616357952,0,"none","individual"
"salt_tol",1.7913497132941,1.6199527095625,1.98237703585741,0,"none","individual"
"s_lim",7.11570483532535,6.58183021762491,7.68362017734484,0,"none","individual"
"mu_max",1.50408818621667,1.41150275766667,1.599040077,0,"1","individual"
"salt_tol",2.24378934999842,2.05439884918295,2.4556003376732,0,"1","individual"
"s_lim",8.30325534463208,7.77508971663401,8.89401145776624,0,"1","individual"
"mu_max",1.62669389493667,1.510940497,1.738469644,0,"10","individual"
"salt_tol",1.71458963945566,1.569513343272,1.88221374055765,0,"10","individual"
"s_lim",6.89023552733955,6.36334718404851,7.37220301074448,0,"10","individual"
"mu_max",1.36189499485,1.20938660433333,1.523666404,0,"11","individual"
"salt_tol",1.71524056266469,1.46311903998583,1.99161810873838,0,"11","individual"
"s_lim",9.8480927075339,7.98892188536069,13.5234417991429,0.08625,"11","individual"
"mu_max",1.54927420683333,1.41024238766667,1.68912885466667,0,"12","individual"
"salt_tol",1.74942223646913,1.54799708821281,1.95080375598434,0,"12","individual"
"s_lim",7.18054689490682,6.62334424356157,7.7595637148644,0,"12","individual"
"mu_max",1.48188129483333,1.351082605,1.62354155466667,0,"13","individual"
"salt_tol",2.21197355138163,1.9251568595082,2.54559059645466,0,"13","individual"
"s_lim",9.77465285299533,7.9059561146014,13.6338264889244,0.0425,"13","individual"
"mu_max",1.51433897428333,1.4204010095,1.61491371986667,0,"14","individual"
"salt_tol",1.82272655593746,1.66234452628236,1.9876847380972,0,"14","individual"
"s_lim",7.11346980559525,6.67191288733497,7.62033851222388,0,"14","individual"
"mu_max",1.55424498208333,1.45478428766667,1.65535051433333,0,"15","individual"
"salt_tol",1.84239228204343,1.69154053139076,2.00172374832401,0,"15","individual"
"s_lim",7.14426170052936,6.69188236043035,7.60754978969507,0,"15","individual"
"mu_max",1.55304192996667,1.45113019433333,1.661091502,0,"2","individual"
"salt_tol",2.41880837386162,2.08363946838567,2.73707308812387,0,"2","individual"
"s_lim",9.21213865624767,8.19591717962054,10.5059481269012,0,"2","individual"
"mu_max",1.56511301266667,1.48355944433333,1.65449797033333,0,"3","individual"
"salt_tol",1.97882960070269,1.80348114518587,2.15746362645253,0,"3","individual"
"s_lim",7.52016305240321,7.04559681166651,7.98990261960121,0,"3","individual"
"mu_max",1.46901541533333,1.338610017,1.612242754,0,"4","individual"
"salt_tol",2.11210858861389,1.83601197684065,2.43447967688522,0,"4","individual"
"s_lim",9.09285710804947,7.5608825852098,12.1398074304452,0.017625,"4","individual"
"mu_max",1.60973421785,1.48978032756667,1.71590471266667,0,"5","individual"
"salt_tol",1.68796288677276,1.53425228396553,1.85392318492636,0,"5","individual"
"s_lim",6.83009743355138,6.37740117704147,7.33206341021572,0,"5","individual"
"mu_max",1.5290748812,1.45564167353333,1.60773591166667,0,"6","individual"
"salt_tol",1.8674917268357,1.7207396219582,2.02868177512081,0,"6","individual"
"s_lim",6.82157770221038,6.36412690161891,7.27606845705734,0,"6","individual"
"mu_max",1.50345344933333,1.350074198,1.65748006831333,0,"7","individual"
"salt_tol",1.93474508684542,1.68668421800418,2.19567724146374,0,"7","individual"
"s_lim",7.790482801238,7.06246243267895,8.62869730113542,0,"7","individual"
"mu_max",1.530303216365,1.451155657,1.609747242,0,"8","individual"
"salt_tol",1.76554660471021,1.63004473727709,1.91211560388646,0,"8","individual"
"s_lim",7.00003338137343,6.55521829233594,7.51259913140881,0,"8","individual"
"mu_max",1.4000721244,1.30930173833333,1.49233344966667,0,"9","individual"
"salt_tol",2.09801421907014,1.88147193705614,2.33274219642277,0,"9","individual"
"s_lim",7.96254665072049,7.40385215181691,8.58779825437609,0,"9","individual"
"mu_max",1.61099863055,1.49106126966667,1.7249704486,0,"all","individual"
"salt_tol",1.83294851965566,1.6471080297138,2.02937839466633,0,"all","individual"
"s_lim",9.89203937389812,8.4121439872642,12.2946983367833,0.012,"all","individual"
