"axis","trait","type","contrast","median","lo","hi","sig"
"nitrogen","affinity","microbe_vs_none","mic_1",-0.00804,-0.0174,0.00174,FALSE
"nitrogen","affinity","microbe_vs_none","mic_10",0.00496,-0.00725,0.0169,FALSE
"nitrogen","affinity","microbe_vs_none","mic_11",-0.014,-0.0225,-0.00603,TRUE
"nitrogen","affinity","microbe_vs_none","mic_12",0.00468,-0.00601,0.0153,FALSE
"nitrogen","affinity","microbe_vs_none","mic_13",-0.0104,-0.0191,-0.00253,TRUE
"nitrogen","affinity","microbe_vs_none","mic_14",0.00692,-0.00393,0.0174,FALSE
"nitrogen","affinity","microbe_vs_none","mic_15",0.00296,-0.0085,0.0148,FALSE
"nitrogen","affinity","microbe_vs_none","mic_2",-0.00107,-0.0105,0.00874,FALSE
"nitrogen","affinity","microbe_vs_none","mic_3",0.000142,-0.0107,0.0107,FALSE
"nitrogen","affinity","microbe_vs_none","mic_4",-0.000884,-0.0115,0.0111,FALSE
"nitrogen","affinity","microbe_vs_none","mic_5",-0.00413,-0.0134,0.00518,FALSE
"nitrogen","affinity","microbe_vs_none","mic_6",-0.0069,-0.0163,0.00278,FALSE
"nitrogen","affinity","microbe_vs_none","mic_7",-0.00725,-0.017,0.00275,FALSE
"nitrogen","affinity","microbe_vs_none","mic_8",-0.000584,-0.0108,0.0102,FALSE
"nitrogen","affinity","microbe_vs_none","mic_9",0.000715,-0.00882,0.0109,FALSE
"nitrogen","affinity","community_vs_none","all",-0.0126,-0.0203,-0.00496,TRUE
"nitrogen","affinity","emergent_mean","all - mean(15)",-0.0107,-0.0146,-0.00632,TRUE
"nitrogen","affinity","emergent_sum","all - sum(15)",0.0171,-0.0792,0.123,FALSE
"nitrogen","ks","microbe_vs_none","mic_1",18.4,-5.33,45.6,FALSE
"nitrogen","ks","microbe_vs_none","mic_10",-6.38,-24.3,12.9,FALSE
"nitrogen","ks","microbe_vs_none","mic_11",38.1,9.1,67.3,TRUE
"nitrogen","ks","microbe_vs_none","mic_12",-6.21,-23.1,10.8,FALSE
"nitrogen","ks","microbe_vs_none","mic_13",26.7,4.48,50.9,TRUE
"nitrogen","ks","microbe_vs_none","mic_14",-9.12,-25.2,6.62,FALSE
"nitrogen","ks","microbe_vs_none","mic_15",-5.49,-24,14.4,FALSE
"nitrogen","ks","microbe_vs_none","mic_2",3.64,-15.4,22.3,FALSE
"nitrogen","ks","microbe_vs_none","mic_3",0.372,-19,20.1,FALSE
"nitrogen","ks","microbe_vs_none","mic_4",-1.56,-21.8,19.9,FALSE
"nitrogen","ks","microbe_vs_none","mic_5",9.81,-9.82,30.9,FALSE
"nitrogen","ks","microbe_vs_none","mic_6",13.7,-8.28,38.6,FALSE
"nitrogen","ks","microbe_vs_none","mic_7",14.8,-10.5,39.3,FALSE
"nitrogen","ks","microbe_vs_none","mic_8",1.77,-17.2,22.1,FALSE
"nitrogen","ks","microbe_vs_none","mic_9",-4.45,-22,12.3,FALSE
"nitrogen","ks","community_vs_none","all",49.5,23.5,76.3,TRUE
"nitrogen","ks","emergent_mean","all - mean(15)",42.9,19.7,67.2,TRUE
"nitrogen","ks","emergent_sum","all - sum(15)",-52.2,-238,140,FALSE
"nitrogen","mumax","microbe_vs_none","mic_1",0.023,-0.141,0.2,FALSE
"nitrogen","mumax","microbe_vs_none","mic_10",0.0127,-0.128,0.154,FALSE
"nitrogen","mumax","microbe_vs_none","mic_11",-0.0403,-0.224,0.143,FALSE
"nitrogen","mumax","microbe_vs_none","mic_12",0.0136,-0.118,0.143,FALSE
"nitrogen","mumax","microbe_vs_none","mic_13",0.0386,-0.112,0.179,FALSE
