"","Row","Column","Plate","Read","RFU","OD600","date","time","datetime","Well.at.T","Temperature.C","Nitrogen.conc.µM","Salt.conc.g.l","Chlamy.y.n","Microbe","Plate.at.T","Notes","days"
"1",1,1,1,0,35,1.067,663751,"11:01:31",2025-04-15 11:01:31,1,8,1000,0,"n","5",1,"",0
"2",1,2,1,0,41,0.836,663751,"11:01:31",2025-04-15 11:01:31,2,8,1000,0,"y","2",1,"",0
"3",1,3,1,0,40,1.007,663751,"11:01:31",2025-04-15 11:01:31,3,8,1000,0,"y","15",1,"",0
"4",1,4,1,0,39,0.98,663751,"11:01:31",2025-04-15 11:01:31,4,8,1000,0,"n","15",1,"",0
"5",1,5,1,0,34,0.942,663751,"11:01:31",2025-04-15 11:01:31,5,8,1000,0,"BLANK","BLANK",1,"",0
"6",1,6,1,0,41,0.624,663751,"11:01:31",2025-04-15 11:01:31,6,8,1000,0,"y","7",1,"",0
"7",1,7,1,0,43,0.954,663751,"11:01:31",2025-04-15 11:01:31,7,8,1000,0,"y","4",1,"",0
"8",1,8,1,0,42,1,663751,"11:01:31",2025-04-15 11:01:31,8,8,1000,0,"BLANK","BLANK",1,"",0
"9",1,9,1,0,50,0.996,663751,"11:01:31",2025-04-15 11:01:31,9,8,1000,0,"y","14",1,"",0
"10",1,10,1,0,49,0.792,663751,"11:01:31",2025-04-15 11:01:31,10,8,1000,0,"y","1",1,"",0
"11",2,1,1,0,39,1.067,663751,"11:01:31",2025-04-15 11:01:31,11,8,1000,0,"n","7",1,"",0
"12",2,2,1,0,36,1.026,663751,"11:01:31",2025-04-15 11:01:31,12,8,1000,0,"n","2",1,"",0
"13",2,3,1,0,37,0.443,663751,"11:01:31",2025-04-15 11:01:31,13,8,1000,0,"y","8",1,"",0
"14",2,4,1,0,36,1.023,663751,"11:01:31",2025-04-15 11:01:31,14,8,1000,0,"n","1",1,"",0
"15",2,5,1,0,40,0.949,663751,"11:01:31",2025-04-15 11:01:31,15,8,1000,0,"y","2",1,"",0
