"","mic","salt","well.ID","r.exp"
"1","none",5.33,"6.5.5",0.285097432277699
"2","none",5.33,"10.3.3",0.184103981346977
"3","none",5.33,"20.5.9",0.113311775763265
"4","none",1.33,"4.1.4",1.51431887886837
"5","none",1.33,"25.5.7",1.09288114007017
"6","none",1.33,"29.1.2",1.44206001126565
"7","none",10.67,"13.1.1",-0.160836099825309
"8","none",10.67,"22.4.6",-0.14335634713396
"9","none",10.67,"32.5.7",-0.196070915697155
"10","none",6.67,"6.4.10",0.106834635272559
"11","none",6.67,"14.3.1",0.0831147496329794
"12","none",6.67,"25.2.3",-0.145857646917954
"13","none",2.67,"7.6.7",0.766176066846654
"14","none",2.67,"19.2.8",0.748711932616242
"15","none",2.67,"19.4.1",0.700538970742273
"16","none",9.33,"12.5.5",0.191890061845766
"17","none",9.33,"20.5.3",-0.137949860678601
"18","none",9.33,"21.3.9",-0.165626203613775
"19","none",8,"4.1.6",-0.153382111774761
"20","none",8,"10.1.6",0.0816170992846278
"21","none",8,"30.6.7",-0.119094877019604
"22","none",0,"1.4.1",1.66706568001701
"23","none",0,"16.5.9",1.5030150907863
"24","none",0,"20.6.6",1.98958306845173
"25","none",4,"6.3.4",0.460537042431341
"26","none",4,"11.4.9",0.256406348929524
"27","none",4,"15.2.8",0.309785163247807
"28","none",12,"5.6.9",-0.203144254607118
"29","none",12,"11.6.2",-0.200450934094468
"30","none",12,"15.3.2",-0.138777592655883
"31","1",5.33,"1.6.6",0.391178511151726
"32","1",5.33,"13.2.10",0.205792629032603
"33","1",5.33,"21.1.1",0.135977457069452
"34","1",1.33,"17.2.2",1.36860537163126
"35","1",1.33,"27.4.10",1.24218608893454
"36","1",1.33,"29.3.9",0.468668624058598
"37","1",10.67,"4.3.8",-0.205225701168728
"38","1",10.67,"5.5.6",-0.131870109397887
"39","1",10.67,"20.5.4",-0.153857017492133
"40","1",6.67,"13.4.6",0.0808089700227381
"41","1",6.67,"16.4.1",0.0570610269532275
"42","1",6.67,"21.4.2",0.138912893203528
"43","1",2.67,"15.3.10",0.687442261422776
"44","1",2.67,"18.1.10",0.705878479065923
"45","1",2.67,"24.6.7",0.782376008955765
"46","1",9.33,"24.6.6",0.179059310244967
"47","1",9.33,"26.1.3",-0.092530728857551
"48","1",9.33,"30.1.4",-0.116365723012334
"49","1",8,"1.3.5",0.206047422210904
"50","1",8,"5.2.9",0.199520679084978
"51","1",8,"28.4.5",0.0182862080587736
"52","1",0,"3.3.2",1.14080500242712
"53","1",0,"12.3.4",1.40955026195152
"54","1",0,"13.6.3",1.84061593952631
"55","1",4,"1.6.3",0.400519014052627
"56","1",4,"17.5.8",0.357675582790664
"57","1",4,"29.6.3",0.234554159643822
"58","1",12,"4.5.10",-0.21280864343754
"59","1",12,"25.5.3",-0.120095054805234
"60","1",12,"31.1.9",-0.17344200000279
"61","2",5.33,"2.6.8",0.472609145269796
"62","2",5.33,"28.4.10",0.304149053445671
"63","2",5.33,"29.5.8",0.142152163275558
"64","2",1.33,"7.2.1",1.33159991335553
"65","2",1.33,"8.5.3",1.36444913605935
"66","2",1.33,"20.1.3",1.4282188226356
"67","2",10.67,"5.3.4",-0.118627413160252
"68","2",10.67,"8.5.2",0.0476952191395705
"69","2",10.67,"22.1.1",-0.0886551510878133
"70","2",6.67,"4.3.9",0.220023852542574
"71","2",6.67,"17.4.5",0.18608734211826
"72","2",6.67,"17.5.7",0.323286767543288
"73","2",2.67,"9.4.1",0.835627793953879
"74","2",2.67,"24.6.9",0.253613359896858
"75","2",2.67,"27.2.6",0.775902465125096
"76","2",9.33,"8.1.5",-0.118272000681044
"77","2",9.33,"9.4.2",0.072983707476553
"78","2",9.33,"15.6.4",0.0564220174061792
"79","2",8,"1.5.4",0.269130572909111
"80","2",8,"9.5.2",0.118593477374549
"81","2",8,"24.6.5",-0.0819411332761144
"82","2",0,"14.3.7",0.569719356079872
"83","2",0,"19.6.8",1.89604960337137
"84","2",0,"30.3.7",1.82514901588831
"85","2",4,"10.2.3",0.426707838052858
"86","2",4,"19.1.1",0.36974400747758
"87","2",4,"20.5.5",0.152452879239768
"88","2",12,"3.1.8",-0.191702101345025
"89","2",12,"11.3.3",-0.121886530340662
"90","2",12,"29.2.7",-0.105004105340305
"91","3",5.33,"1.5.2",0.796463802914117
"92","3",5.33,"10.3.7",0.225261529487949
"93","3",5.33,"23.6.5",0.168990800522103
"94","3",1.33,"11.3.5",1.33943022339119
"95","3",1.33,"14.5.8",1.33790606409718
"96","3",1.33,"28.2.9",1.30107867851483
"97","3",10.67,"6.5.9",-0.132663602247808
"98","3",10.67,"14.4.5",-0.109297500559884
"99","3",10.67,"26.6.1",-0.130584123422525
"100","3",6.67,"1.6.8",0.150222480688984
"101","3",6.67,"6.5.7",0.183103402953227
"102","3",6.67,"13.5.8",0.207025724061748
"103","3",2.67,"21.5.3",0.674747769466576
"104","3",2.67,"30.1.8",0.784879094495758
"105","3",2.67,"32.3.6",0.706958296711868
"106","3",9.33,"2.3.2",0.119884694767785
"107","3",9.33,"18.5.9",-0.114002714764326
"108","3",9.33,"22.6.3",0.167479698695685
"109","3",8,"12.2.3",0.147903913298937
"110","3",8,"14.5.1",0.141923321872324
"111","3",8,"30.5.4",-0.115494756355393
"112","3",0,"4.2.5",0.564777380305044
"113","3",0,"6.6.1",2.0219824267646
"114","3",0,"24.3.2",0.510548721835278
"115","3",4,"3.4.3",0.526734028280247
"116","3",4,"4.6.7",0.297281913822157
"117","3",4,"28.6.8",0.239821291434521
"118","3",12,"25.4.6",-0.150591639237823
"119","3",12,"26.5.7",-0.129191986639738
"120","3",12,"27.6.2",-0.170721235906573
"121","4",5.33,"22.2.7",0.416647937271391
"122","4",5.33,"23.6.7",0.117832081934679
"123","4",5.33,"32.5.5",0.210640835731188
"124","4",1.33,"3.2.6",1.5416623433998
"125","4",1.33,"15.6.9",1.27547755357092
"126","4",1.33,"31.2.4",0.344151838852995
"127","4",10.67,"12.2.5",-0.0796324493479367
"128","4",10.67,"24.3.5",-0.158795090753306
"129","4",10.67,"26.3.2",-0.104761758774335
"130","4",6.67,"20.6.10",-0.142323066651676
"131","4",6.67,"24.1.6",0.194567703420482
"132","4",6.67,"25.2.6",0.162591371262998
"133","4",2.67,"12.4.1",0.590474610936861
"134","4",2.67,"27.5.5",0.346025430141604
"135","4",2.67,"32.1.5",0.711408200562805
"136","4",9.33,"9.4.3",0.0210432574733286
"137","4",9.33,"26.2.6",-0.116129764176825
"138","4",9.33,"26.2.9",-0.14141576278037
"139","4",8,"17.1.8",0.105590345494638
"140","4",8,"17.3.3",0.150986913472291
"141","4",8,"19.2.9",-0.104056678131169
"142","4",0,"23.3.3",1.39263475447031
"143","4",0,"32.1.8",1.50209915009642
"144","4",0,"32.2.4",1.49936557971919
"145","4",4,"8.3.8",0.389012991408881
"146","4",4,"12.4.10",0.340445270203811
"147","4",4,"20.6.5",0.199629233583404
"148","4",12,"17.1.9",-0.165477473190592
"149","4",12,"23.3.6",-0.135689168724098
"150","4",12,"32.1.10",-0.123057196535646
"151","5",5.33,"5.1.2",0.41072431368391
"152","5",5.33,"10.1.3",0.196767762605948
"153","5",5.33,"11.2.10",0.177658865882826
"154","5",1.33,"1.5.9",1.44217017279203
"155","5",1.33,"19.1.8",1.39498570081128
"156","5",1.33,"30.5.8",1.36473194213858
"157","5",10.67,"10.5.7",-0.155110694099069
"158","5",10.67,"14.4.7",-0.170673536870332
"159","5",10.67,"27.1.4",0.165293962302403
"160","5",6.67,"29.4.2",-0.124822907048076
"161","5",6.67,"31.6.4",-0.144772866112118
"162","5",6.67,"32.4.8",-0.124881021147637
"163","5",2.67,"1.2.4",0.747905046384094
"164","5",2.67,"5.1.3",0.764842421603485
"165","5",2.67,"7.3.3",0.253810513401862
"166","5",9.33,"10.2.6",0.197644910106504
"167","5",9.33,"15.4.7",-0.188202070593924
"168","5",9.33,"21.2.3",-0.141772603956521
"169","5",8,"5.4.6",-0.17985377521233
"170","5",8,"13.1.6",-0.120515198613718
"171","5",8,"21.1.9",-0.153079523889539
"172","5",0,"14.4.4",0.596415984167149
"173","5",0,"21.4.9",1.57394994775366
"174","5",0,"30.1.5",1.77860727449313
"175","5",4,"17.2.10",0.247498432949458
"176","5",4,"28.5.1",0.101369870433122
"177","5",4,"30.5.7",0.292454507101071
"178","5",12,"4.5.1",-0.146461363050718
"179","5",12,"7.5.10",-0.195077334475528
"180","5",12,"8.5.8",-0.159072089401868
"181","6",5.33,"1.1.1",0.18173562444163
"182","6",5.33,"1.3.6",0.330700308149727
"183","6",5.33,"10.4.2",0.170271133950318
"184","6",1.33,"5.1.9",1.73985618813232
"185","6",1.33,"10.1.5",1.3109808084931
"186","6",1.33,"19.3.1",1.3542368067422
"187","6",10.67,"15.4.3",-0.11801473937898
"188","6",10.67,"24.5.9",-0.113566001506588
"189","6",10.67,"26.1.5",-0.226631338078921
"190","6",6.67,"4.3.10",0.126530856438334
"191","6",6.67,"12.1.1",0.16520401444323
"192","6",6.67,"26.3.3",-0.114832616968781
"193","6",2.67,"3.5.7",0.944749784189994
"194","6",2.67,"6.4.2",0.357906789937455
"195","6",2.67,"16.2.2",0.788569565946787
"196","6",9.33,"15.1.6",-0.166960287981847
"197","6",9.33,"27.5.6",-0.18950018417461
"198","6",9.33,"31.6.3",-0.131983551969438
"199","6",8,"5.2.3",0.102723166623816
"200","6",8,"12.5.1",0.0672960283939934
"201","6",8,"13.4.3",0.0467460528643722
"202","6",0,"6.1.2",1.87595926579129
"203","6",0,"14.5.2",0.74324223609238
"204","6",0,"24.1.1",1.41472059042289
"205","6",4,"4.4.4",0.497606619492444
"206","6",4,"8.2.5",0.458873111141247
"207","6",4,"8.4.5",0.227516415509887
"208","6",12,"3.3.6",-0.19043811536457
"209","6",12,"10.3.5",-0.124174367270598
"210","6",12,"26.1.6",-0.172419752690672
"211","7",5.33,"2.4.7",0.502308275920661
"212","7",5.33,"4.6.6",0.286528637554364
"213","7",5.33,"26.6.3",0.29131229902514
"214","7",1.33,"3.3.8",1.43664597290071
"215","7",1.33,"9.1.4",1.42900627161742
"216","7",1.33,"10.3.10",1.28439554887568
"217","7",10.67,"13.2.8",-0.110268514616251
"218","7",10.67,"18.2.9",0.0247661066479966
"219","7",10.67,"27.4.1",-0.169823455156712
"220","7",6.67,"10.3.6",0.102330046730599
"221","7",6.67,"23.3.5",0.203571896309845
"222","7",6.67,"26.1.8",0.0991257816160163
"223","7",2.67,"2.3.9",0.787589425621905
"224","7",2.67,"26.3.9",0.219098966924923
"225","7",2.67,"28.6.3",0.177192339423449
"226","7",9.33,"9.1.8",0.0533310350750894
"227","7",9.33,"10.6.8",-0.057431855916371
"228","7",9.33,"13.2.7",0.0842184302675467
"229","7",8,"6.6.5",0.0966160647263325
"230","7",8,"15.1.1",0.0572131054506818
"231","7",8,"25.6.4",-0.0621772827865083
"232","7",0,"6.4.5",0.48341736770923
"233","7",0,"8.2.6",0.681271320671495
"234","7",0,"11.3.6",0.485398610327709
"235","7",4,"13.4.1",0.180417917753581
"236","7",4,"21.4.4",0.239896497912208
"237","7",4,"30.3.6",0.28909340798191
"238","7",12,"3.3.10",-0.191787607658632
"239","7",12,"5.6.10",-0.144900012606524
"240","7",12,"8.1.6",-0.0845984555868136
"241","8",5.33,"6.4.1",0.205623501401994
"242","8",5.33,"22.4.3",0.232613178107323
"243","8",5.33,"28.3.6",0.288779359931351
"244","8",1.33,"7.2.4",1.4562211600535
"245","8",1.33,"9.6.2",1.42587827730008
"246","8",1.33,"15.6.8",1.29055826610105
"247","8",10.67,"4.1.2",-0.202311124195087
"248","8",10.67,"14.5.4",-0.0954059848545151
"249","8",10.67,"25.2.9",-0.158356059331321
"250","8",6.67,"9.2.5",0.202718871832511
"251","8",6.67,"11.3.4",0.0221697622370347
"252","8",6.67,"14.6.10",0.14503384367396
"253","8",2.67,"6.3.5",0.806392540791857
"254","8",2.67,"7.1.8",0.57992768194382
"255","8",2.67,"9.5.7",0.772552912913485
"256","8",9.33,"13.2.3",0.0345087325480291
"257","8",9.33,"20.5.7",-0.155541701264816
"258","8",9.33,"28.2.1",-0.180771665546076
"259","8",8,"4.6.8",-0.146523179338262
"260","8",8,"11.1.4",-0.0753113864596838
"261","8",8,"30.4.2",-0.156271657686669
"262","8",0,"13.3.7",0.417633903231178
"263","8",0,"24.4.4",1.58926605258883
"264","8",0,"26.4.2",1.85986958250077
"265","8",4,"20.5.6",0.220642451460422
"266","8",4,"29.5.2",0.380092046886979
"267","8",4,"32.2.10",0.179558761062826
"268","8",12,"10.2.10",-0.140017120453952
"269","8",12,"18.3.1",0.0206565512907288
"270","8",12,"31.5.2",-0.176491579175807
"271","9",5.33,"4.4.2",0.25075787476604
"272","9",5.33,"12.2.4",0.188762711235221
"273","9",5.33,"31.5.5",0.294290904160169
"274","9",1.33,"30.1.7",1.30810182426871
"275","9",1.33,"31.6.9",1.7500303964404
"276","9",1.33,"32.6.2",1.26190809495029
"277","9",10.67,"8.1.8",-0.145846434252337
"278","9",10.67,"10.4.10",-0.10019357249228
"279","9",10.67,"26.5.9",-0.180465053445321
"280","9",6.67,"11.4.4",0.143756760216662
"281","9",6.67,"15.5.8",0.251719314362485
"282","9",6.67,"17.3.6",0.236921498044454
"283","9",2.67,"9.3.10",0.885884954324008
"284","9",2.67,"11.5.7",0.753660698829767
"285","9",2.67,"22.1.10",0.622051150831099
"286","9",9.33,"4.1.5",-0.101204188346298
"287","9",9.33,"24.3.1",-0.127179366769504
"288","9",9.33,"24.4.8",-0.0978133283553322
"289","9",8,"10.2.7",0.0985265501623661
"290","9",8,"16.1.4",-0.0550956986594272
"291","9",8,"19.6.5",-0.0865027024377621
"292","9",0,"3.6.3",2.08630884261565
"293","9",0,"8.5.6",1.85723736591623
"294","9",0,"11.3.9",1.82349823280399
"295","9",4,"11.4.10",0.325581794347889
"296","9",4,"17.1.7",0.277134252040984
"297","9",4,"18.1.8",0.437942194978322
"298","9",12,"3.1.4",-0.131009295727157
"299","9",12,"15.1.5",-0.137140654759833
"300","9",12,"25.6.2",-0.11932318044762
"301","10",5.33,"2.2.1",0.339121580627347
"302","10",5.33,"23.6.6",0.110290689141157
"303","10",5.33,"27.2.9",0.0650823768242904
"304","10",1.33,"3.1.5",1.38869268809844
"305","10",1.33,"4.6.3",1.45795397999989
"306","10",1.33,"23.6.2",1.01122222207887
"307","10",10.67,"2.3.5",-0.199351995916997
"308","10",10.67,"7.4.10",-0.154370403205734
"309","10",10.67,"26.6.5",-0.173510216996748
"310","10",6.67,"1.2.3",0.15023215193343
"311","10",6.67,"18.3.4",0.0444998068374489
"312","10",6.67,"24.5.3",-0.101387735263181
"313","10",2.67,"6.3.10",0.844834530894965
"314","10",2.67,"7.2.2",0.849703721405075
"315","10",2.67,"21.3.3",0.181782020936414
"316","10",9.33,"5.3.5",-0.176111731901738
"317","10",9.33,"22.3.7",-0.106572155696208
"318","10",9.33,"28.4.6",-0.149093957156246
"319","10",8,"3.6.9",-0.160653741332327
"320","10",8,"16.2.10",0.0541893874756534
"321","10",8,"27.4.5",-0.130981055092286
"322","10",0,"7.1.7",1.98989966372388
"323","10",0,"21.3.2",1.50051703840629
"324","10",0,"28.1.10",1.67596080037203
"325","10",4,"8.6.6",0.134840275891015
"326","10",4,"13.5.4",0.459240101456383
"327","10",4,"28.4.7",0.368994258122658
"328","10",12,"11.3.1",-0.231347324607368
"329","10",12,"25.5.6",-0.156062881698591
"330","10",12,"31.1.2",-0.218397289018913
"331","11",5.33,"12.6.5",0.16248265560207
"332","11",5.33,"16.2.1",0.088727149214605
"333","11",5.33,"27.4.9",0.209133970735652
"334","11",1.33,"14.1.2",0.339955901690591
"335","11",1.33,"16.1.10",0.427164041038587
"336","11",1.33,"27.6.9",0.401471294318422
"337","11",10.67,"5.1.7",-0.113228424524815
"338","11",10.67,"30.1.2",-0.233490317804391
"339","11",10.67,"30.4.1",-0.174939340674359
"340","11",6.67,"14.5.5",0.13080342028936
"341","11",6.67,"20.5.1",0.0447751883799118
"342","11",6.67,"26.4.6",0.122584305490399
"343","11",2.67,"2.1.6",0.556501815435461
"344","11",2.67,"5.5.4",0.588075594644802
"345","11",2.67,"11.5.9",0.471578458888452
"346","11",9.33,"7.1.2",0.14837960529854
"347","11",9.33,"29.3.4",-0.120869774966199
"348","11",9.33,"30.1.9",-0.0868290954016786
"349","11",8,"4.2.7",0.118022244360886
"350","11",8,"4.6.10",0.15119531666414
"351","11",8,"27.6.7",0.0624362838712279
