"","Block","Mic","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"1",1,"none",5,41.6,27.4,31.4,1.49288709568644
"2",1,"1",5,42.2,27.4,33.1,1.69731989823976
"3",1,"2",5,42.2,28,33.1,1.79771400775415
"4",1,"3",5,42.3,26.5,33.2,1.64371004123935
"5",1,"4",6.3,42.4,25.9,33.7,1.76920304070864
"6",1,"5",6.2,41.9,26.9,32.3,1.7985719703839
"7",1,"6",5,42.4,28.3,32.7,1.87656843909828
"8",1,"7",5,42.2,26.5,33.2,1.63596867425724
"9",1,"8",5,41.9,26.6,32.5,1.58521366557299
"10",1,"9",5,42.2,27.1,33.1,1.71892374142792
"11",1,"10",5,42.1,27.6,32.4,1.68480604204706
"12",1,"11",9.7,42.5,23.4,35.2,2.09398669111603
"13",1,"12",6.4,42.2,26.4,32.9,1.76811333584458
"14",1,"13",7.3,41.8,25.1,32.5,1.58927390533903
"15",1,"14",5.1,42.1,27,32.6,1.7339454255726
"16",1,"15",5,41.9,27.2,32.4,1.67190494752854
"17",1,"all",7.3,42.2,25.1,33.8,1.76661222581319
"18",2,"none",8.8,42.4,24.3,34.1,1.77965709289767
"19",2,"1",9,42.5,23.6,34.6,1.79849361457411
"20",2,"2",7.7,42.5,24.9,34.4,1.82171980485969
"21",2,"3",6.1,42.3,25,34.4,1.63545421391194
"22",2,"4",8.2,42.5,24.2,34.6,1.82027150507772
"23",2,"5",6.6,42.4,25,34.5,1.7536637140236
"24",2,"6",7,42.3,26,34.1,1.88214851577921
"25",2,"7",5,42.3,27.7,33.6,1.54835155740404
"26",2,"8",6.9,42.4,24.4,35,1.78637268337908
"27",2,"9",5.6,42.4,26.3,33.8,1.82062543855003
"28",2,"10",6.3,42.2,26.3,33.3,1.84161248521324
"29",2,"11",8.1,42.4,25.2,33.8,1.85984705007047
"30",2,"12",7.1,42.4,25.1,33.7,1.72303858756457
"31",2,"13",5.9,42.2,27.1,33.2,1.91298079833087
"32",2,"14",7.2,42.4,25.5,34.2,1.90864506590877
"33",2,"15",6.5,42.3,25.5,34.4,1.80419538330125
"34",2,"all",9.2,42.4,24.6,34.1,1.9041103955757
