,Block,Mic,Parameter,mean,Rhat,n.eff
205,1,none,a,2.569767291,1.00111871,2000
206,1,none,b,0.830359707,1.004982281,2000
207,1,none,c,0.591158669,1.005445403,1800
208,1,none,deviance,-11.83175761,1.001157741,2000
209,1,1,a,1.876457805,1.002365202,800
210,1,1,b,0.701705606,1.00097647,2000
211,1,1,c,1.876773281,1.019074715,470
212,1,1,deviance,-37.26519849,1.001565097,1400
213,1,2,a,2.091935772,1.000620224,2000
214,1,2,b,0.548714256,1.000498515,2000
215,1,2,c,2.152285479,1.000513641,2000
216,1,2,deviance,19.54856915,1.000699597,2000
217,1,3,a,1.977809459,1.000930992,2000
218,1,3,b,1.215749366,1.000514915,2000
219,1,3,c,1.257830452,1.00421678,1300
220,1,3,deviance,23.41961549,1.002359429,810
221,1,4,a,1.328227125,1.001334359,2000
222,1,4,b,2.170051123,1.000627123,2000
223,1,4,c,2.320183304,1.000966755,2000
224,1,4,deviance,25.84202128,1.001467921,1500
225,1,5,a,2.948131434,1.001240064,2000
226,1,5,b,0.881192298,1.013864181,2000
227,1,5,c,0.404533715,1.001196031,2000
228,1,5,deviance,-16.88296786,1.001742359,1200
229,1,6,a,2.571848638,1.00052889,2000
230,1,6,b,0.692127001,1.005688345,2000
231,1,6,c,0.967595303,1.000592021,2000
232,1,6,deviance,-19.93418397,1.006270207,600
233,1,7,a,1.229117315,1.000618416,2000
234,1,7,b,2.525991632,1.000747967,2000
235,1,7,c,2.514478054,1.000629978,2000
236,1,7,deviance,8.242284752,1.000787111,2000
237,1,8,a,2.478044989,1.000828839,2000
238,1,8,b,0.747964875,1.001056828,2000
239,1,8,c,0.711726776,1.001199962,2000
240,1,8,deviance,-31.51381866,1.000529815,2000
241,1,9,a,1.680341269,1.001156749,2000
242,1,9,b,0.86718461,1.000795994,2000
243,1,9,c,1.2259753,1.000570525,2000
244,1,9,deviance,-1.09890159,1.000656277,2000
245,1,10,a,1.892137297,1.000530989,2000
246,1,10,b,1.189904424,1.000544807,2000
247,1,10,c,1.777377407,1.00114438,2000
248,1,10,deviance,-0.222669896,1.003439042,2000
249,1,11,a,2.326211933,1.004089541,420
250,1,11,b,0.674370623,1.000505973,2000
251,1,11,c,0.452786088,1.004362325,390
252,1,11,deviance,-42.73610264,1.002113455,930
253,1,12,a,2.537288029,1.001987887,1000
254,1,12,b,0.840741659,1.004028684,1400
255,1,12,c,0.779582971,1.004047542,780
256,1,12,deviance,-15.79815284,1.000787547,2000
257,1,13,a,1.864215917,1.000946208,2000
258,1,13,b,0.921880347,1.000589034,2000
259,1,13,c,1.858122066,1.002545304,2000
260,1,13,deviance,28.83878871,1.000498049,2000
261,1,14,a,2.523984176,1.00087914,2000
262,1,14,b,0.840994928,1.006265551,2000
263,1,14,c,0.650834792,1.000923169,2000
264,1,14,deviance,-22.15742871,1.00171422,2000
265,1,15,a,1.953869343,1.001231733,2000
266,1,15,b,0.678931565,1.001850542,2000
267,1,15,c,1.554106739,1.000689908,2000
268,1,15,deviance,-33.37305721,1.000846861,2000
269,1,all,a,2.000597452,1.001439732,1600
270,1,all,b,1.176122656,1.004017681,2000
271,1,all,c,1.755577643,1.00064999,2000
272,1,all,deviance,12.23774149,1.003338666,620
273,2,none,a,2.14049559,1.00247816,760
274,2,none,b,0.851417684,1.005247425,320
275,2,none,c,1.92938958,1.000766529,2000
276,2,none,deviance,-25.38798564,1.000959963,2000
277,2,1,a,2.090535378,1.005566044,300
278,2,1,b,0.648750346,1.002900949,630
279,2,1,c,1.478432174,1.002932272,620
280,2,1,deviance,-9.841775446,1.00050134,2000
281,2,2,a,1.911141416,1.000503253,2000
282,2,2,b,1.26139961,1.001034017,2000
283,2,2,c,2.015985217,1.00059301,2000
284,2,2,deviance,7.861399398,1.000718711,2000
285,2,3,a,1.344078358,1.00470557,500
286,2,3,b,1.548106219,1.001641464,1300
287,2,3,c,3.115812529,1.001858976,1100
288,2,3,deviance,15.37152869,1.000532114,2000
289,2,4,a,2.108956059,1.000565744,2000
290,2,4,b,0.75196481,1.004414807,2000
291,2,4,c,1.322679479,1.008665852,1100
292,2,4,deviance,-6.417355147,1.006812658,2000
293,2,5,a,1.426664905,1.013026716,610
294,2,5,b,3.493392466,1.000971858,2000
295,2,5,c,2.558801416,1.100590121,350
296,2,5,deviance,3.319997759,1.013714726,140
297,2,6,a,1.575326902,1.000786452,2000
298,2,6,b,1.495724634,1.001166679,2000
299,2,6,c,2.722780536,1.01434793,1100
300,2,6,deviance,1.691362891,1.000796916,2000
301,2,7,a,0.942137456,1.001300835,1900
302,2,7,b,3.885451216,1.000498056,2000
303,2,7,c,3.009696431,1.000504963,2000
304,2,7,deviance,10.10527705,1.001293909,1900
305,2,8,a,1.445936701,1.00346976,2000
306,2,8,b,2.369892431,1.000745378,2000
307,2,8,c,2.724138125,1.045558197,1300
308,2,8,deviance,4.683176872,1.000522677,2000
309,2,9,a,2.822528338,1.000591758,2000
310,2,9,b,0.689524377,1.000711926,2000
311,2,9,c,1.27795667,1.013556231,1700
312,2,9,deviance,-31.47835225,1.000549413,2000
313,2,10,a,2.291090169,1.001136989,2000
314,2,10,b,0.86707529,1.001167672,2000
315,2,10,c,1.570482739,1.006015853,1100
316,2,10,deviance,-11.4244584,1.001146655,2000
317,2,11,a,2.927534101,1.000705508,2000
318,2,11,b,2.289787698,1.000567003,2000
319,2,11,c,0.431386649,1.000656208,2000
320,2,11,deviance,-2.361308959,1.002099504,2000
321,2,12,a,1.787835071,1.000532654,2000
322,2,12,b,0.946198407,1.002778437,2000
323,2,12,c,2.262149108,1.00050254,2000
324,2,12,deviance,-12.08282973,1.000994471,2000
325,2,13,a,2.059674493,1.00062033,2000
326,2,13,b,1.333346871,1.000532673,2000
327,2,13,c,1.75852067,1.000524751,2000
328,2,13,deviance,-23.49855317,1.001679267,1300
329,2,14,a,1.84524624,1.00199767,1000
330,2,14,b,1.372034507,1.000500802,2000
331,2,14,c,2.089746475,1.013561922,760
332,2,14,deviance,-3.463905281,1.002047713,1800
333,2,15,a,1.394165823,1.000946341,2000
334,2,15,b,3.820016228,1.000676937,2000
335,2,15,c,2.399635927,1.019054998,2000
336,2,15,deviance,19.2900428,1.000789284,2000
337,2,all,a,2.712722414,1.000801385,2000
338,2,all,b,0.910104636,1.002210309,2000
339,2,all,c,1.137437607,1.006037212,2000
340,2,all,deviance,-42.22681003,1.000924947,2000
