"","block","Chlamy","mic","temp","well.ID","r.exp"
"1",1,"y","none",8,"1.3.9",-0.0584274875476144
"2",1,"y","none",8,"2.2.2",0.0283685630655371
"3",1,"y","none",8,"2.4.5",0.0422561844588834
"4",2,"y","none",8,"1.1.6",0.152455579321485
"5",2,"y","none",8,"2.2.10",0.198848301834416
"6",2,"y","none",8,"2.3.8",0.141423943929682
"7",1,"y","none",14,"2.2.1",0.53950788407182
"8",1,"y","none",14,"2.2.8",0.625734144892479
"9",1,"y","none",14,"2.4.1",0.612359577022289
"10",2,"y","none",14,"1.3.8",-0.0243704992532584
"11",2,"y","none",14,"2.4.9",0.12147854297159
"12",2,"y","none",14,"2.5.1",0.464166969329163
"13",1,"y","none",20,"1.1.3",0.356402085931866
"14",1,"y","none",20,"1.4.1",0.403142716301573
"15",1,"y","none",20,"1.5.7",1.06008979515922
"16",2,"y","none",20,"1.1.2",0.353753609330687
"17",2,"y","none",20,"2.2.5",0.690302588595085
"18",2,"y","none",20,"2.5.8",0.523871602967993
"19",1,"y","none",25,"1.5.8",0.872734169084047
"20",1,"y","none",25,"1.6.4",1.81292444261888
"21",1,"y","none",25,"1.6.5",1.82483542259415
"22",2,"y","none",25,"1.1.9",1.16834113289103
"23",2,"y","none",25,"1.2.9",0.78734541603354
"24",2,"y","none",25,"2.1.9",0.952375686763995
"25",1,"y","none",30,"3.3.2",1.96385631985909
"26",1,"y","none",30,"13.2.8",1.39850292535509
"27",1,"y","none",30,"19.2.4",1.52246813525871
"28",2,"y","none",30,"1.4.1",1.66706568040074
"29",2,"y","none",30,"16.5.9",1.503015120398
"30",2,"y","none",30,"20.6.6",1.98958306805541
"31",1,"y","none",33,"1.3.1",1.92535824404727
"32",1,"y","none",33,"1.5.9",1.41197364149663
"33",1,"y","none",33,"2.4.3",1.87725778878193
"34",2,"y","none",33,"1.2.3",2.08550154768357
"35",2,"y","none",33,"1.2.9",2.03747759832969
"36",2,"y","none",33,"1.6.4",2.01376224555824
"37",1,"y","none",35,"1.3.4",1.93437848269484
"38",1,"y","none",35,"1.5.10",0.417523742440742
"39",1,"y","none",35,"2.2.7",1.98858396840245
"40",2,"y","none",35,"1.2.3",1.99519148128616
"41",2,"y","none",35,"1.2.6",2.18725178318593
"42",2,"y","none",35,"1.4.1",1.60878644059911
"43",1,"y","none",39,"1.4.1",0.259256765308946
"44",1,"y","none",39,"1.6.4",1.22832630640141
"45",1,"y","none",39,"2.1.2",0.269092818777437
"46",2,"y","none",39,"1.6.6",0.960081881605822
"47",2,"y","none",39,"2.4.2",0.908407063514634
"48",1,"y","none",43,"1.2.4",-0.265472192302044
"49",1,"y","none",43,"1.5.9",-0.233249201680798
"50",1,"y","none",43,"1.6.4",-0.210129337611681
"51",2,"y","none",43,"1.5.3",-0.228947721136236
"52",2,"y","none",43,"2.2.3",-0.262255989911643
"53",2,"y","none",43,"2.6.10",-0.166002481787408
"54",1,"y","1",8,"1.1.10",-0.070235304259096
"55",1,"n","1",8,"1.2.4",-0.0653804910112107
"56",1,"n","1",8,"1.4.2",-0.142906559543019
"57",1,"y","1",8,"1.4.5",0.0850168440996416
"58",1,"n","1",8,"1.6.2",-0.0870273220263931
"59",1,"y","1",8,"2.2.9",0.0233737350169354
"60",2,"y","1",8,"1.2.1",0.17118775866303
"61",2,"n","1",8,"1.3.2",-0.136663930895073
"62",2,"y","1",8,"1.4.9",0.139336382876631
"63",2,"n","1",8,"1.5.10",-0.152602722559258
"64",2,"y","1",8,"2.4.1",-0.00202811005370778
"65",2,"n","1",8,"2.4.9",-0.0922543136219974
"66",1,"n","1",14,"1.2.6",-0.156234053171994
"67",1,"n","1",14,"1.4.8",-0.0907414958691518
"68",1,"y","1",14,"2.3.10",0.636792542512665
"69",1,"n","1",14,"2.4.10",-0.0887767365662743
"70",1,"y","1",14,"2.6.3",0.448813502450043
"71",1,"y","1",14,"2.6.5",0.293059569091715
"72",2,"n","1",14,"1.1.1",-0.116104648050003
"73",2,"n","1",14,"1.3.2",-0.0908878322664185
"74",2,"y","1",14,"1.6.10",0.0224454700106639
"75",2,"n","1",14,"2.1.6",-0.067544932620208
