Row,Column,Well.ID,V.Chlamy,V.Em1021,V.Em1022,V.soln,C.Chlamy,C.Em1021,C.Em1022
A,1,A1,0,0,0,200,0,0,0
A,2,A2,0,0,0,200,0,0,0
A,3,A3,0,0,0,200,0,0,0
A,4,A4,200,0,0,0,1,0,0
A,5,A5,200,0,0,0,1,0,0
A,6,A6,200,0,0,0,1,0,0
A,7,A7,100,0,0,100,0.5,0,0
A,8,A8,100,0,0,100,0.5,0,0
A,9,A9,100,0,0,100,0.5,0,0
A,10,A10,20,0,0,180,0.1,0,0
A,11,A11,20,0,0,180,0.1,0,0
A,12,A12,20,0,0,180,0.1,0,0
B,1,B1,10,0,0,190,0.05,0,0
B,2,B2,10,0,0,190,0.05,0,0
B,3,B3,10,0,0,190,0.05,0,0
B,4,B4,2,0,0,198,0.01,0,0
B,5,B5,2,0,0,198,0.01,0,0
B,6,B6,2,0,0,198,0.01,0,0
B,7,B7,0.2,0,0,199.8,0.001,0,0
B,8,B8,0.2,0,0,199.8,0.001,0,0
B,9,B9,0.2,0,0,199.8,0.001,0,0
B,10,B10,0,200,0,0,0,1,0
B,11,B11,0,200,0,0,0,1,0
B,12,B12,0,200,0,0,0,1,0
C,1,C1,0,100,0,100,0,0.5,0
C,2,C2,0,100,0,100,0,0.5,0
C,3,C3,0,100,0,100,0,0.5,0
C,4,C4,0,20,0,180,0,0.1,0
C,5,C5,0,20,0,180,0,0.1,0
C,6,C6,0,20,0,180,0,0.1,0
C,7,C7,0,10,0,190,0,0.05,0
C,8,C8,0,10,0,190,0,0.05,0
C,9,C9,0,10,0,190,0,0.05,0
C,10,C10,0,2,0,198,0,0.01,0
C,11,C11,0,2,0,198,0,0.01,0
C,12,C12,0,2,0,198,0,0.01,0
D,1,D1,0,0.2,0,199.8,0,0.001,0
D,2,D2,0,0.2,0,199.8,0,0.001,0
D,3,D3,0,0.2,0,199.8,0,0.001,0
D,4,D4,0,0,200,0,0,0,1
D,5,D5,0,0,200,0,0,0,1
D,6,D6,0,0,200,0,0,0,1
D,7,D7,0,0,100,100,0,0,0.5
D,8,D8,0,0,100,100,0,0,0.5
D,9,D9,0,0,100,100,0,0,0.5
D,10,D10,0,0,20,180,0,0,0.1
D,11,D11,0,0,20,180,0,0,0.1
D,12,D12,0,0,20,180,0,0,0.1
E,1,E1,0,0,10,190,0,0,0.05
E,2,E2,0,0,10,190,0,0,0.05
E,3,E3,0,0,10,190,0,0,0.05
E,4,E4,0,0,2,198,0,0,0.01
E,5,E5,0,0,2,198,0,0,0.01
E,6,E6,0,0,2,198,0,0,0.01
E,7,E7,0,0,0.2,199.8,0,0,0.001
E,8,E8,0,0,0.2,199.8,0,0,0.001
E,9,E9,0,0,0.2,199.8,0,0,0.001
E,10,E10,20,20,0,160,0.1,0.1,0
E,11,E11,20,20,0,160,0.1,0.1,0
E,12,E12,20,20,0,160,0.1,0.1,0
F,1,F1,20,10,0,170,0.1,0.05,0
F,2,F2,20,10,0,170,0.1,0.05,0
F,3,F3,20,10,0,170,0.1,0.05,0
F,4,F4,20,2,0,178,0.1,0.01,0
F,5,F5,20,2,0,178,0.1,0.01,0
F,6,F6,20,2,0,178,0.1,0.01,0
F,7,F7,20,0.2,0,179.8,0.1,0.001,0
F,8,F8,20,0.2,0,179.8,0.1,0.001,0
F,9,F9,20,0.2,0,179.8,0.1,0.001,0
F,10,F10,10,20,0,170,0.05,0.1,0
F,11,F11,10,20,0,170,0.05,0.1,0
F,12,F12,10,20,0,170,0.05,0.1,0
G,1,G1,2,20,0,178,0.01,0.1,0
G,2,G2,2,20,0,178,0.01,0.1,0
G,3,G3,2,20,0,178,0.01,0.1,0
G,4,G4,0.2,20,0,179.8,0.001,0.1,0
G,5,G5,0.2,20,0,179.8,0.001,0.1,0
G,6,G6,0.2,20,0,179.8,0.001,0.1,0
G,7,G7,20,0,20,160,0.1,0,0.1
G,8,G8,20,0,20,160,0.1,0,0.1
G,9,G9,20,0,20,160,0.1,0,0.1
G,10,G10,20,0,2,178,0.1,0,0.01
G,11,G11,20,0,2,178,0.1,0,0.01
G,12,G12,20,0,2,178,0.1,0,0.01
H,1,H1,20,0,0.2,179.8,0.1,0,0.001
H,2,H2,20,0,0.2,179.8,0.1,0,0.001
H,3,H3,20,0,0.2,179.8,0.1,0,0.001
H,4,H4,10,0,20,170,0.05,0,0.1
H,5,H5,10,0,20,170,0.05,0,0.1
H,6,H6,10,0,20,170,0.05,0,0.1
H,7,H7,2,0,20,178,0.01,0,0.1
H,8,H8,2,0,20,178,0.01,0,0.1
H,9,H9,2,0,20,178,0.01,0,0.1
H,10,H10,0.2,0,20,179.8,0.001,0,0.1
H,11,H11,0.2,0,20,179.8,0.001,0,0.1
H,12,H12,0.2,0,20,179.8,0.001,0,0.1
