Plate,Well,Row,Column,Well.ID,Unique.ID,Chlamy,Microbe,Temperature,Salt.conc,Nitrogen.conc
1,1,1,1,1.1,T8.P1.W1,y,none,8,0,1000
1,2,1,2,1.2,T8.P1.W2,y,none,8,0,1000
1,3,1,3,1.3,T8.P1.W3,y,1,8,0,1000
1,4,1,4,1.4,T8.P1.W4,y,none,8,0,1000
1,5,1,5,1.5,T8.P1.W5,n,1,8,0,1000
1,6,1,6,1.6,T8.P1.W6,n,1,8,0,1000
1,7,1,7,1.7,T8.P1.W7,y,1,8,0,1000
1,8,1,8,1.8,T8.P1.W8,n,1,8,0,1000
1,9,1,9,1.9,T8.P1.W9,y,1,8,0,1000
1,1,1,1,1.1,T14.P1.W1,y,none,14,0,1000
1,2,1,2,1.2,T14.P1.W2,y,1,14,0,1000
1,3,1,3,1.3,T14.P1.W3,n,1,14,0,1000
1,4,1,4,1.4,T14.P1.W4,y,1,14,0,1000
1,5,1,5,1.5,T14.P1.W5,y,1,14,0,1000
1,6,1,6,1.6,T14.P1.W6,n,1,14,0,1000
1,7,1,7,1.7,T14.P1.W7,y,none,14,0,1000
1,8,1,8,1.8,T14.P1.W8,n,1,14,0,1000
1,9,1,9,1.9,T14.P1.W9,y,none,14,0,1000
1,1,1,1,1.1,T20.P1.W1,y,none,20,0,1000
1,2,1,2,1.2,T20.P1.W2,n,1,20,0,1000
1,3,1,3,1.3,T20.P1.W3,y,none,20,0,1000
1,4,1,4,1.4,T20.P1.W4,y,1,20,0,1000
1,5,1,5,1.5,T20.P1.W5,n,1,20,0,1000
1,6,1,6,1.6,T20.P1.W6,n,1,20,0,1000
1,7,1,7,1.7,T20.P1.W7,y,1,20,0,1000
1,8,1,8,1.8,T20.P1.W8,y,1,20,0,1000
1,9,1,9,1.9,T20.P1.W9,y,none,20,0,1000
1,1,1,1,1.1,T25.P1.W1,y,1,25,0,1000
1,2,1,2,1.2,T25.P1.W2,y,none,25,0,1000
1,3,1,3,1.3,T25.P1.W3,y,none,25,0,1000
1,4,1,4,1.4,T25.P1.W4,y,none,25,0,1000
1,5,1,5,1.5,T25.P1.W5,y,1,25,0,1000
1,6,1,6,1.6,T25.P1.W6,n,1,25,0,1000
1,7,1,7,1.7,T25.P1.W7,y,1,25,0,1000
1,8,1,8,1.8,T25.P1.W8,n,1,25,0,1000
1,9,1,9,1.9,T25.P1.W9,n,1,25,0,1000
1,1,1,1,1.1,T33.P1.W1,y,none,33,0,1000
1,2,1,2,1.2,T33.P1.W2,n,1,33,0,1000
1,3,1,3,1.3,T33.P1.W3,y,1,33,0,1000
1,4,1,4,1.4,T33.P1.W4,y,none,33,0,1000
1,5,1,5,1.5,T33.P1.W5,y,1,33,0,1000
1,6,1,6,1.6,T33.P1.W6,n,1,33,0,1000
1,7,1,7,1.7,T33.P1.W7,n,1,33,0,1000
1,8,1,8,1.8,T33.P1.W8,y,none,33,0,1000
1,9,1,9,1.9,T33.P1.W9,y,1,33,0,1000
1,1,1,1,1.1,T35.P1.W1,y,1,35,0,1000
1,2,1,2,1.2,T35.P1.W2,y,none,35,0,1000
1,3,1,3,1.3,T35.P1.W3,n,1,35,0,1000
1,4,1,4,1.4,T35.P1.W4,n,1,35,0,1000
1,5,1,5,1.5,T35.P1.W5,n,1,35,0,1000
1,6,1,6,1.6,T35.P1.W6,y,none,35,0,1000
1,7,1,7,1.7,T35.P1.W7,y,none,35,0,1000
1,8,1,8,1.8,T35.P1.W8,y,1,35,0,1000
1,9,1,9,1.9,T35.P1.W9,y,1,35,0,1000
1,1,1,1,1.1,T37.P1.W1,y,none,37,0,1000
1,2,1,2,1.2,T37.P1.W2,y,1,37,0,1000
1,3,1,3,1.3,T37.P1.W3,y,1,37,0,1000
1,4,1,4,1.4,T37.P1.W4,y,none,37,0,1000
1,5,1,5,1.5,T37.P1.W5,n,1,37,0,1000
1,6,1,6,1.6,T37.P1.W6,y,none,37,0,1000
1,7,1,7,1.7,T37.P1.W7,n,1,37,0,1000
1,8,1,8,1.8,T37.P1.W8,y,1,37,0,1000
1,9,1,9,1.9,T37.P1.W9,n,1,37,0,1000
1,1,1,1,1.1,T40.P1.W1,n,1,40,0,1000
1,2,1,2,1.2,T40.P1.W2,y,none,40,0,1000
1,3,1,3,1.3,T40.P1.W3,n,1,40,0,1000
1,4,1,4,1.4,T40.P1.W4,y,none,40,0,1000
1,5,1,5,1.5,T40.P1.W5,y,1,40,0,1000
1,6,1,6,1.6,T40.P1.W6,n,1,40,0,1000
1,7,1,7,1.7,T40.P1.W7,y,1,40,0,1000
1,8,1,8,1.8,T40.P1.W8,y,none,40,0,1000
1,9,1,9,1.9,T40.P1.W9,y,1,40,0,1000
1,1,1,1,1.1,T43.P1.W1,y,none,43,0,1000
1,2,1,2,1.2,T43.P1.W2,n,1,43,0,1000
1,3,1,3,1.3,T43.P1.W3,y,1,43,0,1000
1,4,1,4,1.4,T43.P1.W4,n,1,43,0,1000
1,5,1,5,1.5,T43.P1.W5,y,none,43,0,1000
