"","Row","Column","Read","RFU","OD600","OD700","OD750","date","time","datetime","Plate","Well","Well.ID","Unique.ID","Chlamy","Microbe","Temperature","Salt.conc","Nitrogen.conc","days"
"1",1,1,"1",56,0.792,0.789,0.795,62,"12:58:48",2025-03-04 12:58:48,1,1,1.1,"T8.P1.W1","y","none",8,0,1000,0
"2",1,2,"1",57,0.682,0.685,0.697,62,"12:58:48",2025-03-04 12:58:48,1,2,1.2,"T8.P1.W2","y","none",8,0,1000,0
"3",1,3,"1",47,1.095,1.069,1.057,62,"12:58:48",2025-03-04 12:58:48,1,3,1.3,"T8.P1.W3","y","1",8,0,1000,0
"4",1,4,"1",53,0.94,0.934,0.927,62,"12:58:48",2025-03-04 12:58:48,1,4,1.4,"T8.P1.W4","y","none",8,0,1000,0
"5",1,5,"1",47,0.944,0.928,0.925,62,"12:58:48",2025-03-04 12:58:48,1,5,1.5,"T8.P1.W5","n","1",8,0,1000,0
"6",1,6,"1",45,1.031,1.017,1.017,62,"12:58:48",2025-03-04 12:58:48,1,6,1.6,"T8.P1.W6","n","1",8,0,1000,0
"7",1,7,"1",47,1.174,1.16,1.147,62,"12:58:48",2025-03-04 12:58:48,1,7,1.7,"T8.P1.W7","y","1",8,0,1000,0
"8",1,8,"1",47,0.961,0.95,0.95,62,"12:58:48",2025-03-04 12:58:48,1,8,1.8,"T8.P1.W8","n","1",8,0,1000,0
"9",1,9,"1",45,1.044,1.019,1.009,62,"12:58:48",2025-03-04 12:58:48,1,9,1.9,"T8.P1.W9","y","1",8,0,1000,0
"10",1,1,"2",46,0.875,0.852,0.849,62,"17:44:13",2025-03-04 17:44:13,1,1,1.1,"T8.P1.W1","y","none",8,0,1000,0.198206018518519
"11",1,2,"2",44,0.8,0.791,0.782,62,"17:44:13",2025-03-04 17:44:13,1,2,1.2,"T8.P1.W2","y","none",8,0,1000,0.198206018518519
"12",1,3,"2",38,1.066,1.033,1.021,62,"17:44:13",2025-03-04 17:44:13,1,3,1.3,"T8.P1.W3","y","1",8,0,1000,0.198206018518519
"13",1,4,"2",30,0.942,0.923,0.919,62,"17:44:13",2025-03-04 17:44:13,1,4,1.4,"T8.P1.W4","y","none",8,0,1000,0.198206018518519
"14",1,5,"2",28,0.929,0.906,0.899,62,"17:44:13",2025-03-04 17:44:13,1,5,1.5,"T8.P1.W5","n","1",8,0,1000,0.198206018518519
"15",1,6,"2",24,1.052,1.026,1.023,62,"17:44:13",2025-03-04 17:44:13,1,6,1.6,"T8.P1.W6","n","1",8,0,1000,0.198206018518519
"16",1,7,"2",28,1.131,1.124,1.123,62,"17:44:13",2025-03-04 17:44:13,1,7,1.7,"T8.P1.W7","y","1",8,0,1000,0.198206018518519
"17",1,8,"2",27,0.97,0.949,0.945,62,"17:44:13",2025-03-04 17:44:13,1,8,1.8,"T8.P1.W8","n","1",8,0,1000,0.198206018518519
"18",1,9,"2",35,0.987,0.98,0.981,62,"17:44:13",2025-03-04 17:44:13,1,9,1.9,"T8.P1.W9","y","1",8,0,1000,0.198206018518519
"19",1,1,"3",26,0.937,0.921,0.913,63,"06:37:04",2025-03-05 06:37:04,1,1,1.1,"T8.P1.W1","y","none",8,0,1000,0.734907407407407
"20",1,2,"3",32,0.757,0.746,0.743,63,"06:37:04",2025-03-05 06:37:04,1,2,1.2,"T8.P1.W2","y","none",8,0,1000,0.734907407407407
"21",1,3,"3",34,1.008,0.993,0.99,63,"06:37:04",2025-03-05 06:37:04,1,3,1.3,"T8.P1.W3","y","1",8,0,1000,0.734907407407407
"22",1,4,"3",30,0.928,0.914,0.912,63,"06:37:04",2025-03-05 06:37:04,1,4,1.4,"T8.P1.W4","y","none",8,0,1000,0.734907407407407
"23",1,5,"3",16,0.953,0.926,0.922,63,"06:37:04",2025-03-05 06:37:04,1,5,1.5,"T8.P1.W5","n","1",8,0,1000,0.734907407407407
"24",1,6,"3",19,1.008,1,0.999,63,"06:37:04",2025-03-05 06:37:04,1,6,1.6,"T8.P1.W6","n","1",8,0,1000,0.734907407407407
"25",1,7,"3",27,1.117,1.109,1.108,63,"06:37:04",2025-03-05 06:37:04,1,7,1.7,"T8.P1.W7","y","1",8,0,1000,0.734907407407407
"26",1,8,"3",19,0.943,0.93,0.93,63,"06:37:04",2025-03-05 06:37:04,1,8,1.8,"T8.P1.W8","n","1",8,0,1000,0.734907407407407
"27",1,9,"3",26,0.979,0.974,0.972,63,"06:37:04",2025-03-05 06:37:04,1,9,1.9,"T8.P1.W9","y","1",8,0,1000,0.734907407407407
"28",1,1,"4",39,0.905,0.898,0.895,63,"12:02:35",2025-03-05 12:02:35,1,1,1.1,"T8.P1.W1","y","none",8,0,1000,0.960960648148148
"29",1,2,"4",39,0.787,0.774,0.773,63,"12:02:35",2025-03-05 12:02:35,1,2,1.2,"T8.P1.W2","y","none",8,0,1000,0.960960648148148
"30",1,3,"4",30,1.03,1.006,1.002,63,"12:02:35",2025-03-05 12:02:35,1,3,1.3,"T8.P1.W3","y","1",8,0,1000,0.960960648148148
"31",1,4,"4",30,0.919,0.903,0.902,63,"12:02:35",2025-03-05 12:02:35,1,4,1.4,"T8.P1.W4","y","none",8,0,1000,0.960960648148148
"32",1,5,"4",19,0.908,0.895,0.89,63,"12:02:35",2025-03-05 12:02:35,1,5,1.5,"T8.P1.W5","n","1",8,0,1000,0.960960648148148
"33",1,6,"4",20,1.014,0.999,0.997,63,"12:02:35",2025-03-05 12:02:35,1,6,1.6,"T8.P1.W6","n","1",8,0,1000,0.960960648148148
"34",1,7,"4",27,1.107,1.102,1.101,63,"12:02:35",2025-03-05 12:02:35,1,7,1.7,"T8.P1.W7","y","1",8,0,1000,0.960960648148148
"35",1,8,"4",15,0.979,0.955,0.953,63,"12:02:35",2025-03-05 12:02:35,1,8,1.8,"T8.P1.W8","n","1",8,0,1000,0.960960648148148
