"","unique.id","temp","nit","salt","block","mic","plate","well","rep","µ","k","time"
"1","b1.t8.p1.w2",8,1000,0,1,"2",1,2,1,0.246794000658126,1.46,12.9984606481481
"2","b1.t8.p1.w3",8,1000,0,1,"15",1,3,1,0.138957268814569,2.014,1.12587962962963
"3","b1.t8.p1.w6",8,1000,0,1,"7",1,6,1,0.244536076931514,1.648,12.9984606481481
"4","b1.t8.p1.w7",8,1000,0,1,"4",1,7,2,0.254980773783949,2.033,12.9984606481481
"5","b1.t8.p1.w9",8,1000,0,1,"14",1,9,3,0.122845129685973,1.565,1.12587962962963
"6","b1.t8.p1.w10",8,1000,0,1,"1",1,10,3,0.223202751381045,1.819,12.9984606481481
"7","b1.t8.p1.w13",8,1000,0,1,"8",1,13,1,0.306070632252864,1.865,12.9984606481481
"8","b1.t8.p1.w15",8,1000,0,1,"2",1,15,2,0.277402960303835,1.856,12.9984606481481
"9","b1.t8.p1.w17",8,1000,0,1,"7",1,17,2,0.264357491313949,1.877,12.9984606481481
"10","b1.t8.p1.w18",8,1000,0,1,"7",1,18,3,0.264577093407866,1.933,12.9984606481481
"11","b1.t8.p1.w23",8,1000,0,1,"14",1,23,1,0.287863974947184,1.819,12.9984606481481
"12","b1.t8.p1.w26",8,1000,0,1,"12",1,26,2,0.276630150923499,2.053,12.9984606481481
"13","b1.t8.p1.w27",8,1000,0,1,"15",1,27,3,0.258078180230389,1.829,12.9984606481481
"14","b1.t8.p1.w29",8,1000,0,1,"none",1,29,2,0.226300774807327,2.023,12.9984606481481
"15","b1.t8.p1.w30",8,1000,0,1,"11",1,30,3,0.236390153526064,2.016,12.9984606481481
"16","b1.t8.p1.w31",8,1000,0,1,"10",1,31,1,0.25613261726618,1.728,12.9984606481481
"17","b1.t8.p1.w33",8,1000,0,1,"9",1,33,2,0.247854147749133,1.876,12.9984606481481
"18","b1.t8.p1.w35",8,1000,0,1,"1",1,35,1,0.298259558100199,1.808,12.9984606481481
"19","b1.t8.p1.w37",8,1000,0,1,"11",1,37,1,0.242611761170442,1.928,12.9984606481481
"20","b1.t8.p1.w38",8,1000,0,1,"12",1,38,1,0.259598894705504,1.152,12.9984606481481
"21","b1.t8.p1.w40",8,1000,0,1,"all",1,40,3,0.256340388566652,1.848,12.9984606481481
"22","b1.t8.p1.w41",8,1000,0,1,"14",1,41,2,0.280132172033641,1.856,12.9984606481481
"23","b1.t8.p1.w44",8,1000,0,1,"3",1,44,3,0.107718222042138,1.501,1.12587962962963
"24","b1.t8.p1.w49",8,1000,0,1,"3",1,49,1,0.271889594519843,2.01,12.9984606481481
"25","b1.t8.p1.w50",8,1000,0,1,"10",1,50,3,0.0391505952990129,1.691,1.12587962962963
"26","b1.t8.p1.w51",8,1000,0,1,"9",1,51,3,0.268999250828386,1.84,12.9984606481481
"27","b1.t8.p1.w60",8,1000,0,1,"6",1,60,3,0.270946405683435,1.827,12.9984606481481
"28","b1.t8.p2.w62",8,1000,0,1,"13",2,62,2,-0.0213364105875329,1.942,1.1281712962963
"29","b1.t8.p2.w64",8,1000,0,1,"5",2,64,2,0.279857172309123,1.63,13.0006365740741
"30","b1.t8.p2.w65",8,1000,0,1,"3",2,65,2,0.275381122699912,1.863,11.1611342592593
"31","b1.t8.p2.w66",8,1000,0,1,"12",2,66,3,-0.0243456042884526,1.382,1.1281712962963
"32","b1.t8.p2.w71",8,1000,0,1,"4",2,71,1,0.275487861456064,1.382,12.0658912037037
"33","b1.t8.p2.w72",8,1000,0,1,"none",2,72,3,0.239457326987563,1.926,13.0006365740741
"34","b1.t8.p2.w75",8,1000,0,1,"8",2,75,3,0.288432029820696,1.476,12.0658912037037
"35","b1.t8.p2.w76",8,1000,0,1,"6",2,76,2,0.273004838738233,1.873,13.0006365740741
"36","b1.t8.p2.w79",8,1000,0,1,"1",2,79,2,0.27246378924681,1.532,12.0658912037037
"37","b1.t8.p2.w82",8,1000,0,1,"15",2,82,2,0.268452763086042,1.77,13.0006365740741
"38","b1.t8.p2.w88",8,1000,0,1,"all",2,88,1,0.258285235277894,1.913,13.0006365740741
"39","b1.t8.p2.w91",8,1000,0,1,"9",2,91,1,-0.0390169304169413,1.714,1.1281712962963
"40","b1.t8.p2.w94",8,1000,0,1,"all",2,94,2,0.250891445308919,1.756,13.0006365740741
"41","b1.t8.p2.w95",8,1000,0,1,"none",2,95,1,0.287301811326126,1.866,13.0006365740741
"42","b1.t8.p2.w97",8,1000,0,1,"5",2,97,3,0.296216096906068,1.839,13.0006365740741
"43","b1.t8.p2.w98",8,1000,0,1,"6",2,98,1,0.280812895264693,1.974,13.0006365740741
"44","b1.t8.p2.w99",8,1000,0,1,"2",2,99,3,0.294692732165065,1.915,13.0006365740741
"45","b1.t8.p2.w106",8,1000,0,1,"8",2,106,2,-0.0331850263281624,1.628,1.1281712962963
"46","b1.t8.p2.w109",8,1000,0,1,"5",2,109,1,0.273884857409322,1.59,13.0006365740741
"47","b1.t8.p2.w110",8,1000,0,1,"10",2,110,2,0.269241358443461,1.965,13.0006365740741
"48","b1.t8.p2.w115",8,1000,0,1,"4",2,115,3,-0.00976996847163366,1.878,1.1281712962963
"49","b1.t8.p2.w116",8,1000,0,1,"13",2,116,1,0.0187330425678706,1.341,1.1281712962963
"50","b1.t8.p2.w118",8,1000,0,1,"13",2,118,3,0.280829961327928,1.902,13.0006365740741
"51","b1.t8.p2.w120",8,1000,0,1,"11",2,120,2,0.218404677549499,1.753,13.0006365740741
"52","b1.t14.p1.w1",14,1000,0,1,"6",1,1,1,0.750624882842683,2.158,5.93387731481481
"53","b1.t14.p1.w4",14,1000,0,1,"2",1,4,3,0.0658858186644745,1.724,1.06311342592593
"54","b1.t14.p1.w5",14,1000,0,1,"8",1,5,2,0.631188656261932,1.871,5.93387731481481
"55","b1.t14.p1.w13",14,1000,0,1,"12",1,13,3,0.166533553515267,1.919,1.06311342592593
"56","b1.t14.p1.w18",14,1000,0,1,"7",1,18,1,0.587238450560798,1.861,5.93387731481481
"57","b1.t14.p1.w20",14,1000,0,1,"all",1,20,2,0.615785083612372,2.013,4.93763888888889
"58","b1.t14.p1.w25",14,1000,0,1,"14",1,25,1,0.621006100109869,1.879,5.93387731481481
"59","b1.t14.p1.w26",14,1000,0,1,"14",1,26,3,0.6062940010459,1.91,5.93387731481481
"60","b1.t14.p1.w30",14,1000,0,1,"7",1,30,2,0.649109262550105,1.547,5.93387731481481
"61","b1.t14.p1.w31",14,1000,0,1,"12",1,31,2,0.110091581195884,1.618,1.06311342592593
"62","b1.t14.p1.w32",14,1000,0,1,"3",1,32,3,0.335909481836444,1.762,2.99891203703704
"63","b1.t14.p1.w33",14,1000,0,1,"4",1,33,3,0.632574770269096,1.875,5.93387731481481
"64","b1.t14.p1.w34",14,1000,0,1,"all",1,34,3,0.629294174756333,1.92,5.93387731481481
"65","b1.t14.p1.w37",14,1000,0,1,"10",1,37,1,0.607553867038059,1.919,5.93387731481481
"66","b1.t14.p1.w39",14,1000,0,1,"5",1,39,2,0.636944385502244,1.615,5.93387731481481
"67","b1.t14.p1.w43",14,1000,0,1,"3",1,43,2,0.736308555950439,1.946,5.93387731481481
"68","b1.t14.p1.w45",14,1000,0,1,"4",1,45,1,0.627890627165587,1.155,5.93387731481481
"69","b1.t14.p1.w46",14,1000,0,1,"6",1,46,3,0.642983292721032,1.616,5.93387731481481
"70","b1.t14.p1.w51",14,1000,0,1,"11",1,51,3,0.355511628754746,1.672,4.08880787037037
"71","b1.t14.p1.w52",14,1000,0,1,"8",1,52,1,0.408429722367362,1.772,2.99891203703704
"72","b1.t14.p1.w53",14,1000,0,1,"13",1,53,3,0.627910197243445,1.615,5.93387731481481
"73","b1.t14.p1.w55",14,1000,0,1,"10",1,55,2,0.598237015485311,1.671,5.93387731481481
"74","b1.t14.p1.w58",14,1000,0,1,"4",1,58,2,0.215266658326034,1.909,1.06311342592593
"75","b1.t14.p2.w64",14,1000,0,1,"8",2,64,3,0.797937414329768,1.926,4.94009259259259
"76","b1.t14.p2.w65",14,1000,0,1,"12",2,65,1,0.714862256664739,1.393,4.94009259259259
"77","b1.t14.p2.w67",14,1000,0,1,"11",2,67,2,0.462387456654996,1.611,4.94009259259259
"78","b1.t14.p2.w69",14,1000,0,1,"15",2,69,3,0.702143601831476,1.536,4.94009259259259
"79","b1.t14.p2.w71",14,1000,0,1,"none",2,71,2,0.346583200380292,1.896,1.06538194444444
"80","b1.t14.p2.w74",14,1000,0,1,"2",2,74,2,0.672530993211339,1.896,4.94009259259259
"81","b1.t14.p2.w76",14,1000,0,1,"10",2,76,3,0.748179328851269,1.919,4.94009259259259
"82","b1.t14.p2.w78",14,1000,0,1,"none",2,78,1,0.625734145246183,1.604,5.93599537037037
"83","b1.t14.p2.w85",14,1000,0,1,"9",2,85,1,0.589941934562481,1.786,5.93599537037037
"84","b1.t14.p2.w86",14,1000,0,1,"3",2,86,1,0.663332404434536,1.416,5.93599537037037
"85","b1.t14.p2.w90",14,1000,0,1,"1",2,90,1,0.636792543884938,1.576,5.93599537037037
"86","b1.t14.p2.w91",14,1000,0,1,"none",2,91,3,0.61235957687504,1.827,5.93599537037037
"87","b1.t14.p2.w92",14,1000,0,1,"13",2,92,1,0.583467796717108,1.929,5.93599537037037
"88","b1.t14.p2.w93",14,1000,0,1,"7",2,93,3,0.634793957906337,1.728,5.93599537037037
"89","b1.t14.p2.w95",14,1000,0,1,"11",2,95,1,0.421889540811011,1.801,4.08658564814815
"90","b1.t14.p2.w99",14,1000,0,1,"9",2,99,3,0.605279602504052,1.456,5.93599537037037
"91","b1.t14.p2.w101",14,1000,0,1,"15",2,101,2,0.414978424010936,1.892,1.06538194444444
"92","b1.t14.p2.w102",14,1000,0,1,"2",2,102,1,0.710705188786901,1.875,5.93599537037037
"93","b1.t14.p2.w103",14,1000,0,1,"5",2,103,3,0.635383388800614,1.925,5.93599537037037
"94","b1.t14.p2.w105",14,1000,0,1,"14",2,105,2,0.598849725453396,1.929,5.93599537037037
"95","b1.t14.p2.w106",14,1000,0,1,"15",2,106,1,0.68630816837168,1.905,4.94009259259259
"96","b1.t14.p2.w110",14,1000,0,1,"13",2,110,2,0.693541047451705,1.658,4.94009259259259
"97","b1.t14.p2.w112",14,1000,0,1,"all",2,112,1,0.605125652806525,1.875,5.93599537037037
"98","b1.t14.p2.w113",14,1000,0,1,"1",2,113,3,0.641461399269455,1.791,5.93599537037037
"99","b1.t14.p2.w115",14,1000,0,1,"1",2,115,2,0.641422268332907,1.893,5.93599537037037
"100","b1.t14.p2.w116",14,1000,0,1,"6",2,116,2,0.65927042916773,1.744,5.93599537037037
"101","b1.t14.p2.w119",14,1000,0,1,"5",2,119,1,0.608077252889586,1.597,5.93599537037037
"102","b1.t14.p2.w120",14,1000,0,1,"9",2,120,2,0.641636441741088,1.835,5.93599537037037
"103","b1.t20.p1.w1",20,1000,0,1,"2",1,1,1,1.13537445075832,2.019,2.93166666666667
"104","b1.t20.p1.w3",20,1000,0,1,"none",1,3,1,1.1511714950418,2.068,2.93166666666667
"105","b1.t20.p1.w8",20,1000,0,1,"14",1,8,2,1.09945279525099,1.772,2.93166666666667
"106","b1.t20.p1.w9",20,1000,0,1,"6",1,9,3,1.05454026526567,1.836,1.79569444444444
"107","b1.t20.p1.w12",20,1000,0,1,"15",1,12,2,0.996258325034643,1.789,2.93166666666667
"108","b1.t20.p1.w13",20,1000,0,1,"4",1,13,2,1.07689202596056,1.885,2.93166666666667
"109","b1.t20.p1.w17",20,1000,0,1,"6",1,17,2,1.1578681057496,1.703,2.93166666666667
"110","b1.t20.p1.w18",20,1000,0,1,"11",1,18,1,0.481411991766145,1.707,0.997453703703704
"111","b1.t20.p1.w19",20,1000,0,1,"15",1,19,3,1.08936510620505,1.956,2.93166666666667
"112","b1.t20.p1.w20",20,1000,0,1,"9",1,20,2,1.00460644584489,1.885,1.79569444444444
"113","b1.t20.p1.w30",20,1000,0,1,"1",1,30,2,0.892727670476875,1.685,1.79569444444444
"114","b1.t20.p1.w31",20,1000,0,1,"none",1,31,3,1.09879621121658,2.026,2.93166666666667
"115","b1.t20.p1.w33",20,1000,0,1,"10",1,33,1,1.15974826987268,1.926,2.93166666666667
"116","b1.t20.p1.w36",20,1000,0,1,"6",1,36,1,1.04061782721398,1.8,2.93166666666667
