"","unique.id","temp","nit","salt","block","mic","plate","well","rep","µ"
"1","b1.t8.p1.w1",8,1000,0,1,"5",1,1,"3",0.30294740013077
"2","b1.t8.p1.w4",8,1000,0,1,"15",1,4,"1",0.189856266212662
"3","b1.t8.p1.w11",8,1000,0,1,"7",1,11,"2",0.194499121186604
"4","b1.t8.p1.w12",8,1000,0,1,"2",1,12,"3",0.377113593305579
"5","b1.t8.p1.w14",8,1000,0,1,"1",1,14,"2",0.123543853793168
"6","b1.t8.p1.w16",8,1000,0,1,"12",1,16,"2",0.182035753423491
"7","b1.t8.p1.w20",8,1000,0,1,"13",1,20,"1",0.257572478856483
"8","b1.t8.p1.w21",8,1000,0,1,"14",1,21,"1",0.205012810393443
"9","b1.t8.p1.w22",8,1000,0,1,"4",1,22,"3",0.419023315988565
"10","b1.t8.p1.w25",8,1000,0,1,"all",1,25,"1",0.432659481581178
"11","b1.t8.p1.w28",8,1000,0,1,"11",1,28,"2",0.492352256892395
"12","b1.t8.p1.w32",8,1000,0,1,"1",1,32,"3",0.376157096559656
"13","b1.t8.p1.w39",8,1000,0,1,"12",1,39,"1",0.445677720177831
"14","b1.t8.p1.w42",8,1000,0,1,"7",1,42,"3",0.305643896760542
"15","b1.t8.p1.w46",8,1000,0,1,"8",1,46,"2",0.646585947881145
"16","b1.t8.p1.w47",8,1000,0,1,"5",1,47,"1",0.467907051868283
"17","b1.t8.p1.w48",8,1000,0,1,"8",1,48,"3",0.618032389358927
"18","b1.t8.p1.w52",8,1000,0,1,"1",1,52,"1",0.185815362592991
"19","b1.t8.p1.w54",8,1000,0,1,"3",1,54,"1",0.293602894187296
"20","b1.t8.p1.w55",8,1000,0,1,"7",1,55,"1",0.379614479880158
"21","b1.t8.p1.w56",8,1000,0,1,"13",1,56,"2",0.317307199925107
"22","b1.t8.p1.w58",8,1000,0,1,"9",1,58,"2",0.119422974560823
"23","b1.t8.p1.w59",8,1000,0,1,"6",1,59,"2",0.451624318779845
"24","b1.t8.p2.w63",8,1000,0,1,"10",2,63,"3",0.211024025696377
"25","b1.t8.p2.w67",8,1000,0,1,"4",2,67,"2",0.126668118789854
"26","b1.t8.p2.w68",8,1000,0,1,"2",2,68,"2",0.197991928991495
"27","b1.t8.p2.w69",8,1000,0,1,"3",2,69,"2",0.199619475820023
"28","b1.t8.p2.w73",8,1000,0,1,"14",2,73,"3",0.192393909276331
"29","b1.t8.p2.w74",8,1000,0,1,"14",2,74,"2",0.253536466550851
"30","b1.t8.p2.w77",8,1000,0,1,"3",2,77,"3",0.10674982387653
"31","b1.t8.p2.w80",8,1000,0,1,"10",2,80,"2",0.124771890982029
"32","b1.t8.p2.w83",8,1000,0,1,"6",2,83,"3",0.107397040843132
"33","b1.t8.p2.w86",8,1000,0,1,"11",2,86,"3",0.127079659572717
"34","b1.t8.p2.w87",8,1000,0,1,"8",2,87,"1",0.274309374091262
"35","b1.t8.p2.w89",8,1000,0,1,"5",2,89,"2",0.131477386649091
"36","b1.t8.p2.w92",8,1000,0,1,"13",2,92,"3",0.220555512975883
