"","block","mic","rep","id","Parameter","est","se","p"
"1",1,"13",3,"b1.m13.r3","a",2.5,2.29688247177735,0.318180240358576
"2",1,"13",3,"b1.m13.r3","b",0.428471900398123,0.213347461488218,0.0913657908544845
"3",1,"13",3,"b1.m13.r3","c",0.62267200957101,4.32285448548619,0.890183673522737
"4",1,"2",3,"b1.m2.r3","a",1.77113316637228,0.352289824985202,0.00151763513476633
"5",1,"2",3,"b1.m2.r3","b",1.58012439340155,0.901188189900214,0.122985160231433
"6",1,"2",3,"b1.m2.r3","c",2.10035250251657,0.500021220480038,0.0040329190793412
"7",1,"1",2,"b1.m1.r2","a",1.38003889784698,0.28107315760693,0.00173347130223846
"8",1,"1",2,"b1.m1.r2","b",0.884403166910389,0.395000395668635,0.0601671956985034
"9",1,"1",2,"b1.m1.r2","c",2.95878522663152,0.739600199804247,0.00518648075713592
"10",1,"8",3,"b1.m8.r3","a",2.5,1.41832659731599,0.121333596032801
"11",1,"8",3,"b1.m8.r3","b",0.636899896926071,0.231513802636069,0.0284619345518003
"12",1,"8",3,"b1.m8.r3","c",0.677217880152524,1.89362787358437,0.73116040730159
"13",1,"10",3,"b1.m10.r3","a",2.36960987518367,0.848550470615206,0.0268102803906108
"14",1,"10",3,"b1.m10.r3","b",0.659593689486408,0.256830287335888,0.0371046983934447
"15",1,"10",3,"b1.m10.r3","c",1.84245750289182,1.34582921615217,0.213303059005225
"16",1,"9",3,"b1.m9.r3","a",2.5,3.09053307392735,0.445179535514643
"17",1,"9",3,"b1.m9.r3","b",0.466860752815558,0.266616712476446,0.123402775768899
"18",1,"9",3,"b1.m9.r3","c",0.126388899884773,5.11734180900513,0.980985052462795
"19",1,"14",2,"b1.m14.r2","a",2.5,1.32154631496763,0.100420647453778
"20",1,"14",2,"b1.m14.r2","b",0.626277353966905,0.217802276196353,0.0238061851213814
"21",1,"14",2,"b1.m14.r2","c",0.751273935598698,1.8073609142175,0.69009472060951
"22",1,"6",3,"b1.m6.r3","a",2.5,1.36929555012512,0.110631384761715
"23",1,"6",3,"b1.m6.r3","b",0.534003221236871,0.193262757757416,0.0279709789427546
"24",1,"6",3,"b1.m6.r3","c",0.953034331814136,2.19471743218014,0.677184436759904
"25",1,"5",2,"b1.m5.r2","a",2.5,1.41640474361119,0.12091056398405
"26",1,"5",2,"b1.m5.r2","b",0.976321740079626,0.532501937546152,0.109388831111601
"27",1,"5",2,"b1.m5.r2","c",0.916443536326874,1.39664560344737,0.532679756975323
"28",1,"4",3,"b1.m4.r3","a",2.5,1.88468373191904,0.232932596597414
"29",1,"4",3,"b1.m4.r3","b",0.414699098401023,0.147871322195136,0.0309814027314966
"30",1,"4",3,"b1.m4.r3","c",0.156851899075419,3.51429244229521,0.965848534081399
"31",1,"15",3,"b1.m15.r3","a",1.69700958203267,0.569836528359507,0.020571226523551
"32",1,"15",3,"b1.m15.r3","b",0.700760179211313,0.263973509689276,0.0327196062384591
"33",1,"15",3,"b1.m15.r3","c",1.78305533383544,1.1998979260067,0.180864597164536
"34",1,"15",2,"b1.m15.r2","a",2.07668684905605,0.55567932292436,0.00728946060888258
"35",1,"15",2,"b1.m15.r2","b",0.703478087457737,0.210406408950756,0.0123615329699181
"36",1,"15",2,"b1.m15.r2","c",1.76559011560276,0.951458811150945,0.105882907951664
"37",1,"2",1,"b1.m2.r1","a",2.33742324668718,0.7175900487739,0.0139157311328251
"38",1,"2",1,"b1.m2.r1","b",0.502904415764746,0.146575667506268,0.0109699765050918
"39",1,"2",1,"b1.m2.r1","c",2.1131487515068,1.44933391280002,0.188193725519892
"40",1,"13",2,"b1.m13.r2","a",2.5,2.4061715006217,0.333358272636042
"41",1,"13",2,"b1.m13.r2","b",0.461207633369654,0.228102317814707,0.0828935714050544
"42",1,"13",2,"b1.m13.r2","c",0.427696451780228,4.15372195307549,0.920876886561836
"43",1,"all",2,"b1.mall.r2","a",2.22980512628949,0.32006478653004,0.000217914305807532
"44",1,"all",2,"b1.mall.r2","b",0.708595482493412,0.11265916535431,0.000408183804844238
"45",1,"all",2,"b1.mall.r2","c",1.72760465817085,0.505348137455847,0.0111559689917141
"46",1,"12",2,"b1.m12.r2","a",2.5,0.987208539778766,0.0390960175860201
"47",1,"12",2,"b1.m12.r2","b",0.761264841445169,0.22755424272082,0.0123277872549646
"48",1,"12",2,"b1.m12.r2","c",0.815015153922808,1.15954972719748,0.504832245143051
"49",1,"4",2,"b1.m4.r2","a",1.19121443588141,0.526774518265383,0.0582165208841233
"50",1,"4",2,"b1.m4.r2","b",0.62870591821914,0.46982625721389,0.222674631148046
"51",1,"4",2,"b1.m4.r2","c",3.33459442279735,2.01853838520316,0.142519074049077
"52",1,"5",3,"b1.m5.r3","a",2.5,1.29641413986267,0.0951466996197012
"53",1,"5",3,"b1.m5.r3","b",0.91182385587529,0.463302596796189,0.0897426997509787
"54",1,"5",3,"b1.m5.r3","c",1.03372975611572,1.3730711510677,0.476085479597221
"55",1,"11",2,"b1.m11.r2","a",2.5,1.94897966467596,0.240427118359009
"56",1,"11",2,"b1.m11.r2","b",0.650842506068137,0.284057848172065,0.0557062602575313
"57",1,"11",2,"b1.m11.r2","c",0.384245619900645,2.45244326603614,0.879921222526771
"58",1,"13",1,"b1.m13.r1","a",2.5,1.93482503804346,0.23733890825022
"59",1,"13",1,"b1.m13.r1","b",0.48489400920002,0.218963799283728,0.0623821103451866
"60",1,"13",1,"b1.m13.r1","c",0.736152180689894,3.29382139442774,0.829532710107277
"61",1,"all",3,"b1.mall.r3","a",1.54721968417093,0.199688014939148,0.000111735928693747
"62",1,"all",3,"b1.mall.r3","b",1.43049003412422,0.589042546422892,0.0455206208828835
"63",1,"all",3,"b1.mall.r3","c",2.4762609842954,0.353651613429842,0.000211183298053304
"64",1,"6",2,"b1.m6.r2","a",2.5,2.02196532684869,0.256175340693038
"65",1,"6",2,"b1.m6.r2","b",0.639013805920177,0.345312061361167,0.106682513878043
"66",1,"6",2,"b1.m6.r2","c",0.762725847886508,2.72282224791171,0.787480334797791
"67",1,"9",1,"b1.m9.r1","a",2.5,2.04722710300789,0.26155353351473
"68",1,"9",1,"b1.m9.r1","b",0.648793116924716,0.350178330555002,0.106336996212095
"69",1,"9",1,"b1.m9.r1","c",0.717859844848695,2.7054699132855,0.798394465831487
"70",1,"12",3,"b1.m12.r3","a",1.81247002538027,0.403854768628641,0.00283913892578283
"71",1,"12",3,"b1.m12.r3","b",0.996457927495101,0.418035049669402,0.0486190261755649
"72",1,"12",3,"b1.m12.r3","c",2.15758559401806,0.672259103693069,0.0148693132878731
"73",1,"10",1,"b1.m10.r1","a",1.56769922099527,0.328928236481772,0.00204498384624767
"74",1,"10",1,"b1.m10.r1","b",0.809790697586696,0.269242285554631,0.0197271292555597
"75",1,"10",1,"b1.m10.r1","c",2.28958911290274,0.727385151546928,0.0162040403534433
"76",1,"all",1,"b1.mall.r1","a",2.5,0.703418256056269,0.00929289381253235
"77",1,"all",1,"b1.mall.r1","b",0.645086359984884,0.149770601316067,0.00353538557270109
"78",1,"all",1,"b1.mall.r1","c",1.21686889291685,0.996698172748573,0.261647391863515
"79",1,"15",1,"b1.m15.r1","a",1.9741239872311,1.0390356780901,0.0992121695333293
"80",1,"15",1,"b1.m15.r1","b",0.496222355066273,0.185138009924623,0.0315263094332862
"81",1,"15",1,"b1.m15.r1","c",1.25428267257312,2.31371751840287,0.604564452249421
"82",1,"1",3,"b1.m1.r3","a",1.97785323951384,1.19768053898812,0.142639139936668
"83",1,"1",3,"b1.m1.r3","b",0.441685449149106,0.184770696470312,0.0481368308473711
"84",1,"1",3,"b1.m1.r3","c",1.37274666566331,2.96503597340266,0.657429035594969
"85",1,"none",3,"b1.mnone.r3","a",2.5,1.21280524751786,0.0782106163643316
"86",1,"none",3,"b1.mnone.r3","b",1.12546601807108,0.601388065589284,0.103457678054777
"87",1,"none",3,"b1.mnone.r3","c",0.927967399377032,1.08227308785638,0.41959460338429
"88",1,"7",3,"b1.m7.r3","a",2.5,1.65753296153736,0.175222360485393
"89",1,"7",3,"b1.m7.r3","b",0.986063724954723,0.63855463267626,0.166449474899794
"90",1,"7",3,"b1.m7.r3","c",0.92554977321769,1.62528800501665,0.586839310030653
"91",1,"none",2,"b1.mnone.r2","a",2.5,1.92254873337839,0.234652075733248
"92",1,"none",2,"b1.mnone.r2","b",0.56436537516989,0.242616259236821,0.0529118845047408
"93",1,"none",2,"b1.mnone.r2","c",0.484242979122525,2.78294927644839,0.866787953275307
"94",1,"7",2,"b1.m7.r2","a",0.794328181781404,0.218559634162579,0.00834916892039377
"95",1,"7",2,"b1.m7.r2","b",0.463801753631996,0.218039630700305,0.0709688386175073
"96",1,"7",2,"b1.m7.r2","c",4.72730887878781,1.69479886960474,0.0269352863322848
"97",1,"10",2,"b1.m10.r2","a",2.5,1.28464609536855,0.0927038001555423
"98",1,"10",2,"b1.m10.r2","b",0.758377002012651,0.294194889456084,0.0365891928704842
"99",1,"10",2,"b1.m10.r2","c",0.814347154910253,1.51338460787308,0.607187160210959
"100",1,"5",1,"b1.m5.r1","a",2.5,2.16501410512964,0.286095000880944
"101",1,"5",1,"b1.m5.r1","b",0.852505031918294,0.571435106517754,0.179363209965393
"102",1,"5",1,"b1.m5.r1","c",0.73307483872734,2.29133778966506,0.758356638131505
"103",1,"7",1,"b1.m7.r1","a",1.61863719035149,0.284758547874314,0.000747437193532153
"104",1,"7",1,"b1.m7.r1","b",1.46128900537933,0.774399441717259,0.101120812469859
"105",1,"7",1,"b1.m7.r1","c",2.31177774400129,0.467046982181045,0.00165667209467142
"106",1,"8",1,"b1.m8.r1","a",2.5,0.974093878581561,0.0371979196810717
"107",1,"8",1,"b1.m8.r1","b",0.774466147303933,0.220532537133109,0.00983553056671808
"108",1,"8",1,"b1.m8.r1","c",0.733692854379969,1.11395978084724,0.531189073276157
"109",1,"3",1,"b1.m3.r1","a",2.5,2.34095419946239,0.320986762145423
"110",1,"3",1,"b1.m3.r1","b",0.586436623086478,0.336887441073183,0.125271885469582
"111",1,"3",1,"b1.m3.r1","c",0.663796425875068,3.34919086740167,0.848524733607225
"112",1,"9",2,"b1.m9.r2","a",1.93082891458987,1.01235431802459,0.0981515245606597
"113",1,"9",2,"b1.m9.r2","b",0.540052359443382,0.164023024078178,0.0132560987467598
"114",1,"9",2,"b1.m9.r2","c",0.60760148035563,2.00171577411423,0.770301410261832
"115",1,"6",1,"b1.m6.r1","a",1.93620265354587,0.654994966238936,0.0212235132189314
"116",1,"6",1,"b1.m6.r1","b",0.829556016820238,0.389637770224723,0.0707700170064668
"117",1,"6",1,"b1.m6.r1","c",1.89932817927492,1.09423576929948,0.126186817610474
"118",1,"11",3,"b1.m11.r3","a",2.48795898424498,3.48399417704086,0.498272276670742
"119",1,"11",3,"b1.m11.r3","b",0.536916413548824,0.336902349774575,0.155035205942962
"120",1,"11",3,"b1.m11.r3","c",0,5.00541738096289,1
