"","block","mic","rep","id","Parameter","mean","Rhat","n.eff"
"1",1,"all",1,"b1.mall","K_s",53.8579865284153,1.00185544454113,2600
"2",1,"all",1,"b1.mall","deviance",3.52472170425543,1.00279403559798,1500
"3",1,"all",1,"b1.mall","r_max",1.64923266641505,1.00070768065126,6000
"4",1,"4",3,"b1.m4","K_s",19.4334416448695,1.00069553730107,6000
"5",1,"4",3,"b1.m4","deviance",-0.0946822544706037,1.00064650793298,6000
"6",1,"4",3,"b1.m4","r_max",1.21831148042312,1.00083950805029,6000
"7",1,"3",1,"b1.m3","K_s",22.5092306866279,1.00078913980888,6000
"8",1,"3",1,"b1.m3","deviance",0.244619076885595,1.00052703889357,6000
"9",1,"3",1,"b1.m3","r_max",1.49006747192704,1.00105149540475,6000
"10",1,"15",2,"b1.m15","K_s",16.5844100652231,1.00081577106333,6000
"11",1,"15",2,"b1.m15","deviance",2.91125474610265,1.00063937595127,6000
"12",1,"15",2,"b1.m15","r_max",1.45342318927206,1.00073442806486,6000
"13",1,"11",1,"b1.m11","K_s",45.2632895578079,1.00132868646234,4200
"14",1,"11",1,"b1.m11","deviance",13.0991295811787,1.00095861771902,6000
"15",1,"11",1,"b1.m11","r_max",1.2184726637944,1.00079626082025,6000
"16",1,"2",1,"b1.m2","K_s",28.8520128343774,1.00152336768756,3400
"17",1,"2",1,"b1.m2","deviance",-5.19698671971014,1.00136014476451,4100
"18",1,"2",1,"b1.m2","r_max",1.58902177105625,1.001375440781,4000
"19",1,"13",3,"b1.m13","K_s",49.0613260004671,1.00070443626658,6000
"20",1,"13",3,"b1.m13","deviance",-9.42261267266528,1.00107978537456,6000
"21",1,"13",3,"b1.m13","r_max",1.66147962213788,1.00076377797393,6000
"22",1,"12",2,"b1.m12","K_s",17.7700982254773,1.00063020810535,6000
"23",1,"12",2,"b1.m12","deviance",5.74401806886628,1.0005339412837,6000
"24",1,"12",2,"b1.m12","r_max",1.66852804064335,1.00083835126725,6000
"25",1,"14",2,"b1.m14","K_s",20.5228148304488,1.00131975879414,4300
"26",1,"14",2,"b1.m14","deviance",-14.2312601697572,1.00197585797655,2400
"27",1,"14",2,"b1.m14","r_max",1.56787417491609,1.00132592610574,4200
"28",1,"10",3,"b1.m10","K_s",17.6416127110522,1.00083672485966,6000
