"","block","mic","rep","id","Parameter","mean","Rhat","n.eff"
"1",1,"13",3,"b1.m13","a",1.84060769771566,1.00093461642801,6000
"2",1,"13",3,"b1.m13","b",0.539857642423079,1.00088843338368,6000
"3",1,"13",3,"b1.m13","c",1.87130395364523,1.00075685385567,6000
"4",1,"2",3,"b1.m2","a",1.70513487984695,1.00098456580973,6000
"5",1,"2",3,"b1.m2","b",0.869071325676516,1.00076430201738,6000
"6",1,"2",3,"b1.m2","c",2.68769890752587,1.00094279812621,6000
"7",1,"1",2,"b1.m1","a",1.68469106613033,1.00115693665719,5300
"8",1,"1",2,"b1.m1","b",0.652901119570783,1.00145452089151,3700
"9",1,"1",2,"b1.m1","c",2.28457221175906,1.00115954752727,5300
"10",1,"8",3,"b1.m8","a",1.88485958869969,1.00060524790742,6000
"11",1,"8",3,"b1.m8","b",0.810814748197675,1.00058570336437,6000
"12",1,"8",3,"b1.m8","c",1.54563320413932,1.00097521934079,6000
"13",1,"10",3,"b1.m10","a",1.80297095311351,1.00122257674563,4800
"14",1,"10",3,"b1.m10","b",0.883338295039987,1.00150922699516,3500
"15",1,"10",3,"b1.m10","c",2.10265240406193,1.00073475698291,6000
"16",1,"9",3,"b1.m9","a",1.8062004899003,1.00159902335482,3200
"17",1,"9",3,"b1.m9","b",0.644923689604261,1.00070730131164,6000
"18",1,"9",3,"b1.m9","c",1.35399780446755,1.00124024736318,4700
"19",1,"14",2,"b1.m14","a",1.88326300247935,1.0009249095453,6000
"20",1,"14",2,"b1.m14","b",0.791776391217915,1.00074427754233,6000
"21",1,"14",2,"b1.m14","c",1.63472106681958,1.00129438903026,4400
"22",1,"6",3,"b1.m6","a",1.83774416624349,1.0007764954411,6000
"23",1,"6",3,"b1.m6","b",0.784379127241491,1.00082400573753,6000
"24",1,"6",3,"b1.m6","c",1.95702999385876,1.0009069122108,6000
"25",1,"5",2,"b1.m5","a",1.89821978961273,1.0010410430422,6000
"26",1,"5",2,"b1.m5","b",1.77865689824504,1.00062531210196,6000
"27",1,"5",2,"b1.m5","c",1.42407501151312,1.00059740181811,6000
"28",1,"4",3,"b1.m4","a",1.56323865764509,1.00075127176316,6000
"29",1,"4",3,"b1.m4","b",0.62113067791908,1.00113681231303,5500
"30",1,"4",3,"b1.m4","c",2.24900145780594,1.00095766027929,6000
"31",1,"15",3,"b1.m15","a",1.74352678261777,1.00162740343869,3100
"32",1,"15",3,"b1.m15","b",0.698708976827401,1.00186277207389,2600
"33",1,"15",3,"b1.m15","c",1.96867236945748,1.00162181492069,3100
"34",1,"all",2,"b1.mall","a",1.8815918458394,1.00120201314446,5000
"35",1,"all",2,"b1.mall","b",0.850325863967094,1.00057378591701,6000
"36",1,"all",2,"b1.mall","c",2.13861852996909,1.00087025506632,6000
"37",1,"12",2,"b1.m12","a",1.88896628411514,1.00122291322693,4800
"38",1,"12",2,"b1.m12","b",0.960597490711414,1.00200162810822,2300
"39",1,"12",2,"b1.m12","c",1.87680746277697,1.00142361525293,3800
"40",1,"11",2,"b1.m11","a",1.82402382451608,1.00112397919841,5600
"41",1,"11",2,"b1.m11","b",0.822044732607265,1.00127567779271,4500
"42",1,"11",2,"b1.m11","c",1.11653992986378,1.00087114666861,6000
"43",1,"none",3,"b1.mnone","a",1.84766542573939,1.00164293873358,3100
"44",1,"none",3,"b1.mnone","b",0.901560830585946,1.00088081309291,6000
"45",1,"none",3,"b1.mnone","c",1.56806159125775,1.00201521136931,2300
"46",1,"7",3,"b1.m7","a",1.58883152995773,1.00100338802612,6000
"47",1,"7",3,"b1.m7","b",1.17273399287482,1.00092041969773,6000
"48",1,"7",3,"b1.m7","c",1.93994444246309,1.00076908955801,6000
"49",1,"3",1,"b1.m3","a",1.82285978474825,1.00063374302885,6000
"50",1,"3",1,"b1.m3","b",0.730539112549168,1.00197632546954,2400
"51",1,"3",1,"b1.m3","c",1.85149698573908,1.00086125864101,6000
"52",3,"10",1,"b3.m10","a",1.81538755364297,1.00198823999737,2400
"53",3,"10",1,"b3.m10","b",0.807816712805771,1.00094509645758,6000
"54",3,"10",1,"b3.m10","c",1.79953305407297,1.00126190514876,4600
"55",3,"8",1,"b3.m8","a",1.80242401231956,1.00131134605453,4300
"56",3,"8",1,"b3.m8","b",0.805773475039208,1.00123714686013,4700
"57",3,"8",1,"b3.m8","c",1.83123658593184,1.00099521053557,6000
"58",3,"3",2,"b3.m3","a",1.85280799860014,1.00118524595057,5100
"59",3,"3",2,"b3.m3","b",0.872726545687519,1.00076052872074,6000
"60",3,"3",2,"b3.m3","c",1.72571202158476,1.00112641512178,5600
"61",3,"all",1,"b3.mall","a",1.88305364123251,1.00112191690341,5600
"62",3,"all",1,"b3.mall","b",0.816664628675501,1.00192066570116,6000
"63",3,"all",1,"b3.mall","c",1.92205552998865,1.00085138598552,6000
"64",3,"13",1,"b3.m13","a",1.81135994787039,1.00082372350041,6000
"65",3,"13",1,"b3.m13","b",0.716050747145383,1.0012732893201,4500
"66",3,"13",1,"b3.m13","c",2.10094138328304,1.00056916300305,6000
"67",3,"2",2,"b3.m2","a",1.81985221014099,1.00078663527538,6000
"68",3,"2",2,"b3.m2","b",0.661882451020184,1.00131588187023,4300
"69",3,"2",2,"b3.m2","c",2.32283645151427,1.00067386840019,6000
"70",3,"14",3,"b3.m14","a",1.80076110836624,1.00148111737459,3600
"71",3,"14",3,"b3.m14","b",0.865318163820617,1.00102581140476,6000
"72",3,"14",3,"b3.m14","c",1.89423826488487,1.00182358816527,2600
"73",3,"1",2,"b3.m1","a",1.73399929889175,1.00111623786286,5700
"74",3,"1",2,"b3.m1","b",0.689346055368119,1.00063197224472,6000
