"","unique.id","temp","nit","salt","block","mic","plate","well","rep","µ","k","time"
"1","b1.t8.p1.w1",8,1000,0,1,"5",1,1,3,0.302947397247187,1.851,0.848125
"2","b1.t8.p1.w4",8,1000,0,1,"15",1,4,1,0.189856260650576,1.764,0.848125
"3","b1.t8.p1.w11",8,1000,0,1,"7",1,11,2,0.194499122613353,1.893,0.848125
"4","b1.t8.p1.w12",8,1000,0,1,"2",1,12,3,0.377113595317238,1.872,0.848125
"5","b1.t8.p1.w14",8,1000,0,1,"1",1,14,2,0.123543853793241,1.591,0.848125
"6","b1.t8.p1.w16",8,1000,0,1,"12",1,16,2,0.182035754114611,1.644,0.848125
"7","b1.t8.p1.w20",8,1000,0,1,"13",1,20,1,0.257572474671383,1.782,0.848125
"8","b1.t8.p1.w21",8,1000,0,1,"14",1,21,1,0.205012806180159,1.866,0.848125
"9","b1.t8.p1.w22",8,1000,0,1,"4",1,22,3,0.419023317007104,1.812,0.848125
"10","b1.t8.p1.w25",8,1000,0,1,"all",1,25,1,0.432659481290864,1.956,0.848125
"11","b1.t8.p1.w28",8,1000,0,1,"11",1,28,2,0.492352257026515,1.981,0.848125
"12","b1.t8.p1.w32",8,1000,0,1,"1",1,32,3,0.376157099247742,1.81,0.848125
"13","b1.t8.p1.w39",8,1000,0,1,"12",1,39,1,0.445677718622865,1.976,0.848125
"14","b1.t8.p1.w42",8,1000,0,1,"7",1,42,3,0.305643900415781,1.672,0.848125
"15","b1.t8.p1.w46",8,1000,0,1,"8",1,46,2,0.646585947206122,1.778,0.848125
"16","b1.t8.p1.w47",8,1000,0,1,"5",1,47,1,0.467907052699846,1.79,0.848125
"17","b1.t8.p1.w48",8,1000,0,1,"8",1,48,3,0.618032388088502,1.811,0.848125
"18","b1.t8.p1.w52",8,1000,0,1,"1",1,52,1,0.185815364769602,1.623,0.848125
"19","b1.t8.p1.w54",8,1000,0,1,"3",1,54,1,0.293602896224361,1.617,0.848125
"20","b1.t8.p1.w55",8,1000,0,1,"7",1,55,1,0.37961448315877,1.3,0.848125
"21","b1.t8.p1.w56",8,1000,0,1,"13",1,56,2,0.317307201146536,1.516,0.848125
"22","b1.t8.p1.w58",8,1000,0,1,"9",1,58,2,0.119422972608837,1.635,0.848125
"23","b1.t8.p1.w59",8,1000,0,1,"6",1,59,2,0.451624319832792,1.835,0.848125
"24","b1.t8.p2.w63",8,1000,0,1,"10",2,63,3,0.211024025215608,1.923,0.8509375
"25","b1.t8.p2.w67",8,1000,0,1,"4",2,67,2,0.126668121789047,1.827,0.8509375
"26","b1.t8.p2.w68",8,1000,0,1,"2",2,68,2,0.197991930300783,1.756,0.8509375
