"","mic","temp","well.ID","r.exp"
"1","none",8,"1.3.9",-0.0584274875158374
"2","none",8,"2.2.2",0.0283685626927391
"3","none",8,"2.4.5",0.0422561824617812
"4","none",14,"2.2.1",0.539507883849581
"5","none",14,"2.2.8",0.625734144935027
"6","none",14,"2.4.1",0.612359577194609
"7","none",20,"1.1.3",0.356402087609041
"8","none",20,"1.4.1",0.403142710046978
"9","none",20,"1.5.7",1.06008979468899
"10","none",25,"1.5.8",0.872734170659166
"11","none",25,"1.6.4",1.81292444263402
"12","none",25,"1.6.5",1.82483542262622
"13","none",30,"3.3.2",1.96385631986885
"14","none",30,"13.2.8",1.3985029271463
"15","none",30,"19.2.4",1.52246813588452
"16","none",33,"1.3.1",1.92535824418251
"17","none",33,"1.5.9",1.41197364160793
"18","none",33,"2.4.3",1.87725778796926
"19","none",35,"1.3.4",1.93437848261141
"20","none",35,"1.5.10",0.4175237375871
"21","none",35,"2.2.7",1.98858396900202
"22","none",39,"1.4.1",0.25925676136158
"23","none",39,"1.6.4",0.432084917664089
"24","none",39,"2.1.2",0.269092821027471
"25","none",43,"1.2.4",-0.265473088008475
"26","none",43,"1.5.9",-0.233249200869285
"27","none",43,"1.6.4",-0.210129345766252
"28","1",8,"1.1.10",-0.0702352944344248
"29","1",8,"1.4.5",0.085016844207362
"30","1",8,"2.2.9",0.0233737364091973
"31","1",14,"2.3.10",0.636792542373102
"32","1",14,"2.6.3",0.641461399214476
"33","1",14,"2.6.5",0.293059572719234
"34","1",20,"1.3.10",0.89272776753675
"35","1",20,"1.5.10",0.674771966541147
"36","1",20,"1.6.5",0.389345669177977
"37","1",25,"1.4.4",1.83497528109236
"38","1",25,"1.6.8",1.2903785461738
"39","1",25,"2.1.4",1.87979503092512
"40","1",30,"14.1.10",1.55164411628809
"41","1",30,"27.3.1",1.39869624918898
"42","1",30,"27.4.8",1.15042979764193
"43","1",33,"1.1.7",1.89254300445371
"44","1",33,"1.2.1",1.99848281491869
"45","1",33,"2.3.4",1.71010425643899
"46","1",35,"1.1.9",2.34167158731443
"47","1",35,"1.3.5",2.01508290938028
"48","1",35,"2.3.9",0.449808450820218
"49","1",39,"1.3.1",1.35998631745792
"50","1",39,"2.1.7",1.88126052227075
"51","1",39,"2.4.2",0.411585106740424
"52","1",43,"1.4.2",-0.36084739983652
"53","1",43,"1.6.3",-0.249960828191311
"54","1",43,"2.4.7",-0.221054144204605
"55","2",8,"1.1.2",-0.0547274394856536
"56","2",8,"1.2.5",0.0517083580383599
"57","2",8,"2.4.9",0.0331292495927985
"58","2",14,"1.1.4",0.632020523467161
"59","2",14,"2.2.4",0.656834574407416
"60","2",14,"2.5.2",0.710705188824906
"61","2",20,"1.1.1",0.181652374818849
"62","2",20,"1.4.8",0.347222156627071
"63","2",20,"2.1.4",1.22973009193289
"64","2",25,"2.2.10",1.77455726834524
"65","2",25,"2.5.5",1.77118590101396
"66","2",25,"2.6.8",1.6237665087214
"67","2",30,"1.2.8",1.54769913494139
"68","2",30,"21.3.3",1.7173181509772
"69","2",30,"24.6.8",1.42530238156054
"70","2",33,"1.4.5",2.04864152245182
"71","2",33,"2.2.2",1.92653258659959
"72","2",33,"2.6.7",1.89079682799504
"73","2",35,"1.1.1",0.480024782100612
"74","2",35,"1.6.5",1.97977441308328
"75","2",35,"2.1.7",2.28446021273535
"76","2",39,"1.1.7",1.96442572469092
"77","2",39,"1.1.8",1.85081181373004
"78","2",39,"2.2.1",0.358909232631107
"79","2",43,"1.4.3",-0.326239612231506
"80","2",43,"2.1.6",-0.366417893693515
"81","2",43,"2.6.8",-0.284480422618317
"82","3",8,"1.5.4",0.209417895002192
"83","3",8,"1.5.9",0.0405433185840436
"84","3",8,"2.1.5",0.0574251004086034
"85","3",14,"1.4.2",0.335909482136887
"86","3",14,"1.5.3",0.736308559983647
"87","3",14,"2.3.6",0.663332404323828
"88","3",20,"2.1.10",0.353563604707734
"89","3",20,"2.2.1",0.328084416551491
"90","3",20,"2.2.10",0.469351376712935
"91","3",25,"1.4.1",1.6026792086093
"92","3",25,"2.3.2",1.22227494027418
"93","3",25,"2.4.8",1.59530939151477
"94","3",30,"15.2.4",1.51806651342099
"95","3",30,"16.6.7",1.26352829502613
"96","3",30,"22.2.8",1.70098972993411
"97","3",33,"1.2.9",1.87363088904356
"98","3",33,"1.3.6",1.83084100624294
"99","3",33,"2.3.5",1.83400194232949
"100","3",35,"1.3.1",1.93739976892926
"101","3",35,"2.2.5",0.988777073557477
"102","3",35,"2.4.10",1.8770861796932
"103","3",39,"1.4.3",1.19509739530907
"104","3",39,"2.2.10",1.38489977759254
"105","3",39,"2.4.6",0.504835095686972
"106","3",43,"1.4.9",-0.298116000461186
"107","3",43,"1.6.6",-0.224357433554345
"108","3",43,"2.6.6",-0.179089506563256
"109","4",8,"1.1.7",-0.0273909503515764
"110","4",8,"2.2.1",0.0382428519870224
"111","4",8,"2.6.5",0.0459472529929345
"112","4",14,"1.4.3",0.632574770478149
"113","4",14,"1.5.5",0.0648690675900953
"114","4",14,"1.6.8",0.383415150438346
"115","4",20,"1.2.3",0.418138088441384
"116","4",20,"1.5.8",0.965641525615469
"117","4",20,"2.6.6",0.553677397887683
"118","4",25,"1.4.3",1.85048332733443
"119","4",25,"2.2.2",1.85998354641535
"120","4",25,"2.3.4",1.66596595099356
"121","4",30,"12.5.3",1.26952215062791
"122","4",30,"25.2.5",1.40714228471338
"123","4",30,"31.6.4",0.684580636569228
"124","4",33,"2.3.3",1.69139800611097
"125","4",33,"2.4.5",1.70696584360782
"126","4",33,"2.6.1",1.90035380967952
"127","4",35,"1.6.9",2.0498840327217
"128","4",35,"2.4.3",1.88564268512752
"129","4",35,"2.5.6",1.93487905680895
"130","4",39,"1.3.10",1.26084610413204
"131","4",39,"2.5.6",1.31882274652983
"132","4",39,"2.5.8",1.4224841093439
"133","4",43,"2.1.7",-0.258313420816746
"134","4",43,"2.3.8",-0.317895345346807
"135","4",43,"2.4.9",-0.169533190854024
"136","5",8,"2.1.4",0.0526240477451406
"137","5",8,"2.4.7",0.0595429666215365
"138","5",8,"2.5.9",0.00467365356616538
"139","5",14,"1.4.9",0.207457288142296
"140","5",14,"2.5.3",0.401884452189794
"141","5",14,"2.6.9",0.608077253323855
"142","5",20,"1.6.8",0.884127182225728
"143","5",20,"2.3.8",0.758072413793966
"144","5",20,"2.4.9",1.07859249275493
"145","5",25,"1.2.8",1.70070050086217
"146","5",25,"2.2.4",1.14416022813907
"147","5",25,"2.6.10",1.50527189657141
"148","5",30,"2.3.3",1.75191194563472
"149","5",30,"3.6.1",1.68544061645029
"150","5",30,"6.2.9",1.91326778880749
"151","5",33,"1.1.3",2.00607957564204
"152","5",33,"1.2.10",1.88808329587762
"153","5",33,"1.6.8",2.09634757218204
"154","5",35,"1.2.4",2.00824424559752
"155","5",35,"2.2.9",1.80222969612311
"156","5",35,"2.6.6",1.90351975242041
"157","5",39,"1.5.5",1.31903640823121
"158","5",39,"1.5.7",0.22984709640334
"159","5",39,"1.5.9",0.311361577852153
"160","5",43,"1.6.5",-0.217881056183082
"161","5",43,"2.4.10",-0.407532184090944
"162","5",43,"2.5.7",-0.299595340482239
"163","6",8,"1.6.10",-0.0305361184834767
"164","6",8,"2.2.6",0.0588194455640447
"165","6",8,"2.4.8",0.0789162781737004
"166","6",14,"1.1.1",0.750624882709123
"167","6",14,"1.5.6",0.642983293091764
"168","6",14,"2.6.6",0.659270429222118
"169","6",20,"1.1.9",1.05454026597852
"170","6",20,"1.2.7",1.15786810593027
"171","6",20,"1.4.6",0.854366982611182
"172","6",25,"2.3.1",1.70624732960566
"173","6",25,"2.4.1",1.77780648971893
"174","6",25,"2.4.2",1.36569098197652
"175","6",30,"4.3.2",1.55122208946513
"176","6",30,"5.6.5",1.73266934228582
"177","6",30,"18.6.10",1.69584933148281
"178","6",33,"2.5.4",1.81978608044586
"179","6",33,"2.5.10",1.90696358523703
"180","6",33,"2.6.8",1.81855935055165
"181","6",35,"2.2.3",1.88850436970528
"182","6",35,"2.3.10",1.8849512997212
"183","6",35,"2.4.2",1.80901348273199
"184","6",39,"1.5.3",1.2836076113359
"185","6",39,"1.6.9",1.25695107310301
"186","6",39,"2.3.2",1.31144073919393
"187","6",43,"2.2.1",-0.326219673502092
"188","6",43,"2.5.1",-0.2436773283589
"189","6",43,"2.6.7",-0.142801581594974
"190","7",8,"1.1.6",0.00786723368367783
"191","7",8,"1.2.7",0.103158145241707
"192","7",8,"1.2.8",0.0585254358728727
"193","7",14,"1.2.8",0.587238449744194
"194","7",14,"1.3.10",0.3185014088665
"195","7",14,"2.4.3",0.389873385960669
"196","7",20,"1.6.1",0.812521695806433
"197","7",20,"2.1.9",0.633729309497469
"198","7",20,"2.6.3",0.936886560057732
"199","7",25,"1.5.7",1.12675123346294
"200","7",25,"2.4.9",1.33606984718059
"201","7",25,"2.5.1",1.6834559738661
"202","7",30,"6.3.7",1.91090632531506
"203","7",30,"16.2.7",0.586743314959598
"204","7",30,"31.5.5",0.659610362841008
"205","7",33,"1.5.2",1.95465607825374
"206","7",33,"2.5.6",1.79762037276002
"207","7",33,"2.6.2",1.8903984111913
"208","7",35,"1.5.6",2.07053104930845
"209","7",35,"2.1.10",1.90916294683316
"210","7",35,"2.5.4",1.88458517195143
"211","7",39,"1.1.6",0.200806048561637
"212","7",39,"2.1.3",1.23049112529461
"213","7",39,"2.5.9",1.34204741385085
"214","7",43,"1.3.2",-0.181263518642597
"215","7",43,"1.6.9",-0.24991624282049
"216","7",43,"2.4.5",-0.387367169127907
"217","8",8,"1.2.3",0.0653845846941869
"218","8",8,"2.2.5",0.0522277310792895
"219","8",8,"2.5.6",0.0492389780387616
"220","8",14,"1.1.5",0.631188656397237
"221","8",14,"1.6.2",0.408429678229742
"222","8",14,"2.1.4",0.361921049409268
"223","8",20,"1.5.5",0.430381271201917
"224","8",20,"2.2.8",0.909380618838883
"225","8",20,"2.6.10",0.711519287858648
"226","8",25,"1.6.1",1.81261306081179
"227","8",25,"2.4.4",1.12276040953358
"228","8",25,"2.5.6",1.17937451448132
