"","mic","salt","well.ID","r.exp"
"1","none",0,"3.2.10",1.42504399324439
"2","none",0,"16.5.6",1.0464082656041
"3","none",0,"27.3.5",0.947974205988718
"4","1",0,"18.6.2",1.24889600410246
"5","1",0,"19.6.7",1.18884796935787
"6","1",0,"28.4.4",0.612297664205207
"7","2",0,"2.5.1",1.3261711937767
"8","2",0,"11.2.5",1.0421185458167
"9","2",0,"24.1.5",0.960879420297342
"10","3",0,"6.5.6",1.32886159944529
"11","3",0,"7.5.9",1.50769228769833
"12","3",0,"24.2.1",1.08364523374202
"13","4",0,"15.5.5",0.742294540701064
"14","4",0,"28.5.3",0.620502642498899
"15","4",0,"31.4.5",0.798695255263732
"16","5",0,"21.3.9",1.36081232355446
"17","5",0,"28.1.3",0.686182986403257
"18","5",0,"28.1.6",1.01823021644779
"19","6",0,"9.2.1",1.32041695963845
"20","6",0,"12.4.8",1.02214532134095
"21","6",0,"27.2.6",0.957837250225231
"22","7",0,"26.3.4",0.786203373584224
"23","7",0,"28.1.10",0.65124093176708
"24","7",0,"31.3.4",-0.135246459410528
"25","8",0,"12.5.2",1.12135963870534
"26","8",0,"23.5.5",1.172512346036
"27","8",0,"32.6.5",1.08861032100527
"28","9",0,"25.3.3",0.960423254981869
"29","9",0,"26.1.7",1.05698484642101
"30","9",0,"27.6.6",0.863743074916712
"31","10",0,"4.6.1",1.76836888790489
"32","10",0,"9.3.9",1.11489322052585
"33","10",0,"32.4.6",1.00787459407527
"34","11",0,"9.6.3",0.798078068525631
"35","11",0,"14.2.6",0.790703587287717
"36","11",0,"25.2.9",0.498907549590443
"37","12",0,"1.2.10",1.49457225223257
"38","12",0,"21.4.2",1.20365743588332
"39","12",0,"31.2.7",0.936211930660653
"40","13",0,"17.3.5",1.20490970542333
"41","13",0,"24.5.1",0.83875738997924
"42","13",0,"25.2.3",0.835645367266733
"43","14",0,"5.2.7",1.41207586233326
"44","14",0,"26.6.3",1.03315740964775
"45","14",0,"27.1.10",1.07274804992967
"46","15",0,"8.2.1",0.694712338035855
"47","15",0,"24.6.3",1.1467781891852
"48","15",0,"30.1.2",0.722047655696403
"49","all",0,"5.1.9",0.877730792869146
"50","all",0,"11.1.4",1.26722791999301
"51","all",0,"11.1.7",1.06219669152859
