"","mic","nit","well.ID","r.exp"
"1","none",5,"4.5.3",0.460696084059619
"2","none",5,"19.1.10",-0.14674359086069
"3","none",5,"24.3.3",-0.252345236451934
"4","none",700,"13.5.7",1.52696963472672
"5","none",700,"19.5.5",1.45998093863253
"6","none",700,"29.1.7",1.70381877579318
"7","none",25,"13.3.9",0.635238290486718
"8","none",25,"22.4.1",0.663762414290281
"9","none",25,"32.5.10",1.08587402697601
"10","none",1,"12.5.8",-0.232712447768211
"11","none",1,"16.6.5",-0.256970224831139
"12","none",1,"25.1.2",-0.133823756008616
"13","none",0,"1.6.4",-0.0229875035925836
"14","none",0,"3.5.4",-0.119828879188516
"15","none",0,"25.4.3",-0.192034367774272
"16","none",100,"6.5.3",1.67876246425888
"17","none",100,"7.6.3",1.75141131049125
"18","none",100,"14.3.6",1.61026982910185
"19","none",1000,"1.4.1",1.66706568006186
"20","none",1000,"16.5.9",1.50301511992512
"21","none",1000,"20.6.6",1.98958306883478
"22","none",400,"8.2.1",1.48108255853756
"23","none",400,"15.5.7",1.44257869828054
"24","none",400,"24.6.2",1.41832897665481
"25","none",10,"2.1.3",0.698298745662096
"26","none",10,"8.3.7",1.17810870108834
"27","none",10,"27.5.2",-0.0816202247687599
"28","none",50,"2.2.7",1.57066443984207
"29","none",50,"3.1.6",1.44226785173814
"30","none",50,"23.1.9",1.30534241078766
"31","1",5,"9.5.5",-0.206458573966793
"32","1",5,"28.5.10",-0.0994532239996168
"33","1",5,"32.4.9",-0.161566345249157
"34","1",700,"10.4.9",1.86514426633023
"35","1",700,"14.2.6",1.88218978154838
"36","1",700,"20.2.5",1.86400799722727
"37","1",25,"3.6.10",1.18076162045257
"38","1",25,"16.1.5",0.310443085648497
"39","1",25,"28.6.7",0.892141611842135
"40","1",1,"2.2.8",-0.200732518901919
"41","1",1,"4.4.7",-0.253895434650912
"42","1",1,"31.1.3",0.125446025885915
"43","1",0,"2.5.3",-0.161737156063623
"44","1",0,"20.3.7",-0.221637515474464
"45","1",0,"22.4.9",-0.295194846856025
"46","1",100,"13.1.9",1.95932373516368
"47","1",100,"18.5.4",0.40052144937766
"48","1",100,"30.3.3",1.87008041879751
"49","1",1000,"3.3.2",1.14080500243569
"50","1",1000,"12.3.4",1.40955026143282
"51","1",1000,"13.6.3",1.8406159418885
"52","1",400,"10.2.4",1.94201304940224
"53","1",400,"17.2.8",1.60742856883214
"54","1",400,"23.6.9",1.82011439521813
"55","1",10,"21.6.10",-0.0944204109388539
"56","1",10,"27.3.9",-0.0926063782736219
"57","1",50,"2.2.2",0.68914667581737
"58","1",50,"4.1.8",1.53017662201259
"59","1",50,"4.2.3",1.34551113943552
"60","1",50,"22.2.1",1.4151237586297
"61","2",5,"23.6.10",0.450495415546421
"62","2",5,"29.3.2",-0.159359721281283
"63","2",5,"30.2.3",0.063485202913207
"64","2",700,"14.6.5",0.277588705233506
"65","2",700,"23.6.4",1.55121613624186
"66","2",700,"28.5.2",1.7637027902661
"67","2",25,"1.1.7",1.18460094956618
"68","2",25,"6.6.4",0.907362546048661
"69","2",25,"23.2.4",0.639477640424702
"70","2",1,"7.4.9",-0.0851322729211227
"71","2",1,"8.1.10",-0.10109129603425
"72","2",1,"16.5.5",-0.186094421527373
"73","2",0,"8.2.10",-0.0940299110622116
"74","2",0,"19.4.9",-0.177410588329633
"75","2",0,"24.3.8",-0.145353477948408
"76","2",100,"5.2.5",0.653517386632533
"77","2",100,"10.2.9",0.195558415337871
"78","2",100,"23.2.5",1.46475953548998
"79","2",1000,"14.3.7",0.569719356246604
"80","2",1000,"19.6.8",1.8960496040111
"81","2",1000,"30.3.7",1.8251490158013
"82","2",400,"6.2.6",1.94384909378505
"83","2",400,"6.2.10",2.20592465377151
"84","2",400,"10.5.3",0.372982354512021
"85","2",10,"4.2.6",-0.235584821342972
"86","2",10,"7.4.2",-0.0892620151598902
"87","2",10,"18.5.5",-0.142884646880932
"88","2",50,"6.6.2",0.958641352401001
"89","2",50,"15.3.3",1.33968083624727
"90","2",50,"26.1.10",1.33957205963635
"91","3",5,"8.6.7",0.762385312914373
"92","3",5,"30.6.10",-0.160334302215666
"93","3",5,"32.6.8",-0.0495462135472037
"94","3",700,"3.2.7",0.686166828062967
"95","3",700,"12.5.6",1.46437348868123
"96","3",700,"19.2.6",1.73903955542505
"97","3",25,"24.2.5",0.454728963257017
"98","3",25,"24.5.2",0.167287109142493
"99","3",25,"29.4.7",1.25688360232084
"100","3",1,"8.2.7",-0.191999441076472
"101","3",1,"17.6.9",-0.133344412242572
"102","3",1,"30.2.6",-0.204238782190905
"103","3",0,"7.5.7",-0.137500190124603
"104","3",0,"21.2.10",-0.108851971231951
"105","3",0,"29.1.10",-0.141955279360118
"106","3",100,"7.4.8",1.93818031098836
"107","3",100,"14.3.10",1.6683783843947
"108","3",100,"28.4.8",1.71976418714318
"109","3",1000,"4.2.5",0.564777380305044
"110","3",1000,"6.6.1",2.02198242035762
"111","3",1000,"24.3.2",0.510548726245886
"112","3",400,"5.1.1",1.91785616933678
"113","3",400,"18.2.8",1.50437686619233
"114","3",400,"27.3.8",0.539516903620834
"115","3",10,"2.5.9",0.990966111842177
"116","3",10,"8.3.6",-0.174260612430167
"117","3",10,"16.4.2",0.321409295492023
"118","3",50,"4.2.2",1.4304892674963
"119","3",50,"11.2.3",1.19202999919585
"120","3",50,"12.6.6",0.927949692242649
"121","4",5,"6.1.7",-0.176266399824706
"122","4",5,"7.1.6",-0.0476059482709851
"123","4",5,"8.2.2",-0.285837984958743
"124","4",700,"1.1.6",1.69860942275102
"125","4",700,"27.6.6",1.70756637381019
"126","4",700,"30.3.9",1.71894559336566
"127","4",25,"2.1.2",1.11812442603957
"128","4",25,"8.6.3",0.7799954856806
"129","4",25,"28.1.8",0.777902605537448
"130","4",1,"1.2.2",-0.134837999518236
"131","4",1,"9.2.1",-0.251199165182951
"132","4",1,"23.2.1",-0.00526734260601333
"133","4",0,"4.3.6",-0.100556707587042
"134","4",0,"9.2.6",-0.215247532931947
"135","4",0,"26.3.6",-0.276886986378443
"136","4",100,"15.3.1",1.71091438038077
"137","4",100,"29.4.10",1.95335914758501
"138","4",100,"32.1.4",1.35131518267229
"139","4",1000,"23.3.3",1.3926347532204
"140","4",1000,"32.1.8",1.50209915034952
"141","4",1000,"32.2.4",1.49936558028013
"142","4",400,"13.1.8",1.81221812090321
"143","4",400,"13.3.6",1.84150331026006
"144","4",400,"29.2.6",1.7750922434289
"145","4",10,"1.6.5",-0.117377911709845
"146","4",10,"16.6.3",-0.154062414268673
"147","4",10,"28.3.10",-0.172503966704452
"148","4",50,"3.4.6",1.31552063634432
"149","4",50,"20.1.1",1.19241270411212
"150","4",50,"24.2.6",1.21797795290401
"151","5",5,"17.5.6",-0.034559158973536
"152","5",5,"20.4.9",-0.117083187434236
"153","5",5,"23.1.10",0.0845100849093721
"154","5",700,"8.6.10",0.332163886911516
"155","5",700,"16.4.8",1.38985107713042
"156","5",700,"32.5.2",1.60162041590208
"157","5",25,"1.5.5",0.979689175638964
"158","5",25,"27.1.7",0.475128373500081
"159","5",25,"28.6.4",0.995760553615297
"160","5",1,"9.5.4",-0.13279736090673
"161","5",1,"12.5.3",-0.24136899497411
"162","5",1,"21.6.8",-0.0888560603314045
"163","5",0,"7.6.8",-0.0973939360534294
"164","5",0,"14.5.9",-0.276885541508831
"165","5",0,"22.5.8",-0.27550537317675
"166","5",100,"14.4.8",1.80680867105941
"167","5",100,"18.1.7",1.64457884197351
"168","5",100,"32.4.7",1.59465651636289
"169","5",1000,"14.4.4",0.596415982425313
"170","5",1000,"21.4.9",1.57394994664331
"171","5",1000,"30.1.5",1.77860727553524
"172","5",400,"13.2.6",1.83809949466798
"173","5",400,"22.5.4",1.64097104355102
"174","5",400,"23.2.7",1.62648068871792
"175","5",10,"14.6.7",0.389546418106515
"176","5",10,"18.6.6",0.221870633570947
"177","5",10,"24.2.4",-0.202790154117097
"178","5",50,"2.2.6",1.52840692094956
"179","5",50,"10.1.8",1.14555488695508
"180","5",50,"19.6.3",1.3431467830606
"181","6",5,"11.5.2",0.419068635317338
"182","6",5,"20.4.3",-0.151433780214135
"183","6",5,"27.3.2",-0.106006302535144
"184","6",700,"12.5.4",0.438898658635831
"185","6",700,"15.5.10",0.433597273352534
"186","6",700,"17.4.8",1.31494644805065
"187","6",25,"9.6.8",1.08092739961775
"188","6",25,"21.1.4",0.576642320350938
"189","6",25,"30.3.1",1.31071852350665
"190","6",1,"24.1.9",-0.220159833946525
"191","6",1,"29.6.8",0.293357366678516
"192","6",1,"31.1.7",-0.119080866579299
"193","6",0,"3.5.10",-0.186589997178189
"194","6",0,"8.3.9",-0.141293400595568
"195","6",0,"21.4.5",-0.168385048562639
"196","6",100,"2.2.10",1.66132759430528
"197","6",100,"17.2.1",1.43550867752103
"198","6",100,"28.2.5",1.67965348679351
"199","6",1000,"6.1.2",1.87595926503588
"200","6",1000,"14.5.2",0.743242239099862
"201","6",1000,"24.1.1",1.41472059074362
"202","6",400,"5.2.8",1.74860471467975
"203","6",400,"19.5.3",1.42637738526142
"204","6",400,"29.2.8",1.80843102690909
"205","6",10,"14.2.1",0.605004335703617
"206","6",10,"14.6.9",0.563112546711361
"207","6",10,"26.5.1",0.211926864854022
"208","6",50,"9.3.4",1.64094113226484
"209","6",50,"30.1.3",1.59581419110338
"210","6",50,"30.4.9",1.61940113242703
"211","7",5,"1.5.8",-0.177928923838566
"212","7",5,"19.2.10",-0.11055890266177
"213","7",5,"26.1.7",-0.214258086687234
"214","7",700,"4.3.4",0.610758174381417
"215","7",700,"16.3.5",1.5254345892177
"216","7",700,"18.4.1",1.56169605235612
"217","7",25,"5.6.8",0.687838027009684
"218","7",25,"20.1.2",0.573777960225403
"219","7",25,"25.5.2",0.554150152598874
"220","7",1,"3.5.2",-0.119833761179002
"221","7",1,"5.5.5",-0.217375712747437
"222","7",1,"13.5.2",-0.314262552017061
"223","7",0,"4.4.9",-0.106431696784119
"224","7",0,"18.4.2",-0.277724604081387
"225","7",0,"25.5.10",-0.265113547300695
"226","7",100,"4.2.8",1.89039212500129
"227","7",100,"11.5.8",0.42673876129504
"228","7",100,"29.4.4",1.87104175831399
"229","7",1000,"6.4.5",0.483417367225739
"230","7",1000,"8.2.6",0.68127132154431
"231","7",1000,"11.3.6",0.48539860887191
"232","7",400,"14.2.2",0.240859158762032
"233","7",400,"21.6.7",1.66473250803021
"234","7",400,"32.2.8",1.67593725848541
"235","7",10,"6.5.10",0.479830041837898
"236","7",10,"10.1.9",-0.280655020596724
"237","7",10,"30.2.1",0.552794389162055
"238","7",50,"6.2.9",1.32890774113377
"239","7",50,"11.1.2",1.26828746834263
"240","7",50,"26.3.5",1.53644357099135
"241","8",5,"4.4.3",1.03640900412928
"242","8",5,"9.1.5",0.774491405412895
"243","8",5,"28.1.6",-0.1328196375069
"244","8",700,"3.4.2",0.787675289746254
"245","8",700,"4.5.6",0.538289728344111
"246","8",700,"14.3.9",1.68650025464863
"247","8",25,"11.4.2",0.854440433155225
"248","8",25,"26.4.7",1.21173878029147
"249","8",25,"26.6.6",0.650314833707842
"250","8",1,"6.3.3",-0.143814758416247
"251","8",1,"24.4.3",-0.274949206308409
"252","8",1,"29.3.6",-0.18555619774398
"253","8",0,"6.3.9",-0.224954378908584
"254","8",0,"19.4.4",-0.303459802068287
"255","8",0,"28.4.9",-0.121544049064137
"256","8",100,"9.5.8",2.0043333710854
"257","8",100,"17.3.5",1.58395152893026
"258","8",100,"20.4.4",1.59325541862011
"259","8",1000,"13.3.7",0.417633902135546
"260","8",1000,"24.4.4",1.58926605222862
"261","8",1000,"26.4.2",1.85986958167723
"262","8",400,"3.4.4",2.15287970480109
"263","8",400,"7.5.9",1.62435622768668
"264","8",400,"18.3.9",1.48213088061037
"265","8",10,"1.4.9",0.673559792081284
"266","8",10,"28.2.7",0.365112298402695
"267","8",10,"30.4.8",0.161697196766896
"268","8",50,"12.1.6",1.42840127360465
"269","8",50,"20.1.10",1.4322906788449
"270","8",50,"28.1.1",1.47030485732486
"271","9",5,"1.2.8",-0.0542141070331068
"272","9",5,"10.6.7",-0.200181245804444
"273","9",5,"27.2.1",-0.099567147853684
"274","9",700,"10.1.10",1.82320518970967
"275","9",700,"14.1.5",1.81589942691047
"276","9",700,"25.3.4",1.92392011560288
"277","9",25,"2.6.1",1.16344278975182
"278","9",25,"2.6.9",1.03450479233993
"279","9",25,"30.3.10",1.11149671512313
"280","9",1,"9.2.10",-0.218970951190315
"281","9",1,"27.6.1",-0.137439496279397
"282","9",1,"30.6.1",-0.119890897199176
"283","9",0,"2.2.4",-0.0524383949566434
"284","9",0,"10.2.5",-0.200907891880256
"285","9",0,"17.6.1",-0.123781725370627
"286","9",100,"5.4.10",1.63695145642323
"287","9",100,"15.2.9",1.73001230660407
"288","9",100,"24.4.10",1.71790803428599
"289","9",1000,"3.6.3",2.08630884346498
"290","9",1000,"8.5.6",1.85723736601078
"291","9",1000,"11.3.9",1.82349823405919
"292","9",400,"1.4.4",1.56807007205398
"293","9",400,"20.2.4",1.57992053248161
"294","9",400,"21.3.5",1.434976758711
"295","9",10,"18.6.8",0.424274387580363
"296","9",10,"23.4.7",0.306492742036964
"297","9",10,"31.4.9",0.213374011246826
"298","9",50,"11.3.7",0.31794625155417
"299","9",50,"29.3.5",1.61707189675035
"300","10",5,"19.3.7",-0.163243069231603
"301","10",5,"23.4.5",0.260501315087062
"302","10",5,"24.5.8",-0.204474188794766
"303","10",700,"3.4.9",1.93029208810914
"304","10",700,"5.5.3",1.78595754148708
"305","10",700,"22.6.8",1.51435038760902
"306","10",25,"3.1.9",1.05326252902696
"307","10",25,"21.5.4",0.56721691639188
"308","10",25,"27.3.7",0.753076989883452
"309","10",1,"7.3.7",-0.185225505304789
"310","10",1,"17.2.4",-0.118965976509602
"311","10",1,"28.5.9",-0.12284513349174
"312","10",0,"7.2.8",0.0185923210403992
"313","10",0,"8.6.2",-0.127463465056939
"314","10",0,"26.1.2",0.0224973420534649
"315","10",100,"29.2.5",1.83142538686754
"316","10",100,"29.5.9",1.95607919491693
"317","10",100,"31.4.4",1.76650820738832
"318","10",1000,"7.1.7",1.98989966317715
"319","10",1000,"21.3.2",1.50051704336062
"320","10",1000,"28.1.10",1.67596079769754
"321","10",400,"16.1.3",0.646397281128158
"322","10",400,"24.5.6",1.52088830907195
"323","10",400,"25.4.5",2.0116190898902
"324","10",10,"18.6.3",-0.137701410510964
"325","10",10,"21.6.9",0.00249329458590436
"326","10",10,"31.4.7",0.305907289925911
"327","10",50,"16.6.6",1.28360226215729
"328","10",50,"19.6.9",1.53725102023716
"329","10",50,"29.6.7",1.59734140632613
"330","11",5,"1.1.3",-0.132162719764165
"331","11",5,"23.3.8",0.193619285992088
"332","11",5,"29.5.7",-0.238077308896806
"333","11",700,"8.1.3",1.57082387770267
"334","11",700,"27.2.7",1.71326917610281
"335","11",700,"31.4.10",0.591118518216792
"336","11",25,"10.1.4",0.44463774263952
"337","11",25,"14.1.1",0.524482869793804
"338","11",25,"19.6.10",0.168987439039617
"339","11",1,"15.1.8",-0.283616041600807
"340","11",1,"17.3.9",-0.31040195979212
"341","11",1,"27.6.5",-0.199471480562587
"342","11",0,"10.5.2",-0.235058973361711
"343","11",0,"17.1.4",-0.202331217849624
"344","11",0,"24.5.7",-0.221435877414242
"345","11",100,"9.6.4",1.467862857187
"346","11",100,"12.2.2",0.595361605408462
"347","11",100,"22.2.10",1.0998748789487
"348","11",1000,"26.5.3",1.92979443561091
"349","11",1000,"30.4.4",1.92842512013409
"350","11",1000,"31.3.1",1.99095982083486
"351","11",400,"8.5.1",1.45104864533187
"352","11",400,"18.1.5",1.68270893020841
"353","11",400,"18.1.9",1.79283710711453
"354","11",10,"6.1.10",0.274433369719535
"355","11",10,"7.1.1",0.964007104929572
"356","11",10,"14.6.8",0.63862005121671
"357","11",10,"19.4.3",0.183573769214774
"358","11",50,"10.6.6",1.00614600869879
"359","11",50,"14.3.8",1.15290590325102
"360","11",50,"25.4.1",0.670495233416139
"361","12",5,"5.2.7",-0.150658037736654
"362","12",5,"20.2.3",-0.159944295786252
"363","12",5,"27.5.4",0.259390982627929
"364","12",700,"3.3.9",1.15683815800512
"365","12",700,"24.2.9",1.4409375081274
"366","12",700,"30.6.9",1.76530403612322
"367","12",25,"7.1.3",0.366559624048562
"368","12",25,"24.4.7",0.734369722923802
"369","12",25,"32.4.1",1.09329539524397
"370","12",1,"8.1.1",-0.0483774621033424
"371","12",1,"9.1.1",-0.261142804978982
"372","12",1,"17.3.10",-0.128832236010317
"373","12",0,"4.1.1",-0.245649962160703
"374","12",0,"4.4.5",-0.222064056287999
"375","12",0,"28.6.6",-0.127657208481123
"376","12",100,"1.3.7",1.58489302627908
"377","12",100,"9.3.7",2.16602824589745
"378","12",100,"22.6.6",1.41860448710875
"379","12",1000,"9.2.2",0.988728427276099
"380","12",1000,"18.1.2",1.58360251815405
"381","12",1000,"23.2.10",1.74590230704259
"382","12",400,"12.4.2",1.36859250345199
"383","12",400,"17.4.10",1.46610050262072
"384","12",400,"24.1.7",1.49040149882615
"385","12",10,"2.4.5",1.11210759482302
"386","12",10,"16.4.10",0.0823171219995375
"387","12",10,"31.3.4",0.274459478757304
"388","12",50,"5.4.8",1.54952589737927
"389","12",50,"16.2.5",1.28548634104164
"390","12",50,"20.3.10",1.47634022491443
"391","13",5,"9.3.9",-0.268255111274159
"392","13",5,"12.1.9",-0.231474280623457
"393","13",5,"19.2.2",-0.0908357132377026
"394","13",700,"17.1.5",1.49857645885231
"395","13",700,"28.1.9",1.63455006232438
"396","13",700,"30.1.1",1.84499813988093
"397","13",25,"4.3.1",0.812821083628244
"398","13",25,"10.3.2",1.00009165752413
"399","13",25,"18.2.10",0.334417775794138
"400","13",1,"10.2.1",-0.166899464076847
"401","13",1,"18.5.10",-0.276323086017009
"402","13",1,"19.2.5",-0.267984008287953
"403","13",0,"1.2.9",-0.0422665133897232
"404","13",0,"18.5.3",-0.17779051493218
"405","13",0,"19.4.2",-0.024694556252912
"406","13",100,"8.2.8",0.743610751449728
"407","13",100,"28.3.5",1.64377996295067
"408","13",100,"32.6.9",1.7505357721106
"409","13",1000,"23.6.3",1.65790977068543
"410","13",1000,"24.4.5",1.63770312108115
"411","13",1000,"29.5.3",1.86455644665981
"412","13",400,"1.5.6",1.48987597249326
"413","13",400,"6.6.10",0.45690379622662
"414","13",400,"19.4.6",1.63097176156741
"415","13",10,"16.3.10",-0.197045027384334
"416","13",10,"26.4.10",-0.177023165513444
"417","13",10,"27.3.6",-0.112512184077276
"418","13",50,"3.6.7",0.986126602061456
"419","13",50,"27.6.8",1.41303948196427
"420","13",50,"28.3.7",1.44093615327603
"421","14",5,"8.3.3",1.17642214426626
"422","14",5,"30.2.4",0.242756446240951
"423","14",5,"30.3.8",-0.198235025210597
"424","14",700,"5.3.8",0.791957892551988
"425","14",700,"23.6.8",1.74501424167284
"426","14",700,"31.2.9",1.68553621931242
"427","14",25,"15.4.10",0.956140609111442
"428","14",25,"25.2.4",0.397608523192842
"429","14",25,"25.3.3",1.05122822764409
"430","14",1,"2.3.3",0.189171621621466
"431","14",1,"11.6.3",0.751891503699904
"432","14",1,"12.6.3",-0.210150260779214
"433","14",0,"2.3.1",0.0760719632611208
"434","14",0,"12.2.1",-0.134188494029203
"435","14",0,"22.2.5",-0.0763282743908906
"436","14",100,"9.4.10",2.04814851030551
"437","14",100,"17.6.8",1.45422024455654
"438","14",100,"30.1.6",2.12260944759079
"439","14",1000,"2.1.10",2.03414673722
"440","14",1000,"7.1.5",0.921381858422536
"441","14",1000,"21.6.4",1.62800808404571
"442","14",400,"17.5.1",0.318701545801203
"443","14",400,"19.6.2",1.47495251260723
"444","14",400,"29.4.9",1.76381178242248
"445","14",10,"13.6.8",0.325920451080017
"446","14",10,"15.5.6",0.648373986124038
"447","14",10,"17.2.5",0.0116641220358444
"448","14",50,"12.3.9",0.716225648007039
"449","14",50,"14.4.9",1.51481276733456
"450","14",50,"27.1.9",1.53248472873625
"451","15",5,"1.1.2",0.316683009245951
"452","15",5,"23.4.1",0.293125598063289
"453","15",5,"31.1.4",0.307207493264763
"454","15",700,"4.6.4",1.7013186741603
"455","15",700,"7.6.4",1.72595548203689
"456","15",700,"12.3.1",1.42399661166087
"457","15",25,"14.1.4",0.778328285583082
"458","15",25,"22.3.3",0.80980594962412
"459","15",25,"24.6.10",0.852172064889524
"460","15",1,"2.1.4",0.14572929148767
"461","15",1,"9.5.1",-0.213283947710365
"462","15",1,"29.4.6",-0.221200384547205
"463","15",0,"24.6.3",-0.230089110762691
"464","15",0,"25.3.8",0.0856804325968079
"465","15",0,"25.6.1",-0.15575445444474
"466","15",100,"19.6.6",1.78470304899907
"467","15",100,"28.6.1",1.54870347873318
"468","15",100,"31.6.5",1.65812995903518
"469","15",1000,"3.6.6",2.05861140853116
"470","15",1000,"10.4.8",0.220004628184609
"471","15",1000,"12.4.3",1.41649010570964
"472","15",400,"9.1.9",1.87769475119631
"473","15",400,"22.3.6",1.56346796306553
"474","15",400,"29.6.6",1.9541201702697
"475","15",10,"3.2.9",0.741186827197569
"476","15",10,"18.4.3",0.20192552801478
"477","15",10,"19.5.6",0.401378776167161
"478","15",50,"17.1.10",1.29603306083965
"479","15",50,"23.3.10",1.30327862606471
"480","15",50,"29.5.5",1.66290212684274
"481","all",5,"14.5.7",-0.180558220336097
"482","all",5,"16.6.1",-0.172515215357247
"483","all",5,"20.3.9",0.00702643290196316
