"","Block","Mic","Parameter","mean","Rhat","n.eff"
"1",1,"none","cf.a",0.0640797257205299,1.00182317847542,1300
"2",1,"none","cf.b",-0.820725104666417,1.00054649967128,2000
"3",1,"none","cf.delta_t",9.58031019878992,1.00073785079314,2000
"4",1,"none","cf.sigma",0.473266551426619,1.00288524069716,1100
"5",1,"none","cf.tmax",43.4332922601004,1.00135670208828,1700
"6",1,"none","deviance",34.7595174757547,1.00100032125623,2000
"7",1,"1","cf.a",0.0677408614700026,1.00579244921554,280
"8",1,"1","cf.b",-0.812149670144626,1.00644150495584,250
"9",1,"1","cf.delta_t",7.94827353914026,1.00165872579936,1300
"10",1,"1","cf.sigma",0.475740593759057,1.00300131062031,600
"11",1,"1","cf.tmax",43.5276856477672,1.00373838045285,730
"12",1,"1","deviance",35.032172814213,1.00244401420953,770
"13",1,"2","cf.a",0.064778681055218,1.00202566737957,980
"14",1,"2","cf.b",-0.857980777414148,1.0010567655471,2000
"15",1,"2","cf.delta_t",7.60517028899071,1.00055414234144,2000
"16",1,"2","cf.sigma",0.515047801745611,1.00174382057533,1200
"17",1,"2","cf.tmax",43.5278120262297,1.00051783746549,2000
"18",1,"2","deviance",38.7505054013291,1.00578969563672,400
"19",1,"3","cf.a",0.0788634004910293,1.00247306790396,760
"20",1,"3","cf.b",-0.693899711515048,1.00497512586406,520
"21",1,"3","cf.delta_t",8.70441436754406,1.00053793576826,2000
"22",1,"3","cf.sigma",0.338527061139517,1.00088617670283,2000
"23",1,"3","cf.tmax",43.5270054934043,1.00716447159582,370
"24",1,"3","deviance",16.6249699751385,1.00061802862536,2000
"25",1,"4","cf.a",0.0879960243078305,1.45864253266454,8
"26",1,"4","cf.b",-0.667774685915365,1.15142949171461,17
"27",1,"4","cf.delta_t",8.67623157457192,1.46588111565749,9
"28",1,"4","cf.sigma",0.352248189391885,1.00156401329354,1400
"29",1,"4","cf.tmax",43.5398586105455,1.02498063746589,82
"30",1,"4","deviance",18.7681252986507,1.00747812573716,220
"31",1,"5","cf.a",0.0709761702769887,1.00152465607619,2000
"32",1,"5","cf.b",-1.00324831465328,1.00140325462487,2000
"33",1,"5","cf.delta_t",9.32009320690768,1.00132156918945,2000
"34",1,"5","cf.sigma",0.325497837403488,1.00229702386013,840
"35",1,"5","cf.tmax",43.6415692876438,1.00059116633792,2000
"36",1,"5","deviance",14.4932565361206,1.00190279879806,1100
"37",1,"6","cf.a",0.0818463932071921,1.00049801313467,2000
"38",1,"6","cf.b",-0.722384451973378,1.00055314646551,2000
"39",1,"6","cf.delta_t",9.98826048291013,1.00285415750595,2000
"40",1,"6","cf.sigma",0.146087617882407,1.00053666368168,2000
"41",1,"6","cf.tmax",43.7596249078056,1.00071095247103,2000
"42",1,"6","deviance",-28.9691552493986,1.00068606477724,2000
"43",1,"7","cf.a",0.0695341318937751,1.00182736081498,1100
"44",1,"7","cf.b",-0.80546867908639,1.00090410142118,2000
"45",1,"7","cf.delta_t",7.94270520275954,1.00052011356424,2000
"46",1,"7","cf.sigma",0.423856459613178,1.00190699680809,1100
"47",1,"7","cf.tmax",43.5405584157236,1.00274312501002,1300
"48",1,"7","deviance",28.6292325204334,1.00280078346727,730
"49",1,"8","cf.a",0.0679104377442756,1.01210677117135,130
"50",1,"8","cf.b",-0.841335374082045,1.00803945982324,200
"51",1,"8","cf.delta_t",8.58569956499061,1.00731445261493,270
"52",1,"8","cf.sigma",0.386873740554029,1.00077376142122,2000
"53",1,"8","cf.tmax",43.5367794058632,1.00487667049707,340
"54",1,"8","deviance",23.5888493988031,1.000593078212,2000
"55",1,"9","cf.a",0.0722357371822496,1.00057426012352,2000
"56",1,"9","cf.b",-0.795326538744761,1.0006425246732,2000
"57",1,"9","cf.delta_t",8.33169376950752,1.00104258004206,2000
"58",1,"9","cf.sigma",0.389541423413233,1.00160379846945,1400
"59",1,"9","cf.tmax",43.5644224255105,1.00289011968575,1400
"60",1,"9","deviance",24.0320634806971,1.00060132401714,2000
"61",1,"10","cf.a",0.0734966022651349,1.00730855191577,1700
"62",1,"10","cf.b",-0.784267061601624,1.00398042110682,2000
"63",1,"10","cf.delta_t",9.44386156982179,1.01860095638226,240
"64",1,"10","cf.sigma",0.310256132769487,1.00676657249433,1200
"65",1,"10","cf.tmax",43.6033518939051,1.00711978588889,460
"66",1,"10","deviance",11.9768183395029,1.00607654275672,270
"67",1,"11","cf.a",0.126883480396913,1.01901469446688,95
"68",1,"11","cf.b",-0.414424841709762,1.01482387841553,110
"69",1,"11","cf.delta_t",7.67355579551208,1.02367209317076,89
"70",1,"11","cf.sigma",0.29092640460363,1.00054263162734,2000
"71",1,"11","cf.tmax",43.0248698036384,1.01198102443198,150
"72",1,"11","deviance",8.15739071395718,1.00106073142274,2000
"73",1,"12","cf.a",0.0853357898923666,1.00204262114519,970
"74",1,"12","cf.b",-0.753478636290617,1.00148083978279,1500
"75",1,"12","cf.delta_t",9.58289057928818,1.00049892273203,2000
"76",1,"12","cf.sigma",0.247602469217346,1.000998448264,2000
"77",1,"12","cf.tmax",43.5260840887358,1.00071447773618,2000
"78",1,"12","deviance",-0.313149466744166,1.00134506946586,1800
"79",1,"13","cf.a",0.0754766800283774,1.00725825704317,220
"80",1,"13","cf.b",-0.922552712776155,1.01117457513652,170
"81",1,"13","cf.delta_t",9.31332726285665,1.00193783877446,1400
"82",1,"13","cf.sigma",0.394191686709911,1.00067417111732,2000
"83",1,"13","cf.tmax",43.5319384390011,1.00825985680186,360
"84",1,"13","deviance",24.6417396905163,1.00071358205477,2000
"85",1,"14","cf.a",0.0758174804996784,1.00068264660265,2000
"86",1,"14","cf.b",-0.810407041888211,1.00200689469296,1000
"87",1,"14","cf.delta_t",9.1766841849435,1.00091610866057,2000
"88",1,"14","cf.sigma",0.30714701626147,1.00060028175291,2000
"89",1,"14","cf.tmax",43.5554857042411,1.00127301129986,1900
"90",1,"14","deviance",11.2890608935155,1.00050432856819,2000
"91",1,"15","cf.a",0.0716124696884006,1.00566354460145,290
"92",1,"15","cf.b",-0.814161898358877,1.00630532451991,270
"93",1,"15","cf.delta_t",8.97582880693222,1.00385148551577,1600
"94",1,"15","cf.sigma",0.369124803698252,1.00050553652568,2000
"95",1,"15","cf.tmax",43.4831784798155,1.00608819565515,500
"96",1,"15","deviance",20.8696845526557,1.00064579252733,2000
"97",1,"all","cf.a",0.0894783791987314,1.02340238548381,78
"98",1,"all","cf.b",-0.733300040708814,1.01145183656511,140
"99",1,"all","cf.delta_t",8.30120844459672,1.01699198137081,300
"100",1,"all","cf.sigma",0.443410713626971,1.00067548554213,2000
"101",1,"all","cf.tmax",43.3774059437393,1.01379327678506,170
"102",1,"all","deviance",31.2782049463957,1.00054475560621,2000
"103",2,"none","cf.a",0.098095225209006,1.24610299206058,25
"104",2,"none","cf.b",-0.665960243051954,1.06435425562255,84
"105",2,"none","cf.delta_t",8.67712015185143,1.28802187004921,19
"106",2,"none","cf.sigma",0.285890494589836,1.00511186516221,330
"107",2,"none","cf.tmax",43.4596824589916,1.00710770506637,560
"108",2,"none","deviance",7.49488388282261,1.02347162059097,79
"109",2,"1","cf.a",0.111117180318336,1.14878767497387,29
"110",2,"1","cf.b",-0.512195074211152,1.04933463454981,39
"111",2,"1","cf.delta_t",8.42922999898018,1.10981724902442,2000
"112",2,"1","cf.sigma",0.34707815864116,1.00116271694928,2000
"113",2,"1","cf.tmax",43.2848336335445,1.03095717658359,61
"114",2,"1","deviance",17.5949882938164,1.00419454626626,410
"115",2,"2","cf.a",0.0944253644683563,1.6172192991833,6
"116",2,"2","cf.b",-0.659818315591642,1.34749000801689,9
"117",2,"2","cf.delta_t",7.89469338938684,1.57450743016304,6
"118",2,"2","cf.sigma",0.410488489375513,1.02209810937898,78
"119",2,"2","cf.tmax",43.4466354769326,1.08933253988788,23
"120",2,"2","deviance",26.7238159494208,1.06884945375485,29
"121",2,"3","cf.a",0.073426491494309,1.16838640965214,14
"122",2,"3","cf.b",-0.791211107520907,1.09643179916435,21
"123",2,"3","cf.delta_t",6.70427484824589,1.15246790341455,15
"124",2,"3","cf.sigma",0.437246224992118,1.00551628784134,300
"125",2,"3","cf.tmax",43.4551622931436,1.06932924702805,34
"126",2,"3","deviance",30.405127646452,1.00568645931941,290
"127",2,"4","cf.a",0.111906494950616,1.16999480130577,14
"128",2,"4","cf.b",-0.469062699107872,1.10786025123251,19
"129",2,"4","cf.delta_t",8.51572773917736,1.19252730467002,13
"130",2,"4","cf.sigma",0.323002584175979,1.00070804629973,2000
"131",2,"4","cf.tmax",43.2936595976493,1.10871965110949,19
"132",2,"4","deviance",13.8813756004363,1.01105264204783,150
"133",2,"5","cf.a",0.0889652799930727,2.07254170775439,4
"134",2,"5","cf.b",-0.660272719022931,1.68288052722275,5
"135",2,"5","cf.delta_t",7.35275404623491,1.91029398718339,4
"136",2,"5","cf.sigma",0.399196998940787,1.00686415272939,250
"137",2,"5","cf.tmax",43.4064617863002,1.17763575691999,13
"138",2,"5","deviance",25.3263245035107,1.04684801078945,38
"139",2,"6","cf.a",0.0756868792892846,2.44131551756843,3
"140",2,"6","cf.b",-0.87847877034322,1.91974767284609,4
"141",2,"6","cf.delta_t",7.15321216744637,2.17913094084214,4
"142",2,"6","cf.sigma",0.387871693510617,1.03195744633943,54
"143",2,"6","cf.tmax",43.5522511547821,1.31963587629956,9
"144",2,"6","deviance",23.7637496540774,1.27924014904509,9
"145",2,"7","cf.a",0.060493336413008,1.00134994309049,1800
"146",2,"7","cf.b",-0.7295498340981,1.00088116584836,2000
"147",2,"7","cf.delta_t",6.74614516243268,1.00080521737679,2000
