"","block","Chlamy","mic","nit","well.ID","r.exp"
"1",1,"y","none",1,"5.6.4",-0.00484185049129447
"2",1,"y","none",1,"11.5.2",0.792327598177624
"3",1,"y","none",1,"16.4.6",-0.113061949983235
"4",2,"y","none",1,"12.5.8",-0.232711510764792
"5",2,"y","none",1,"16.6.5",-0.256970234699409
"6",2,"y","none",1,"25.1.2",-0.133823756894065
"7",1,"y","none",50,"1.5.4",1.12853585423985
"8",1,"y","none",50,"2.2.6",1.37388072166877
"9",1,"y","none",50,"20.6.5",1.11376798290525
"10",2,"y","none",50,"2.2.7",1.57066443990882
"11",2,"y","none",50,"3.1.6",1.44226785226119
"12",2,"y","none",50,"23.1.9",1.30534240960915
"13",1,"y","none",0,"2.2.2",0.20097061927989
"14",1,"y","none",0,"9.2.2",-0.146646929363644
"15",1,"y","none",0,"21.2.1",0.567596823250224
"16",2,"y","none",0,"1.6.4",-0.0229875112796629
"17",2,"y","none",0,"3.5.4",-0.119828877413105
"18",2,"y","none",0,"25.4.3",-0.192034361348394
"19",1,"y","none",25,"2.6.8",1.44699834416785
"20",1,"y","none",25,"22.1.6",0.273409231149671
"21",1,"y","none",25,"25.6.3",0.431601335969393
"22",2,"y","none",25,"13.3.9",0.635238290411843
"23",2,"y","none",25,"22.4.1",0.663762410455167
"24",2,"y","none",25,"32.5.10",1.08587411818309
"25",1,"y","none",10,"17.4.5",0.560357304107843
"26",1,"y","none",10,"23.3.7",0.333471540269643
"27",1,"y","none",10,"26.2.2",0.470194891182294
"28",2,"y","none",10,"2.1.3",0.698298745606558
"29",2,"y","none",10,"8.3.7",1.17810870145671
"30",2,"y","none",10,"27.5.2",-0.0816202258738225
"31",1,"y","none",1000,"3.3.2",1.96385632002838
"32",1,"y","none",1000,"13.2.8",1.398502925604
"33",1,"y","none",1000,"19.2.4",1.52246813438704
"34",2,"y","none",1000,"1.4.1",1.66706568018107
"35",2,"y","none",1000,"16.5.9",1.50301511960432
"36",2,"y","none",1000,"20.6.6",1.9895830681828
"37",1,"y","none",100,"3.2.10",1.42504399367801
"38",1,"y","none",100,"16.5.6",1.04640826566335
"39",1,"y","none",100,"27.3.5",0.947974206523667
"40",2,"y","none",100,"6.5.3",1.6787624646419
"41",2,"y","none",100,"7.6.3",1.75141131635149
"42",2,"y","none",100,"14.3.6",1.61026982544852
"43",1,"y","none",5,"1.5.5",0.328132794622158
"44",1,"y","none",5,"16.5.5",0.720736606409785
"45",1,"y","none",5,"24.4.3",-0.131574760374769
"46",2,"y","none",5,"4.5.3",0.460696084161943
"47",2,"y","none",5,"19.1.10",-0.146743594566666
"48",2,"y","none",5,"24.3.3",-0.252345237914139
"49",1,"y","none",400,"3.4.10",1.64257847693199
"50",1,"y","none",400,"14.5.10",1.3559057167909
"51",1,"y","none",400,"20.4.4",1.6498595699655
"52",2,"y","none",400,"8.2.1",1.48108255814588
"53",2,"y","none",400,"15.5.7",1.44257869792472
"54",2,"y","none",400,"24.6.2",1.41832897673412
"55",1,"y","none",700,"8.4.5",1.35034999325396
"56",1,"y","none",700,"13.6.5",0.674153375473067
"57",1,"y","none",700,"21.3.4",1.54651184119887
"58",2,"y","none",700,"13.5.7",1.52696963482339
"59",2,"y","none",700,"19.5.5",1.45998093808921
"60",2,"y","none",700,"29.1.7",1.70381877621017
"61",1,"n","1",1,"6.4.4",-0.130677527013039
"62",1,"n","1",1,"9.6.8",-0.206496935918962
"63",1,"y","1",1,"12.6.10",-0.202185272235921
"64",1,"y","1",1,"13.3.10",-0.19728605524283
"65",1,"y","1",1,"14.3.10",-0.0673009889369702
"66",1,"n","1",1,"24.6.6",-0.144523115077978
"67",2,"y","1",1,"2.2.8",-0.200731569476633
"68",2,"y","1",1,"4.4.7",-0.253894855505195
"69",2,"n","1",1,"4.5.2",-0.108591002787639
"70",2,"n","1",1,"9.4.5",0.17278488135184
"71",2,"n","1",1,"11.4.3",-0.12778639603119
"72",2,"y","1",1,"31.1.3",0.125446018939027
"73",1,"y","1",50,"2.3.7",0.715525094559777
"74",1,"y","1",50,"7.6.9",1.05737042755385
"75",1,"n","1",50,"15.3.1",-0.216950133216986
"76",1,"n","1",50,"19.3.1",-0.208318753486852
"77",1,"y","1",50,"26.6.7",0.785989813318494
"78",1,"y","1",50,"27.3.7",0.696877376870911
"79",1,"n","1",50,"27.5.6",-0.156594589022043
"80",2,"y","1",50,"2.2.2",0.689146675816251
"81",2,"y","1",50,"4.1.8",1.5301766217267
"82",2,"y","1",50,"4.2.3",1.34551113868105
"83",2,"n","1",50,"16.5.7",-0.0673663722633735
"84",2,"y","1",50,"22.2.1",1.4151237582123
"85",2,"n","1",50,"23.5.1",-0.151473902307696
"86",2,"n","1",50,"30.5.5",-0.273266675105315
"87",1,"n","1",0,"1.6.7",-0.137744486514192
"88",1,"n","1",0,"9.3.1",-0.101305418968824
"89",1,"y","1",0,"11.5.7",0.242053815098121
"90",1,"y","1",0,"12.4.6",-0.135005300432359
"91",1,"y","1",0,"16.4.1",1.09040378139375
"92",1,"n","1",0,"21.4.9",-0.341256480788113
"93",2,"y","1",0,"2.5.3",-0.161737157712801
"94",2,"n","1",0,"3.2.3",-0.040701992013252
"95",2,"y","1",0,"20.3.7",-0.221637507229618
"96",2,"y","1",0,"22.4.9",-0.295194863859264
"97",2,"n","1",0,"31.4.1",-0.0495464152973523
"98",2,"n","1",0,"31.4.8",-0.162497167924771
"99",1,"n","1",25,"1.2.2",-0.0908442445785803
"100",1,"y","1",25,"5.1.3",0.912671419933627
"101",1,"y","1",25,"15.4.7",0.578073839476755
"102",1,"n","1",25,"15.6.1",-0.0762572739709841
"103",1,"y","1",25,"17.1.7",0.664544745622604
"104",1,"n","1",25,"30.4.10",-0.154530947903257
"105",2,"n","1",25,"1.1.4",-0.0601960729418598
"106",2,"y","1",25,"3.6.10",1.18076162066792
"107",2,"n","1",25,"5.1.8",-0.103645094729118
"108",2,"y","1",25,"16.1.5",0.310443084950893
"109",2,"n","1",25,"27.5.7",-0.167849711741461
"110",2,"y","1",25,"28.6.7",0.892141611990212
"111",1,"n","1",10,"4.1.3",-0.18225194118139
