"","block","Chlamy","mic","salt","well.ID","r.exp"
"1",1,"y","none",9.33,"14.1.3",0.198939682327192
"2",1,"y","none",9.33,"19.6.3",-0.141029029503459
"3",1,"y","none",9.33,"28.5.4",-0.134331326147342
"4",2,"y","none",9.33,"12.5.5",0.191890064676579
"5",2,"y","none",9.33,"20.5.3",-0.137949860425179
"6",2,"y","none",9.33,"21.3.9",-0.165626203912364
"7",1,"y","none",1.33,"16.5.10",0.412729164669861
"8",1,"y","none",1.33,"30.3.2",0.994097015526534
"9",1,"y","none",1.33,"32.4.9",0.871899726468805
"10",2,"y","none",1.33,"4.1.4",1.51431887866201
"11",2,"y","none",1.33,"25.5.7",1.09288104270545
"12",2,"y","none",1.33,"29.1.2",1.44206001151494
"13",1,"y","none",2.67,"10.4.9",0.613815465770736
"14",1,"y","none",2.67,"15.5.4",0.456999158994487
"15",1,"y","none",2.67,"19.1.9",0.422569184976871
"16",2,"y","none",2.67,"7.6.7",0.766176066861154
"17",2,"y","none",2.67,"19.2.8",0.748711931971257
"18",2,"y","none",2.67,"19.4.1",0.700538970884594
"19",1,"y","none",8,"16.3.4",0.0334949435735191
"20",1,"y","none",8,"17.2.1",0.0374461176389017
"21",1,"y","none",8,"27.1.6",-0.149640762560627
"22",2,"y","none",8,"4.1.6",-0.153382596899143
"23",2,"y","none",8,"10.1.6",0.0816170999490915
"24",2,"y","none",8,"30.6.7",-0.11909487724716
"25",1,"y","none",0,"3.3.2",1.96385631931592
"26",1,"y","none",0,"13.2.8",1.39850292570454
"27",1,"y","none",0,"19.2.4",1.5224681356546
"28",2,"y","none",0,"1.4.1",1.6670656803598
"29",2,"y","none",0,"16.5.9",1.50301511891368
"30",2,"y","none",0,"20.6.6",1.98958306816144
"31",1,"y","none",4,"8.2.5",-0.040137407208025
"32",1,"y","none",4,"22.5.5",0.207292319031917
"33",1,"y","none",4,"31.1.1",0.253256170924148
"34",2,"y","none",4,"6.3.4",0.460537042445036
"35",2,"y","none",4,"11.4.9",0.256406348917869
"36",2,"y","none",4,"15.2.8",0.309785163813981
"37",1,"y","none",12,"12.3.10",-0.177723543763008
"38",1,"y","none",12,"13.3.1",-0.084560456565742
"39",1,"y","none",12,"22.4.5",-0.27055423930552
"40",2,"y","none",12,"5.6.9",-0.203144253937193
"41",2,"y","none",12,"11.6.2",-0.200450935135388
"42",2,"y","none",12,"15.3.2",-0.138777593149066
"43",1,"y","none",10.67,"8.6.4",-0.0914129957925791
"44",1,"y","none",10.67,"9.5.2",-0.136092802180983
"45",1,"y","none",10.67,"20.4.3",-0.202891939790874
"46",2,"y","none",10.67,"13.1.1",-0.160836099933873
"47",2,"y","none",10.67,"22.4.6",-0.14335634715704
"48",2,"y","none",10.67,"32.5.7",-0.196070915767578
"49",1,"y","none",6.67,"3.4.5",0.312866078141275
"50",1,"y","none",6.67,"14.3.8",0.248157914191059
"51",1,"y","none",6.67,"23.6.2",0.135764325039653
"52",2,"y","none",6.67,"6.4.10",0.106834635516745
"53",2,"y","none",6.67,"14.3.1",0.0831147505942958
"54",2,"y","none",6.67,"25.2.3",-0.145857646626716
"55",1,"y","none",5.33,"7.1.7",0.304230617937757
"56",1,"y","none",5.33,"27.2.7",0.0540854568329407
"57",1,"y","none",5.33,"31.5.2",0.183665410156469
"58",2,"y","none",5.33,"6.5.5",0.285097432432777
"59",2,"y","none",5.33,"10.3.3",0.184103977001336
"60",2,"y","none",5.33,"20.5.9",0.113311774700149
"61",1,"n","1",9.33,"5.4.9",0.0563317535509035
"62",1,"y","1",9.33,"15.2.2",0.177167345138615
"63",1,"n","1",9.33,"17.2.5",-0.169123719787603
"64",1,"n","1",9.33,"29.2.10",-0.103244036341801
"65",1,"y","1",9.33,"30.1.5",-0.0740395046057696
"66",1,"y","1",9.33,"32.1.5",-0.0127508932646237
"67",2,"n","1",9.33,"13.5.1",-0.129209819295237
"68",2,"n","1",9.33,"19.5.1",-0.0897384974669199
"69",2,"n","1",9.33,"20.2.6",-0.156415865403056
"70",2,"y","1",9.33,"24.6.6",0.179059310902961
"71",2,"y","1",9.33,"26.1.3",-0.0925307712229221
"72",2,"y","1",9.33,"30.1.4",-0.116365718664293
"73",1,"n","1",1.33,"6.1.2",-0.175806842354845
"74",1,"y","1",1.33,"14.1.9",1.35544106545604
"75",1,"n","1",1.33,"18.5.5",-0.105314022747477
"76",1,"y","1",1.33,"24.4.10",1.14884145748137
"77",1,"n","1",1.33,"27.6.9",-0.135822014017831
"78",1,"y","1",1.33,"30.3.1",1.164741274221
