Temperature.C,Nitrogen.conc.µM,Salt.conc.g.l,Chlamy.y.n,Microbe,Plate.at.T,Well.at.T,Notes,Replicate,,,,,,
8,1000,0,y,2,1,1,"GENERAL - noted possible contamination of N7, N8 - compare results to other blocks",2,,,,,,
8,1000,0,y,1,1,2,,3,,,,,,
8,1000,0,n,11,1,3,,2,,,,,,
8,1000,0,n,4,1,4,,1,,,,,,
8,1000,0,y,all,1,5,,1,,,,,,
8,1000,0,BLANK,BLANK,1,6,,BLANK,,,,,,
8,1000,0,BLANK,BLANK,1,7,,BLANK,,,,,,
8,1000,0,BLANK,BLANK,1,8,,BLANK,,,,,,
8,1000,0,y,3,1,9,,3,,,,,,
8,1000,0,y,12,1,10,,2,,,,,,
8,1000,0,y,5,1,11,,3,,,,,,
8,1000,0,y,7,1,12,,1,,,,,,
8,1000,0,n,10,1,13,,1,,,,,,
8,1000,0,n,7,1,14,,1,,,,,,
8,1000,0,n,7,1,15,,3,,,,,,
8,1000,0,y,9,1,16,,3,,,,,,
8,1000,0,n,6,1,17,,2,,,,,,
8,1000,0,BLANK,BLANK,1,18,,BLANK,,,,,,
8,1000,0,y,10,1,19,,1,,,,,,
8,1000,0,n,13,1,20,,3,,,,,,
8,1000,0,n,13,1,21,,1,,,,,,
8,1000,0,n,1,1,22,,1,,,,,,
8,1000,0,BLANK,BLANK,1,23,,BLANK,,,,,,
8,1000,0,n,12,1,24,,1,,,,,,
8,1000,0,n,10,1,25,,2,,,,,,
8,1000,0,n,2,1,26,,3,,,,,,
8,1000,0,n,3,1,27,,2,,,,,,
8,1000,0,n,13,1,28,,2,,,,,,
8,1000,0,n,9,1,29,,1,,,,,,
8,1000,0,BLANK,BLANK,1,30,,BLANK,,,,,,
8,1000,0,BLANK,BLANK,1,31,,BLANK,,,,,,
8,1000,0,y,8,1,32,,1,,,,,,
8,1000,0,y,10,1,33,,3,,,,,,
8,1000,0,n,7,1,34,,2,,,,,,
8,1000,0,y,3,1,35,,2,,,,,,
8,1000,0,n,15,1,36,,2,,,,,,
8,1000,0,n,14,1,37,,1,,,,,,
8,1000,0,y,5,1,38,,2,,,,,,
8,1000,0,n,4,1,39,,3,,,,,,
8,1000,0,y,9,1,40,,1,,,,,,
8,1000,0,n,1,1,41,,3,,,,,,
8,1000,0,y,13,1,42,,2,,,,,,
8,1000,0,y,none,1,43,,3,,,,,,
8,1000,0,y,all,1,44,,2,,,,,,
8,1000,0,y,14,1,45,,2,,,,,,
8,1000,0,n,11,1,46,,3,,,,,,
8,1000,0,y,12,1,47,,1,,,,,,
8,1000,0,BLANK,BLANK,1,48,,BLANK,,,,,,
8,1000,0,n,6,1,49,,1,,,,,,
8,1000,0,n,9,1,50,,3,,,,,,
8,1000,0,n,2,1,51,,1,,,,,,
8,1000,0,BLANK,BLANK,1,52,,BLANK,,,,,,
8,1000,0,y,15,1,53,,3,,,,,,
8,1000,0,BLANK,BLANK,1,54,,BLANK,,,,,,
8,1000,0,BLANK,BLANK,1,55,,BLANK,,,,,,
8,1000,0,y,13,1,56,,1,,,,,,
8,1000,0,BLANK,BLANK,1,57,,BLANK,,,,,,
8,1000,0,BLANK,BLANK,1,58,,BLANK,,,,,,
8,1000,0,y,7,1,59,,3,,,,,,
8,1000,0,n,15,1,60,,3,,,,,,
8,1000,0,y,4,2,61,,1,,,,,,
8,1000,0,n,all,2,62,,2,,,,,,
8,1000,0,n,8,2,63,,1,,,,,,
8,1000,0,y,none,2,64,,2,,,,,,
8,1000,0,n,8,2,65,,2,,,,,,
8,1000,0,y,10,2,66,,2,,,,,,
8,1000,0,y,14,2,67,,3,,,,,,
8,1000,0,n,4,2,68,,2,,,,,,
8,1000,0,y,15,2,69,,1,,,,,,
8,1000,0,n,5,2,70,,2,,,,,,
